,Frequency,Dimension,Robustness
1100000000000001,1.0,9.0,0.4125
0000000100000000,3.0,8.0,0.6
1111111111110111,6.0,5.0,0.6854166666666667
0001000100011101,1.0,7.0,0.475
1101110101000100,1.0,9.0,0.55
1010100011101100,1.0,9.0,0.5625
1110111111111111,4.0,5.0,0.659375
1100110011111111,2.0,3.0,0.59375
0000011000000000,1.0,10.0,0.4875
0000001100000011,1.0,4.0,0.5125
0000001010111011,1.0,10.0,0.35
1010101010101000,1.0,6.0,0.4625
1010000000100000,1.0,7.0,0.725
1111001011110000,1.0,6.0,0.5
0000110000100011,1.0,12.0,0.425
0000000000100010,3.0,6.0,0.6791666666666667
1111111111111111,50.0,0.0,0.8632500000000001
0000000100000001,4.0,6.0,0.7281250000000001
0011001100110111,1.0,6.0,0.45
1101000011001100,1.0,9.0,0.4125
0111001001110111,1.0,7.0,0.3625
1011111111111111,7.0,5.0,0.6946428571428571
1010100011111000,1.0,9.0,0.5375
1000100001000100,1.0,8.0,0.4125
0101010011000000,1.0,12.0,0.2875
1000111110001111,1.0,5.0,0.5125
0000100010101010,2.0,8.0,0.5625
0001000100000010,1.0,11.0,0.5375
0000000000001110,1.0,7.0,0.425
1111111111111110,5.0,5.0,0.63
0100010000000000,2.0,6.0,0.7625
1000110010001000,1.0,8.0,0.4625
1101111111101111,1.0,10.0,0.3875
0100110011001111,1.0,10.0,0.4625
0000000000010001,4.0,6.0,0.475
1100110111111101,1.0,8.0,0.5625
0100010011101110,1.0,6.0,0.5375
1000000010001010,1.0,8.0,0.5375
1000100001000011,1.0,13.0,0.3625
0010000000000000,3.0,8.0,0.7375000000000002
1110111111001111,1.0,7.0,0.4125
0100000000000000,6.0,8.0,0.7250000000000001
0000000000100000,4.0,8.0,0.6562500000000001
1000110100000101,1.0,7.0,0.4875
0000001010001010,1.0,8.0,0.4625
0000000010100000,3.0,6.0,0.5916666666666667
1100000011000000,5.0,4.0,0.5574999999999999
0000000000000000,54.0,0.0,0.8631944444444444
0111001101111111,1.0,8.0,0.4125
0011011111111101,1.0,12.0,0.3125
1001101100110011,1.0,11.0,0.4125
1010100000011100,1.0,14.0,0.275
0010000001000000,2.0,10.0,0.5625
1111111101111111,3.0,5.0,0.7374999999999999
0001000011111111,2.0,6.0,0.58125
0011100000101000,1.0,12.0,0.3625
0111011111111111,4.0,4.0,0.6875
1010111111110111,1.0,9.0,0.3625
0000011001000000,1.0,15.0,0.4
1011000010100000,1.0,8.0,0.55
0000000011001010,1.0,8.0,0.625
0111111101110111,1.0,7.0,0.7
0000101000001111,1.0,5.0,0.5375
1111111111111100,1.0,4.0,0.4125
0110010011010101,1.0,15.0,0.35
0000010000000000,3.0,8.0,0.6875
1111110000000000,1.0,5.0,0.6375
0111111111111101,1.0,10.0,0.525
0000000000010101,1.0,7.0,0.3875
1111011101110010,1.0,12.0,0.2625
1001000010000000,1.0,11.0,0.4125
0000001100000010,1.0,7.0,0.325
1011000010110000,2.0,5.0,0.5375
0001000000110010,2.0,8.0,0.45
1100110010000100,1.0,10.0,0.325
0000000010001000,2.0,6.0,0.55625
1111001100111111,1.0,8.0,0.5875
1011010110100101,1.0,10.0,0.475
0011010100000101,1.0,7.0,0.45
0000111111100000,1.0,10.0,0.5
1111110011110000,1.0,5.0,0.525
1010100010101000,1.0,5.0,0.4875
0100010000110000,1.0,8.0,0.4625
1110001111000010,1.0,15.0,0.325
0011111110111011,1.0,8.0,0.5
1010001010101011,1.0,13.0,0.3625
1000100011001110,1.0,10.0,0.4375
1010111011001110,1.0,11.0,0.5375
1111111110101111,2.0,4.0,0.65625
0000000100001000,1.0,10.0,0.325
0011111000111111,1.0,8.0,0.425
1111101011111111,2.0,4.0,0.43125
1111000011110000,2.0,2.0,0.63125
1110110011101000,1.0,10.0,0.575
1101110101011101,1.0,7.0,0.3375
1111011111111111,2.0,5.0,0.75
0011000000010100,1.0,12.0,0.5125
1000000000000000,3.0,8.0,0.725
0001001011111111,1.0,10.0,0.425
0000110001101000,1.0,17.0,0.3375
0000111100001111,3.0,2.0,0.65
0000001100000001,3.0,7.0,0.4458333333333333
1111110011111100,2.0,3.0,0.56875
0001000100100000,1.0,11.0,0.5875
1000101010001010,1.0,5.0,0.2125
0111111100111111,2.0,7.0,0.73125
1111011100100010,1.0,9.0,0.475
1100110010001000,1.0,5.0,0.475
1111000111111001,1.0,9.0,0.475
1111110111001101,1.0,8.0,0.5
0000000000000100,3.0,8.0,0.5916666666666667
1110100001110000,1.0,14.0,0.1625
1111000010000000,1.0,8.0,0.3875
1111000111110000,1.0,6.0,0.5125
1111101100111111,1.0,9.0,0.3125
0010000000001111,1.0,8.0,0.45
0000111100000000,2.0,4.0,0.60625
1100111011011111,1.0,8.0,0.45
1100101000000000,1.0,8.0,0.4
1011101011111010,1.0,7.0,0.2
0011001100101111,1.0,9.0,0.425
0000000000100100,1.0,10.0,0.3625
0011001111111111,1.0,3.0,0.6
1111101111111011,4.0,4.0,0.565625
0000000111100111,2.0,14.0,0.4
0011001100000000,1.0,4.0,0.725
0000000010000000,2.0,8.0,0.6375
1010000000000000,5.0,6.0,0.5875
1000000000000010,1.0,10.0,0.65
0000000000000010,3.0,8.0,0.5208333333333333
1111111111111010,3.0,4.0,0.4583333333333333
1111000111000000,1.0,9.0,0.325
1100001011000000,1.0,8.0,0.375
0000110001000000,1.0,11.0,0.65
1110111111111100,1.0,9.0,0.3625
1111001011111111,1.0,7.0,0.5875
0100000100000001,1.0,11.0,0.55
0100000011111100,1.0,10.0,0.4
1011001110110011,1.0,5.0,0.575
1101000011111100,1.0,10.0,0.45
1111010100000000,3.0,5.0,0.5499999999999999
1111110111111111,3.0,5.0,0.6124999999999999
1100101011110111,1.0,13.0,0.5125
1111011111010101,1.0,8.0,0.3
1110101010101010,1.0,6.0,0.35
1101110110011101,1.0,8.0,0.4625
0101000101010001,2.0,5.0,0.475
1101111100000010,1.0,10.0,0.4
0100110011101110,1.0,9.0,0.6
1101110011011111,1.0,8.0,0.3875
1111110110111111,2.0,10.0,0.43125
1111001100000000,1.0,5.0,0.625
0000000000010000,4.0,8.0,0.5687500000000001
1101110111111011,1.0,9.0,0.575
1000000011011111,2.0,10.0,0.44375
1101110111010100,1.0,11.0,0.3375
0001000000011100,1.0,8.0,0.6625
1111001111110011,1.0,3.0,0.5375
0000111110101111,2.0,5.0,0.43125
0100000001000000,3.0,6.0,0.48333333333333334
1100000011100010,1.0,7.0,0.4125
0101000001110101,1.0,10.0,0.45
1010101011101010,1.0,6.0,0.575
1000110010001111,1.0,9.0,0.3875
1111111100001111,1.0,3.0,0.6
0110000000110111,1.0,14.0,0.2875
0100111101110111,1.0,9.0,0.475
0000000000000011,4.0,6.0,0.575
0000010011111010,1.0,11.0,0.2375
0111011101110101,1.0,7.0,0.6
0100111101010111,1.0,11.0,0.3625
1010101010101010,1.0,2.0,0.6625
1101111110101111,1.0,9.0,0.4125
1111001101010001,1.0,6.0,0.375
1001001111111011,1.0,16.0,0.2625
1101000011110000,1.0,6.0,0.575
0111110101111101,1.0,8.0,0.5625
0101010100010001,1.0,5.0,0.4875
1011100011111000,1.0,9.0,0.525
1110110000101111,1.0,10.0,0.4
0001010110110011,1.0,11.0,0.3875
1001111100110001,1.0,14.0,0.45
0111001001110010,1.0,6.0,0.425
0010001000000010,1.0,7.0,0.6125
1111111101110111,3.0,4.0,0.6416666666666666
1111110101010101,1.0,7.0,0.575
1111111110111011,3.0,4.0,0.6916666666666668
1111010100110001,1.0,6.0,0.6375
1100000010000000,1.0,7.0,0.5375
1111111110101010,2.0,3.0,0.6125
1111000011110011,3.0,5.0,0.4833333333333334
1111000011111100,2.0,5.0,0.48125
1101100111011001,1.0,7.0,0.2375
0111111111111111,2.0,5.0,0.7562500000000001
1111111100111111,2.0,4.0,0.6187499999999999
1101010011000000,1.0,11.0,0.5125
1111111011101110,1.0,7.0,0.5375
1111111100101111,2.0,7.0,0.525
0011111110111111,2.0,7.0,0.46249999999999997
0101000001110010,1.0,7.0,0.425
0000000010100100,1.0,11.0,0.45
0000000100000011,1.0,7.0,0.6125
0000110000000111,1.0,9.0,0.4125
1101000011010100,1.0,10.0,0.4375
1100110011001100,2.0,2.0,0.5625
0111100001111000,1.0,10.0,0.5375
1100000011111111,1.0,5.0,0.525
1011000001110011,1.0,14.0,0.375
1111010011110101,1.0,7.0,0.325
0100000000000100,1.0,10.0,0.5875
1010000011111010,1.0,9.0,0.575
0111110101111111,1.0,9.0,0.5875
0000001101010111,1.0,6.0,0.45
0000101011001010,1.0,7.0,0.575
1001000000010000,1.0,11.0,0.5875
1101110111011101,1.0,3.0,0.5625
1011001011001100,1.0,15.0,0.2
1111111111000000,1.0,5.0,0.4
1110111001000000,1.0,9.0,0.55
0011000111010000,1.0,13.0,0.4
1111111100100100,1.0,10.0,0.5125
0000100100000000,1.0,10.0,0.575
0000110100001101,2.0,5.0,0.65625
0011101101111011,1.0,9.0,0.3375
1101010100000101,1.0,9.0,0.5625
0001010100011101,2.0,9.0,0.45625
0000010101010101,1.0,5.0,0.6125
1011111100111111,2.0,7.0,0.60625
0101000000000000,3.0,6.0,0.625
1101110111111111,2.0,4.0,0.6375
1111111110111111,1.0,5.0,0.6
1111001111100010,1.0,7.0,0.5125
0000010011111111,1.0,6.0,0.5125
0101111111111111,2.0,4.0,0.70625
1111000100000101,1.0,10.0,0.375
1111010110101111,1.0,8.0,0.6625
0000000100110011,1.0,8.0,0.35
0000010000001111,1.0,8.0,0.375
1111110011110100,1.0,7.0,0.6125
1000010100000100,1.0,15.0,0.375
0000001100000000,2.0,6.0,0.65625
0000110010001000,2.0,8.0,0.5125
0111000001110000,1.0,5.0,0.6125
0101011100010011,1.0,9.0,0.425
1001100111011101,1.0,7.0,0.55
0101001111111111,1.0,8.0,0.475
0000000000001010,2.0,6.0,0.575
1100101011000000,1.0,7.0,0.6125
0011000010010000,1.0,12.0,0.375
1100000000000000,2.0,6.0,0.7125
0000001111111011,1.0,9.0,0.4375
