,Frequency,Dimension,Robustness
0100110000001100,1.0,8.0,0.5125
0000010000001100,1.0,7.0,0.5625
0101001101011111,1.0,7.0,0.525
0000000011110001,1.0,8.0,0.4875
0000100010010000,1.0,15.0,0.45
1111101101111111,1.0,10.0,0.6
1010111111111010,1.0,8.0,0.4125
1010101010111010,1.0,6.0,0.5625
1111111111011111,1.0,5.0,0.6875
1000110010101110,1.0,9.0,0.3
0001110100111111,1.0,7.0,0.425
0000010100000000,1.0,6.0,0.5125
0000010000000101,1.0,7.0,0.4375
0000000010100000,1.0,6.0,0.5875
0000011111011101,1.0,11.0,0.225
0010000011111110,1.0,13.0,0.425
1111111111111111,4.0,0.0,0.896875
0000010001000100,1.0,7.0,0.65
0000000000000100,2.0,8.0,0.6937500000000001
0000010010100010,1.0,13.0,0.4375
1010001000100000,1.0,11.0,0.525
0101111101111110,1.0,13.0,0.25
1111111101001000,1.0,10.0,0.4875
1111110101000000,1.0,13.0,0.4
0000000000000000,6.0,0.0,0.8979166666666667
0000100000001000,1.0,6.0,0.625
1011101010111011,1.0,7.0,0.5
1000000000000000,1.0,8.0,0.8125
0000100001011101,1.0,7.0,0.275
1000100000010000,1.0,9.0,0.4
1000100000000000,1.0,6.0,0.625
0101010101010111,1.0,6.0,0.4625
1111110111110000,1.0,7.0,0.5375
0110011101110001,1.0,16.0,0.3625
0000000010001110,1.0,11.0,0.525
1101111100000001,1.0,13.0,0.375
0011111111110011,1.0,8.0,0.6625
0110111100000111,1.0,15.0,0.325
0101010101110011,1.0,9.0,0.375
0000000010000000,1.0,8.0,0.7625
1111000010001000,1.0,7.0,0.575
0011001110110000,1.0,9.0,0.3625
0111011110001111,1.0,12.0,0.2
1111000001110000,1.0,6.0,0.675
0000010000000100,1.0,6.0,0.65
0001111100000000,1.0,8.0,0.5625
0001100100110001,1.0,12.0,0.375
1100111111001111,1.0,3.0,0.725
0101010001010000,1.0,8.0,0.4625
1011001110110010,1.0,10.0,0.325
0111111101101111,1.0,9.0,0.625
1111111111001111,1.0,4.0,0.7
1000000010000000,1.0,6.0,0.7625
1111101011111111,1.0,4.0,0.525
1011111110101111,1.0,7.0,0.425
0000000000100000,1.0,8.0,0.65
0101010000000000,1.0,7.0,0.7
0000110000000000,1.0,6.0,0.575
0011001100000010,1.0,8.0,0.2375
0000001110001110,1.0,13.0,0.2375
1110111011001100,1.0,5.0,0.475
1111111011001111,1.0,9.0,0.4125
0000101100001111,1.0,6.0,0.575
1111011111111111,1.0,5.0,0.725
0100001100000000,1.0,11.0,0.375
0101111000001111,1.0,11.0,0.2625
0101000000000100,1.0,11.0,0.45
1111111011111110,1.0,4.0,0.4375
1010101011111111,1.0,3.0,0.6875
1111111110111011,1.0,4.0,0.525
0111001100010011,1.0,13.0,0.45
0001000000000000,1.0,8.0,0.6875
0101010001110111,1.0,9.0,0.4
1101001111110011,1.0,8.0,0.55
1000111110001101,1.0,9.0,0.4
1100100011001010,1.0,9.0,0.45
0101010101110100,1.0,10.0,0.525
1111110000000100,1.0,9.0,0.5125
1111011011110111,1.0,9.0,0.425
1010000000000000,1.0,6.0,0.825
0000000000010011,1.0,7.0,0.4625
0101010100000000,1.0,4.0,0.525
1111000010110000,1.0,6.0,0.4125
0000100000001111,1.0,8.0,0.5125
0101101100001010,1.0,10.0,0.3375
0000111000011101,1.0,11.0,0.375
0101010101010101,1.0,2.0,0.7
1111111111111101,1.0,5.0,0.5125
1111101011111010,1.0,3.0,0.3625
1011000010111000,1.0,9.0,0.4
0000000001010101,1.0,4.0,0.75
