,00000000,11111111,10001110,11011111,11111010,01001111,00010111,10100010,11111011,00010000,01000000,00000101,10101111,11111101,00110000,00001111,01111111,00001000,00000010,10001100,01110101,11000000,10100000,11110101,11100000,10110010,00001010,11110011,11001111,10111111,11101110,01110001,11101100,00100010,01010001,00100000,00110011,00110111,10000000,01010100,11010100,11010000,01001101,11001100,10111101,00111111,00000011,10101010,10001010,00101010,10110111,01110111,11111100,10111011,00010001,11000100,01001100,01011101,00100011,11110010,01011111,01000101,11011101,00011101,10111110,01010011,00011111,00001100,00000100,01010101,11110000,01010000,10110000,11110001,11001110,01000111,01000001,11101111,11101010,01000100,00001011,00110010,11001101,11000101,00111011,00011000,00101000,11111110,11110111,00000001,11111000,11101000,10000100,00101011,10001111,01010111,11010101,10001000,00101111,01110011,10010000,10111100,01101101,11101101,10110011,01111100,01110000,00110001,10010111,10010010,11001000,10101000,11110110,00000110,01101111,10111010,00000111,10010100,10001101,00100110,00010010,01000011,00100001,10101110,11011110,10010011,00101101,11011100,10000010,10101011,01111010,00010011,00001110,00110100,00010101,01001000,00011010,11110100,00100111,01111011,10110001,01100000,01001001,11011000,10100100,00111000,10101100,00001001,00110110,00111010,00001101,11111001,01100010,01001010,10011001,01111101,01101110,10001011,10011110,11000011,10110100,11100010,00011100,11010111,10010001,10011111,11010110,10101101,10100101,10111000,01111110,01001110,10000011,01110100,10100011,10100111,10011010,01110010,00011011,11001011,00101100,01100100,10110110,11000110,10011101,10111001,00110101,01011010,11101011,00111100,11100111,01011100,00100101,11010001,11100011,10000101,11011011,11010010,00101001,01100110,10100001,01111001,11100101,11001010,11010011,01101011,00111110,01011000,10011011,00100100,11011010,10011100,01110110,11000010,11100110,01000010,00111101,01100111,00101110,11011001,01101100,01100001,01101000,10110101,11000111,00010100,01000110,11100100,11000001,01011110,01010010,11001001,01100011,10010101,10000110,01011011,00011110,10011000,01100101,01101010,00111001,00011001,10001001,10100110,01001011
Frequency,28102.0,28018.0,557.0,1043.0,338.0,154.0,204.0,144.0,508.0,485.0,1066.0,342.0,803.0,496.0,780.0,814.0,1112.0,1036.0,487.0,163.0,149.0,785.0,796.0,811.0,110.0,531.0,764.0,741.0,759.0,1024.0,347.0,575.0,80.0,784.0,116.0,1039.0,836.0,113.0,1060.0,149.0,546.0,139.0,558.0,766.0,9.0,753.0,357.0,897.0,171.0,166.0,24.0,781.0,376.0,799.0,321.0,168.0,162.0,153.0,110.0,140.0,755.0,114.0,807.0,10.0,15.0,11.0,138.0,739.0,451.0,844.0,861.0,777.0,174.0,149.0,123.0,13.0,23.0,491.0,67.0,749.0,118.0,145.0,151.0,10.0,144.0,5.0,21.0,143.0,1037.0,138.0,88.0,223.0,31.0,533.0,151.0,110.0,148.0,828.0,181.0,168.0,25.0,7.0,4.0,13.0,161.0,6.0,156.0,109.0,4.0,7.0,86.0,94.0,20.0,9.0,23.0,121.0,77.0,7.0,14.0,6.0,10.0,5.0,20.0,113.0,24.0,4.0,3.0,128.0,30.0,130.0,5.0,67.0,141.0,5.0,72.0,28.0,3.0,107.0,15.0,31.0,17.0,25.0,3.0,20.0,11.0,5.0,11.0,18.0,1.0,10.0,120.0,18.0,6.0,4.0,5.0,24.0,11.0,9.0,4.0,6.0,2.0,13.0,5.0,23.0,6.0,15.0,4.0,3.0,1.0,10.0,3.0,12.0,8.0,12.0,15.0,5.0,1.0,10.0,16.0,4.0,7.0,9.0,3.0,3.0,4.0,6.0,9.0,5.0,11.0,9.0,7.0,13.0,5.0,16.0,7.0,6.0,3.0,5.0,1.0,6.0,3.0,7.0,4.0,12.0,7.0,3.0,3.0,5.0,6.0,5.0,7.0,2.0,1.0,6.0,5.0,5.0,3.0,7.0,14.0,4.0,3.0,5.0,3.0,6.0,4.0,7.0,5.0,10.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Dimension,0.0,0.0,9.0,6.0,4.0,5.0,9.0,5.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,2.0,4.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,5.0,9.0,3.0,4.0,3.0,4.0,4.0,9.0,5.0,4.0,5.0,6.0,2.0,5.0,4.0,5.0,9.0,5.0,9.0,2.0,8.0,4.0,4.0,2.0,5.0,5.0,8.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,6.0,8.0,6.0,5.0,3.0,6.0,2.0,2.0,3.0,5.0,5.0,5.0,6.0,8.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,8.0,8.0,6.0,6.0,6.0,5.0,9.0,8.0,9.0,5.0,5.0,5.0,4.0,5.0,5.0,8.0,7.0,12.0,8.0,5.0,7.0,5.0,5.0,12.0,12.0,5.0,5.0,8.0,8.0,8.0,5.0,5.0,12.0,6.0,7.0,8.0,7.0,8.0,5.0,8.0,10.0,10.0,5.0,8.0,5.0,7.0,5.0,5.0,7.0,5.0,8.0,7.0,5.0,6.0,8.0,6.0,8.0,12.0,6.0,7.0,7.0,6.0,8.0,10.0,6.0,5.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,12.0,6.0,10.0,6.0,7.0,8.0,7.0,8.0,12.0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,10.0,6.0,6.0,7.0,7.0,7.0,12.0,10.0,7.0,7.0,6.0,6.0,8.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,8.0,10.0,12.0,6.0,7.0,12.0,7.0,6.0,7.0,12.0,7.0,7.0,7.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,10.0,12.0,12.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,10.0,10.0,10.0,12.0,7.0,10.0,7.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0
Robustness,0.874038324674402,0.8730512527660825,0.5460951526032318,0.5715723873441991,0.5268491124260354,0.39724025974025984,0.5734068627450983,0.4208333333333332,0.5178149606299207,0.5226288659793807,0.5753752345215761,0.5068713450292398,0.5497198007471976,0.5234375,0.5410897435897434,0.5295147420147411,0.5996627697841739,0.5731177606177599,0.525154004106776,0.40444785276073625,0.3966442953020132,0.557611464968152,0.5612123115577892,0.5503699136868068,0.3897727272727272,0.5583804143126179,0.5454188481675398,0.547773279352226,0.5507246376811599,0.5723144531249997,0.5347982708933715,0.5630434782608693,0.3956249999999999,0.5508928571428554,0.38620689655172435,0.5719682386910504,0.5326555023923459,0.3896017699115045,0.6031132075471706,0.39832214765100693,0.5573717948717944,0.4118705035971224,0.5489247311827953,0.5306788511749356,0.4,0.5582337317397077,0.5257703081232488,0.5315217391304348,0.3963450292397662,0.38915662650602406,0.40416666666666656,0.5582266325224078,0.5398936170212769,0.5535982478097615,0.5060747663551404,0.4035714285714289,0.4030864197530865,0.4119281045751633,0.36818181818181805,0.38071428571428556,0.5590066225165558,0.37434210526315786,0.5439591078066911,0.27749999999999997,0.3233333333333333,0.3227272727272727,0.3855072463768117,0.5487821380243558,0.5315410199556536,0.5319312796208538,0.5245644599303121,0.549742599742601,0.3954022988505747,0.3766778523489933,0.3837398373983739,0.3038461538461538,0.3206521739130435,0.522352342158859,0.3738805970149252,0.5456275033377844,0.38855932203389837,0.38275862068965527,0.3725165562913908,0.32999999999999996,0.39930555555555564,0.39,0.3583333333333333,0.3475524475524474,0.5704918032786882,0.36521739130434794,0.38125,0.5636771300448433,0.4008064516129032,0.5500938086303936,0.41192052980132454,0.4059090909090907,0.39949324324324326,0.5580314009661849,0.3991712707182319,0.3982142857142856,0.3879999999999999,0.37142857142857144,0.33125,0.3076923076923077,0.4001552795031055,0.3333333333333333,0.4097756410256411,0.3772935779816513,0.30624999999999997,0.4107142857142857,0.39534883720930264,0.4135638297872342,0.37750000000000006,0.3138888888888889,0.36521739130434766,0.37685950413223157,0.3977272727272729,0.35714285714285715,0.30000000000000016,0.375,0.3275,0.285,0.3987499999999999,0.3683628318584072,0.328125,0.20625000000000002,0.25833333333333336,0.35703125000000024,0.3549999999999999,0.37499999999999994,0.36499999999999994,0.3835820895522389,0.3668439716312056,0.4050000000000001,0.3701388888888889,0.3973214285714287,0.31666666666666665,0.37920560747663573,0.35666666666666663,0.4056451612903226,0.34558823529411764,0.41499999999999987,0.4000000000000001,0.33749999999999997,0.3795454545454545,0.355,0.36363636363636365,0.3125,0.25,0.36750000000000005,0.3856249999999997,0.3027777777777778,0.32083333333333336,0.375,0.375,0.3864583333333334,0.3477272727272728,0.35,0.41250000000000003,0.3875,0.21250000000000002,0.34230769230769226,0.355,0.38369565217391316,0.33749999999999997,0.39999999999999997,0.40625,0.3833333333333333,0.35,0.3450000000000001,0.20000000000000004,0.34166666666666673,0.375,0.3208333333333333,0.3366666666666667,0.26000000000000006,0.25,0.31250000000000006,0.346875,0.39999999999999997,0.35714285714285715,0.3694444444444444,0.35833333333333334,0.17499999999999996,0.35625,0.39166666666666666,0.2638888888888889,0.40499999999999997,0.3272727272727272,0.3416666666666666,0.3464285714285714,0.36538461538461536,0.28500000000000003,0.3328124999999999,0.35000000000000003,0.39166666666666666,0.275,0.22000000000000003,0.125,0.35000000000000003,0.15833333333333335,0.37857142857142856,0.3375,0.3333333333333333,0.3535714285714286,0.39166666666666666,0.19999999999999998,0.24499999999999997,0.3208333333333333,0.365,0.3892857142857143,0.2,0.225,0.30416666666666664,0.32,0.36,0.35000000000000003,0.3392857142857143,0.32321428571428573,0.275,0.30833333333333335,0.45,0.4166666666666667,0.29583333333333334,0.31875,0.4,0.265,0.34,0.2625,0.15,0.3125,0.15,0.2375,0.2,0.3666666666666667,0.3833333333333333,0.25,0.475,0.25,0.2,0.225,0.225,0.225,0.23750000000000002,0.2
