,10001000,11111111,00000101,11101110,00111111,00000000,10110111,00001000,10110010,01011111,00000100,10111111,00001111,01000100,00110011,00100000,01110111,11001111,11010000,10101111,01110010,11000000,00010000,11111101,00001010,00010001,10100000,10000000,11000010,01001000,11100000,11011101,11111110,10011001,11111000,11010001,00000010,00001100,11110010,10110101,11111010,11001100,11111011,11101010,00000001,00111000,01110011,10101010,01000000,10011010,11111100,01000011,00100010,11011111,10110011,10100010,10111110,01010000,00011001,11110000,00010011,01010101,10101110,10010000,11110011,10101011,10000010,00011101,01011101,11110101,00101111,00111011,01111111,11011010,00001101,01010100,00011011,10011101,10001110,11100010,10111000,11001010,10010001,00011110,00001110,11000100,11000101,01010001,01110101,00001011,11011100,00111010,11101111,01001110,01101111,11010101,10111010,11110111,01000101,11101100,01010011,10110000,00010101,10100100,00111110,10110001,01011110,11110100,00110000,00000011,01000111,10111011,01100100,00000111,00100011,11001000,11001110,01001111,01010111,01100000,11001101,11111001,11110001,10100101,10001111,10001010,11110110,00011111,01100110,01101110,01011000,01111000,10111100,11010010,10011000,10000100,11011011,00100101,10001100,10111001,10100001,01111011,10001011,00100001,00101110,10000101,10001001,01000110,11100100,10000001,10101100,00100111,01001010,11100110,10101000,01111010,00110111,01011010,01000001,00110010,01110000,00110100,11000011,11011001,10011100,10011011,01111110,01111101,00011000,00010111,10001101,00000110,00100110,00110001,01011011,01010010,11101000,00100100,01001100,01101000,01110001,10011111,01111100,01100010,00111100,10101101,00010100,10010111,10110100,00101001,11011110,11000111,01011100,01001101,11001011,00110101,00011010,00101000,00101010,11100111,11010111,01100011,11010011,11011000,11100101,00011100,01000010,11010100,10111101,01101100,01110100,01110110,01100101,11000001,00001001,01101010,10100011,11100011,11001001,10100111,00101011,11101101,11000110,01100111,11100001,00010010,10100110,10101001,00101100,10000011,11101011,00111101,10010101,01010110,10010011,10000110,01101101,11101001,00010110,00110110,10010100,01001001,00111001,01011001,10000111,00101101,01001011,10011110,01100001,01101011,10010010,10110110,11010110,10010110,01111001
Frequency,2637.0,45463.0,2628.0,2701.0,2698.0,45629.0,175.0,3396.0,199.0,2766.0,3470.0,3465.0,4147.0,2639.0,4201.0,3460.0,2750.0,2808.0,844.0,2651.0,310.0,2714.0,3500.0,3415.0,2689.0,2781.0,2779.0,3404.0,163.0,177.0,841.0,2657.0,3421.0,186.0,836.0,314.0,3445.0,2770.0,814.0,126.0,2807.0,4189.0,3377.0,846.0,3499.0,139.0,832.0,4069.0,3488.0,41.0,2553.0,156.0,2676.0,3422.0,843.0,823.0,172.0,2709.0,137.0,4058.0,845.0,4074.0,848.0,187.0,2695.0,846.0,190.0,325.0,879.0,2757.0,851.0,893.0,3439.0,127.0,864.0,824.0,307.0,153.0,186.0,315.0,291.0,309.0,137.0,34.0,805.0,875.0,300.0,812.0,808.0,845.0,812.0,325.0,3441.0,321.0,180.0,892.0,842.0,3443.0,841.0,850.0,348.0,845.0,830.0,150.0,143.0,308.0,143.0,789.0,2782.0,2674.0,316.0,2693.0,155.0,833.0,833.0,813.0,805.0,867.0,840.0,202.0,827.0,176.0,838.0,203.0,818.0,809.0,176.0,826.0,182.0,161.0,152.0,26.0,144.0,28.0,147.0,175.0,189.0,147.0,824.0,134.0,149.0,164.0,314.0,188.0,313.0,157.0,148.0,126.0,320.0,200.0,352.0,328.0,159.0,150.0,790.0,132.0,850.0,186.0,169.0,854.0,855.0,142.0,224.0,164.0,29.0,136.0,202.0,182.0,169.0,191.0,287.0,172.0,132.0,875.0,123.0,135.0,193.0,184.0,827.0,11.0,195.0,186.0,160.0,126.0,197.0,137.0,194.0,5.0,32.0,5.0,180.0,166.0,353.0,186.0,145.0,294.0,157.0,199.0,807.0,167.0,169.0,42.0,143.0,328.0,158.0,153.0,181.0,180.0,214.0,24.0,309.0,164.0,32.0,144.0,170.0,30.0,311.0,130.0,33.0,129.0,157.0,202.0,24.0,137.0,34.0,188.0,18.0,27.0,141.0,139.0,200.0,143.0,26.0,28.0,29.0,7.0,4.0,8.0,5.0,29.0,10.0,12.0,26.0,31.0,34.0,26.0,33.0,4.0,7.0,2.0,13.0,5.0,5.0,1.0,4.0
Dimension,3.0,0.0,4.0,3.0,4.0,0.0,8.0,6.0,9.0,4.0,6.0,6.0,2.0,4.0,2.0,6.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,7.0,8.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,4.0,5.0,7.0,4.0,2.0,6.0,5.0,6.0,7.0,5.0,2.0,6.0,10.0,4.0,7.0,4.0,6.0,5.0,5.0,8.0,4.0,7.0,2.0,5.0,2.0,5.0,8.0,4.0,5.0,8.0,6.0,5.0,4.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,7.0,9.0,6.0,6.0,6.0,7.0,10.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,7.0,7.0,6.0,7.0,5.0,4.0,4.0,6.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,5.0,6.0,5.0,5.0,8.0,5.0,6.0,7.0,7.0,10.0,7.0,10.0,7.0,8.0,8.0,7.0,5.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,7.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,8.0,5.0,5.0,7.0,6.0,7.0,10.0,7.0,8.0,8.0,8.0,9.0,6.0,8.0,7.0,5.0,7.0,7.0,9.0,8.0,5.0,13.0,9.0,8.0,7.0,7.0,6.0,7.0,8.0,13.0,10.0,13.0,8.0,7.0,6.0,9.0,7.0,6.0,7.0,8.0,5.0,8.0,8.0,10.0,7.0,6.0,7.0,7.0,8.0,9.0,8.0,10.0,6.0,7.0,10.0,7.0,8.0,10.0,6.0,7.0,10.0,7.0,9.0,8.0,10.0,7.0,10.0,8.0,10.0,10.0,7.0,7.0,8.0,7.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,10.0,13.0,13.0,10.0,10.0,10.0,10.0,10.0,13.0,12.0,12.0,13.0,13.0,13.0,16.0,13.0
Robustness,0.5471534888130448,0.8468039944570326,0.4618887937595129,0.45898509811181043,0.5498633246849507,0.8461792390804107,0.347142857142857,0.5575493227326269,0.22989949748743718,0.5497333694866242,0.5053314121037474,0.5584956709956699,0.5305416566192424,0.5026288366805622,0.5299184717924315,0.5569815751445093,0.549568181818183,0.5060986467236485,0.3931057464454976,0.5079804790645029,0.2860887096774193,0.5506286845983793,0.5073482142857157,0.5039439970717439,0.5029053551506143,0.459670532182668,0.5502991183879091,0.617251762632199,0.2877684049079755,0.34445621468926546,0.3895288347205705,0.5076566616484772,0.45188724057293195,0.32846102150537637,0.35376794258373206,0.30185111464968145,0.5061230043541377,0.5061484657039697,0.34279023341523357,0.3000992063492063,0.45975463127894567,0.5275125328240633,0.5038033017471151,0.3547207446808509,0.45228993998285216,0.29114208633093536,0.39231520432692313,0.5304359179159494,0.556076189793578,0.18902439024390244,0.4636089894242068,0.3002804487179489,0.5088985426008985,0.5610388661601406,0.40447064056939513,0.4008961117861481,0.25036337209302323,0.5082018272425249,0.2851277372262774,0.5294942089699373,0.349593195266272,0.5289027982326954,0.3426813089622644,0.3347259358288767,0.5072124304267174,0.3305260047281328,0.3292763157894736,0.2915384615384615,0.40034840728100124,0.5097932535364537,0.39846504112808445,0.39897116461366167,0.6125327129979659,0.2741141732283466,0.34313512731481444,0.33548240291262166,0.2911237785016288,0.297794117647059,0.23403897849462366,0.28948412698412707,0.2927405498281787,0.29227346278317146,0.2994981751824817,0.17371323529411764,0.3360248447204966,0.3952142857142855,0.29479166666666684,0.3345905172413791,0.3975479579207922,0.34670857988165693,0.34059421182265953,0.3011538461538462,0.5053218541121768,0.30334890965732075,0.3315972222222222,0.40449831838565015,0.34438093824228017,0.5613109933197804,0.34166914387633784,0.34808823529411775,0.3032507183908047,0.3934911242603551,0.3533885542168676,0.29000000000000015,0.25655594405594395,0.2914975649350649,0.2711975524475524,0.33974968314321957,0.5083235981308412,0.46282488780852654,0.29460047468354433,0.508795952469366,0.2919354838709676,0.353841536614646,0.34705132052821114,0.3863776137761376,0.34965062111801254,0.3965181660899655,0.3841889880952384,0.3279702970297031,0.33698609431680804,0.27095170454545453,0.3337559665871126,0.3091133004926108,0.4100320904645477,0.40300525339925836,0.26242897727272746,0.39490012106537536,0.32778159340659324,0.295419254658385,0.2913240131578945,0.21634615384615385,0.2762586805555555,0.18191964285714285,0.30909863945578214,0.33857142857142863,0.27662037037037013,0.2986819727891156,0.3959344660194176,0.2845149253731341,0.26971476510067116,0.33193597560975613,0.3018511146496813,0.2581449468085107,0.29263178913738014,0.3021496815286624,0.2620354729729728,0.28174603174603163,0.30263671875,0.28625000000000006,0.2873757102272725,0.29839939024390255,0.30444182389937113,0.30104166666666643,0.39331487341772153,0.303503787878788,0.3931617647058824,0.32594086021505375,0.2579511834319525,0.3348946135831383,0.4078216374269006,0.2750880281690142,0.31236049107142855,0.27820121951219523,0.18426724137931033,0.2828584558823529,0.2837252475247526,0.34666895604395587,0.28032544378698226,0.23298429319371727,0.29496951219512185,0.2614462209302326,0.2949810606060606,0.346714285714286,0.2850609756097561,0.27361111111111114,0.24935233160621753,0.2797214673913043,0.41078446191051987,0.19318181818181818,0.2421474358974359,0.31216397849462374,0.2914062500000002,0.27628968253968267,0.3202728426395941,0.28147810218978103,0.2672358247422682,0.2,0.1787109375,0.1125,0.27447916666666683,0.29066265060240987,0.2890403682719547,0.2367271505376344,0.2691810344827588,0.29857568027210885,0.2886146496815288,0.329930904522613,0.40621127633209403,0.2773203592814369,0.3467085798816568,0.15252976190476192,0.29960664335664333,0.29916158536585363,0.26542721518987344,0.27083333333333326,0.2869475138121547,0.23975694444444445,0.2818341121495326,0.21484375,0.28741909385113285,0.2732469512195122,0.1923828125,0.2647569444444446,0.275183823529412,0.21770833333333334,0.3097869774919613,0.29735576923076923,0.17613636363636365,0.28803294573643407,0.25000000000000006,0.26639851485148514,0.18098958333333334,0.2994981751824817,0.171875,0.2623005319148937,0.16145833333333334,0.14351851851851855,0.29964539007092206,0.2954136690647483,0.2607812500000001,0.2906468531468532,0.19471153846153846,0.16852678571428573,0.2209051724137931,0.14732142857142858,0.171875,0.1015625,0.04375,0.14439655172413796,0.153125,0.07291666666666667,0.18269230769230768,0.18346774193548387,0.20220588235294118,0.16947115384615385,0.17518939393939395,0.0625,0.125,0.0625,0.09375,0.09375,0.0875,0.0,0.1015625
