,Literals Count,Clauses Count,Dimension
1011100000000000,5.0,3.0,8.0
1011100000000001,9.0,4.0,13.0
1011100000000010,10.0,3.0,13.0
1011100000000011,9.0,4.0,13.0
1011100000000100,9.0,4.0,13.0
1011100000000101,9.0,3.0,12.0
1011100000000110,14.0,5.0,19.0
1011100000000111,11.0,4.0,15.0
1011100000001000,6.0,3.0,9.0
1011100000001001,10.0,4.0,14.0
1011100000001010,9.0,4.0,13.0
1011100000001011,7.0,3.0,10.0
1011100000001100,7.0,3.0,10.0
1011100000001101,11.0,4.0,15.0
1011100000001110,11.0,4.0,15.0
1011100000001111,8.0,3.0,11.0
1011100000010000,6.0,3.0,9.0
1011100000010001,7.0,3.0,10.0
1011100000010010,12.0,5.0,17.0
1011100000010011,10.0,4.0,14.0
1011100000010100,10.0,4.0,14.0
1011100000010101,11.0,4.0,15.0
1011100000010110,17.0,5.0,22.0
1011100000010111,15.0,5.0,20.0
1011100000011000,7.0,3.0,10.0
1011100000011001,11.0,4.0,15.0
1011100000011010,10.0,4.0,14.0
1011100000011011,8.0,3.0,11.0
1011100000011100,11.0,4.0,15.0
1011100000011101,24.0,8.0,32.0
1011100000011110,15.0,5.0,20.0
1011100000011111,11.0,4.0,15.0
1011100000100000,8.0,4.0,12.0
1011100000100001,13.0,5.0,18.0
1011100000100010,9.0,4.0,13.0
1011100000100011,10.0,4.0,14.0
1011100000100100,11.0,4.0,15.0
1011100000100101,12.0,4.0,16.0
1011100000100110,13.0,4.0,17.0
1011100000100111,12.0,4.0,16.0
1011100000101000,9.0,4.0,13.0
1011100000101001,14.0,5.0,19.0
1011100000101010,10.0,4.0,14.0
1011100000101011,11.0,4.0,15.0
1011100000101100,11.0,4.0,15.0
1011100000101101,15.0,5.0,20.0
1011100000101110,12.0,4.0,16.0
1011100000101111,11.0,4.0,15.0
1011100000110000,5.0,2.0,7.0
1011100000110001,8.0,3.0,11.0
1011100000110010,8.0,3.0,11.0
1011100000110011,7.0,3.0,10.0
1011100000110100,9.0,3.0,12.0
1011100000110101,8.0,3.0,11.0
1011100000110110,12.0,4.0,16.0
1011100000110111,10.0,4.0,14.0
1011100000111000,7.0,3.0,10.0
1011100000111001,11.0,4.0,15.0
1011100000111010,8.0,3.0,11.0
1011100000111011,8.0,3.0,11.0
1011100000111100,8.0,3.0,11.0
1011100000111101,11.0,4.0,15.0
1011100000111110,11.0,4.0,15.0
1011100000111111,7.0,3.0,10.0
1011100001000000,10.0,3.0,13.0
1011100001000001,14.0,5.0,19.0
1011100001000010,14.0,4.0,18.0
1011100001000011,13.0,4.0,17.0
1011100001000100,9.0,4.0,13.0
1011100001000101,11.0,4.0,15.0
1011100001000110,13.0,4.0,17.0
1011100001000111,12.0,4.0,16.0
1011100001001000,12.0,5.0,17.0
1011100001001001,17.0,5.0,22.0
1011100001001010,13.0,4.0,17.0
1011100001001011,15.0,5.0,20.0
1011100001001100,10.0,4.0,14.0
1011100001001101,15.0,5.0,20.0
1011100001001110,12.0,4.0,16.0
1011100001001111,11.0,4.0,15.0
1011100001010000,9.0,4.0,13.0
1011100001010001,11.0,4.0,15.0
1011100001010010,13.0,4.0,17.0
1011100001010011,12.0,4.0,16.0
1011100001010100,7.0,3.0,10.0
1011100001010101,8.0,3.0,11.0
1011100001010110,15.0,5.0,20.0
1011100001010111,11.0,4.0,15.0
1011100001011000,10.0,4.0,14.0
1011100001011001,15.0,5.0,20.0
1011100001011010,11.0,4.0,15.0
1011100001011011,12.0,4.0,16.0
1011100001011100,8.0,3.0,11.0
1011100001011101,11.0,4.0,15.0
1011100001011110,12.0,4.0,16.0
1011100001011111,9.0,3.0,12.0
1011100001100000,13.0,5.0,18.0
1011100001100001,17.0,5.0,22.0
1011100001100010,13.0,4.0,17.0
1011100001100011,16.0,5.0,21.0
1011100001100100,11.0,4.0,15.0
1011100001100101,15.0,5.0,20.0
1011100001100110,12.0,4.0,16.0
1011100001100111,13.0,4.0,17.0
1011100001101000,14.0,5.0,19.0
1011100001101001,20.0,6.0,26.0
1011100001101010,15.0,5.0,20.0
1011100001101011,17.0,5.0,22.0
1011100001101100,12.0,4.0,16.0
1011100001101101,17.0,5.0,22.0
1011100001101110,13.0,4.0,17.0
1011100001101111,14.0,4.0,18.0
1011100001110000,8.0,3.0,11.0
1011100001110001,11.0,4.0,15.0
1011100001110010,11.0,4.0,15.0
1011100001110011,10.0,4.0,14.0
1011100001110100,8.0,3.0,11.0
1011100001110101,7.0,3.0,10.0
1011100001110110,11.0,4.0,15.0
1011100001110111,9.0,3.0,12.0
1011100001111000,11.0,4.0,15.0
1011100001111001,14.0,5.0,19.0
1011100001111010,11.0,4.0,15.0
1011100001111011,13.0,4.0,17.0
1011100001111100,9.0,3.0,12.0
1011100001111101,10.0,4.0,14.0
1011100001111110,11.0,4.0,15.0
1011100001111111,9.0,4.0,13.0
1011100010000000,8.0,4.0,12.0
1011100010000001,11.0,4.0,15.0
1011100010000010,13.0,5.0,18.0
1011100010000011,11.0,4.0,15.0
1011100010000100,13.0,5.0,18.0
1011100010000101,12.0,4.0,16.0
1011100010000110,17.0,5.0,22.0
1011100010000111,15.0,5.0,20.0
1011100010001000,5.0,2.0,7.0
1011100010001001,9.0,3.0,12.0
1011100010001010,8.0,3.0,11.0
1011100010001011,8.0,3.0,11.0
1011100010001100,8.0,3.0,11.0
1011100010001101,8.0,3.0,11.0
1011100010001110,11.0,4.0,15.0
1011100010001111,7.0,3.0,10.0
1011100010010000,9.0,4.0,13.0
1011100010010001,11.0,4.0,15.0
1011100010010010,14.0,5.0,19.0
1011100010010011,12.0,4.0,16.0
1011100010010100,14.0,5.0,19.0
1011100010010101,15.0,5.0,20.0
1011100010010110,20.0,6.0,26.0
1011100010010111,17.0,5.0,22.0
1011100010011000,7.0,3.0,10.0
1011100010011001,8.0,3.0,11.0
1011100010011010,11.0,4.0,15.0
1011100010011011,9.0,3.0,12.0
1011100010011100,11.0,4.0,15.0
1011100010011101,11.0,4.0,15.0
1011100010011110,14.0,5.0,19.0
1011100010011111,10.0,4.0,14.0
1011100010100000,8.0,4.0,12.0
1011100010100001,11.0,4.0,15.0
1011100010100010,10.0,4.0,14.0
1011100010100011,11.0,4.0,15.0
1011100010100100,11.0,4.0,15.0
1011100010100101,11.0,4.0,15.0
1011100010100110,15.0,5.0,20.0
1011100010100111,13.0,4.0,17.0
1011100010101000,6.0,3.0,9.0
1011100010101001,11.0,4.0,15.0
1011100010101010,7.0,3.0,10.0
1011100010101011,8.0,3.0,11.0
1011100010101100,8.0,3.0,11.0
1011100010101101,10.0,4.0,14.0
1011100010101110,10.0,4.0,14.0
1011100010101111,9.0,3.0,12.0
1011100010110000,6.0,3.0,9.0
1011100010110001,8.0,3.0,11.0
1011100010110010,10.0,4.0,14.0
1011100010110011,8.0,3.0,11.0
1011100010110100,11.0,4.0,15.0
1011100010110101,10.0,4.0,14.0
1011100010110110,14.0,5.0,19.0
1011100010110111,12.0,5.0,17.0
1011100010111000,4.0,2.0,6.0
1011100010111001,7.0,3.0,10.0
1011100010111010,6.0,3.0,9.0
1011100010111011,5.0,2.0,7.0
1011100010111100,7.0,3.0,10.0
1011100010111101,7.0,3.0,10.0
1011100010111110,9.0,4.0,13.0
1011100010111111,6.0,3.0,9.0
1011100011000000,9.0,4.0,13.0
1011100011000001,13.0,4.0,17.0
1011100011000010,13.0,4.0,17.0
1011100011000011,12.0,4.0,16.0
1011100011000100,10.0,4.0,14.0
1011100011000101,12.0,4.0,16.0
1011100011000110,16.0,5.0,21.0
1011100011000111,13.0,4.0,17.0
1011100011001000,8.0,3.0,11.0
1011100011001001,12.0,4.0,16.0
1011100011001010,11.0,4.0,15.0
1011100011001011,11.0,4.0,15.0
1011100011001100,7.0,3.0,10.0
1011100011001101,10.0,4.0,14.0
1011100011001110,10.0,4.0,14.0
1011100011001111,9.0,3.0,12.0
1011100011010000,10.0,4.0,14.0
1011100011010001,12.0,4.0,16.0
1011100011010010,15.0,5.0,20.0
1011100011010011,13.0,4.0,17.0
1011100011010100,11.0,4.0,15.0
1011100011010101,11.0,4.0,15.0
1011100011010110,17.0,5.0,22.0
1011100011010111,14.0,4.0,18.0
1011100011011000,8.0,3.0,11.0
1011100011011001,11.0,4.0,15.0
1011100011011010,11.0,4.0,15.0
1011100011011011,11.0,4.0,15.0
1011100011011100,8.0,3.0,11.0
1011100011011101,7.0,3.0,10.0
1011100011011110,13.0,4.0,17.0
1011100011011111,9.0,4.0,13.0
1011100011100000,10.0,4.0,14.0
1011100011100001,15.0,5.0,20.0
1011100011100010,12.0,4.0,16.0
1011100011100011,13.0,4.0,17.0
1011100011100100,11.0,4.0,15.0
1011100011100101,13.0,4.0,17.0
1011100011100110,13.0,4.0,17.0
1011100011100111,14.0,4.0,18.0
1011100011101000,10.0,4.0,14.0
1011100011101001,14.0,5.0,19.0
1011100011101010,10.0,4.0,14.0
1011100011101011,13.0,4.0,17.0
1011100011101100,8.0,3.0,11.0
1011100011101101,12.0,5.0,17.0
1011100011101110,9.0,3.0,12.0
1011100011101111,10.0,3.0,13.0
1011100011110000,7.0,3.0,10.0
1011100011110001,10.0,4.0,14.0
1011100011110010,10.0,4.0,14.0
1011100011110011,9.0,3.0,12.0
1011100011110100,8.0,3.0,11.0
1011100011110101,9.0,3.0,12.0
1011100011110110,13.0,4.0,17.0
1011100011110111,10.0,3.0,13.0
1011100011111000,6.0,3.0,9.0
1011100011111001,9.0,4.0,13.0
1011100011111010,8.0,3.0,11.0
1011100011111011,8.0,4.0,12.0
1011100011111100,5.0,2.0,7.0
1011100011111101,6.0,3.0,9.0
1011100011111110,8.0,4.0,12.0
1011100011111111,5.0,3.0,8.0
1011100100000000,6.0,3.0,9.0
1011100100000001,9.0,4.0,13.0
1011100100000010,12.0,5.0,17.0
1011100100000011,10.0,4.0,14.0
1011100100000100,12.0,5.0,17.0
1011100100000101,10.0,4.0,14.0
1011100100000110,15.0,5.0,20.0
1011100100000111,12.0,4.0,16.0
1011100100001000,9.0,4.0,13.0
1011100100001001,7.0,3.0,10.0
1011100100001010,10.0,4.0,14.0
1011100100001011,8.0,3.0,11.0
1011100100001100,10.0,4.0,14.0
1011100100001101,8.0,3.0,11.0
1011100100001110,12.0,4.0,16.0
1011100100001111,9.0,3.0,12.0
1011100100010000,9.0,4.0,13.0
1011100100010001,7.0,3.0,10.0
1011100100010010,14.0,5.0,19.0
1011100100010011,11.0,4.0,15.0
1011100100010100,14.0,5.0,19.0
1011100100010101,11.0,4.0,15.0
1011100100010110,20.0,6.0,26.0
1011100100010111,14.0,5.0,19.0
1011100100011000,11.0,4.0,15.0
1011100100011001,8.0,3.0,11.0
1011100100011010,12.0,4.0,16.0
1011100100011011,9.0,3.0,12.0
1011100100011100,15.0,5.0,20.0
1011100100011101,11.0,4.0,15.0
1011100100011110,17.0,5.0,22.0
1011100100011111,10.0,4.0,14.0
1011100100100000,9.0,4.0,13.0
1011100100100001,10.0,4.0,14.0
1011100100100010,10.0,4.0,14.0
1011100100100011,11.0,4.0,15.0
1011100100100100,13.0,4.0,17.0
1011100100100101,12.0,4.0,16.0
1011100100100110,16.0,5.0,21.0
1011100100100111,13.0,4.0,17.0
1011100100101000,10.0,4.0,14.0
1011100100101001,11.0,4.0,15.0
1011100100101010,11.0,4.0,15.0
1011100100101011,12.0,4.0,16.0
1011100100101100,12.0,4.0,16.0
1011100100101101,12.0,4.0,16.0
1011100100101110,13.0,4.0,17.0
1011100100101111,11.0,4.0,15.0
1011100100110000,8.0,3.0,11.0
