,Literals Count,Clauses Count,Dimension
0010111000000000,5.0,3.0,8.0
0010111000000001,10.0,3.0,13.0
0010111000000010,8.0,4.0,12.0
0010111000000011,9.0,4.0,13.0
0010111000000100,6.0,3.0,9.0
0010111000000101,9.0,4.0,13.0
0010111000000110,9.0,4.0,13.0
0010111000000111,10.0,4.0,14.0
0010111000001000,8.0,4.0,12.0
0010111000001001,13.0,5.0,18.0
0010111000001010,8.0,4.0,12.0
0010111000001011,10.0,4.0,14.0
0010111000001100,5.0,2.0,7.0
0010111000001101,8.0,3.0,11.0
0010111000001110,6.0,3.0,9.0
0010111000001111,7.0,3.0,10.0
0010111000010000,9.0,4.0,13.0
0010111000010001,9.0,4.0,13.0
0010111000010010,13.0,5.0,18.0
0010111000010011,10.0,4.0,14.0
0010111000010100,10.0,4.0,14.0
0010111000010101,7.0,3.0,10.0
0010111000010110,14.0,5.0,19.0
0010111000010111,11.0,4.0,15.0
0010111000011000,11.0,4.0,15.0
0010111000011001,11.0,4.0,15.0
0010111000011010,11.0,4.0,15.0
0010111000011011,11.0,4.0,15.0
0010111000011100,9.0,3.0,12.0
0010111000011101,8.0,3.0,11.0
0010111000011110,11.0,4.0,15.0
0010111000011111,8.0,3.0,11.0
0010111000100000,6.0,3.0,9.0
0010111000100001,12.0,5.0,17.0
0010111000100010,5.0,2.0,7.0
0010111000100011,8.0,3.0,11.0
0010111000100100,7.0,3.0,10.0
0010111000100101,10.0,4.0,14.0
0010111000100110,7.0,3.0,10.0
0010111000100111,8.0,3.0,11.0
0010111000101000,9.0,4.0,13.0
0010111000101001,14.0,5.0,19.0
0010111000101010,6.0,3.0,9.0
0010111000101011,10.0,4.0,14.0
0010111000101100,7.0,3.0,10.0
0010111000101101,11.0,4.0,15.0
0010111000101110,4.0,2.0,6.0
0010111000101111,6.0,3.0,9.0
0010111000110000,7.0,3.0,10.0
0010111000110001,10.0,4.0,14.0
0010111000110010,8.0,3.0,11.0
0010111000110011,7.0,3.0,10.0
0010111000110100,11.0,4.0,15.0
0010111000110101,8.0,3.0,11.0
0010111000110110,11.0,4.0,15.0
0010111000110111,8.0,3.0,11.0
0010111000111000,11.0,4.0,15.0
0010111000111001,12.0,4.0,16.0
0010111000111010,8.0,3.0,11.0
0010111000111011,8.0,3.0,11.0
0010111000111100,8.0,3.0,11.0
0010111000111101,9.0,3.0,12.0
0010111000111110,7.0,3.0,10.0
0010111000111111,5.0,2.0,7.0
0010111001000000,9.0,4.0,13.0
0010111001000001,14.0,5.0,19.0
0010111001000010,11.0,4.0,15.0
0010111001000011,13.0,4.0,17.0
0010111001000100,7.0,3.0,10.0
0010111001000101,11.0,4.0,15.0
0010111001000110,11.0,4.0,15.0
0010111001000111,12.0,4.0,16.0
0010111001001000,13.0,5.0,18.0
0010111001001001,17.0,5.0,22.0
0010111001001010,11.0,4.0,15.0
0010111001001011,15.0,5.0,20.0
0010111001001100,8.0,3.0,11.0
0010111001001101,11.0,4.0,15.0
0010111001001110,8.0,3.0,11.0
0010111001001111,10.0,4.0,14.0
0010111001010000,9.0,3.0,12.0
0010111001010001,11.0,4.0,15.0
0010111001010010,12.0,4.0,16.0
0010111001010011,12.0,4.0,16.0
0010111001010100,11.0,4.0,15.0
0010111001010101,8.0,3.0,11.0
0010111001010110,15.0,5.0,20.0
0010111001010111,11.0,4.0,15.0
0010111001011000,12.0,4.0,16.0
0010111001011001,15.0,5.0,20.0
0010111001011010,11.0,4.0,15.0
0010111001011011,13.0,4.0,17.0
0010111001011100,8.0,3.0,11.0
0010111001011101,7.0,3.0,10.0
0010111001011110,10.0,4.0,14.0
0010111001011111,9.0,3.0,12.0
0010111001100000,10.0,4.0,14.0
0010111001100001,17.0,5.0,22.0
0010111001100010,9.0,3.0,12.0
0010111001100011,12.0,4.0,16.0
0010111001100100,11.0,4.0,15.0
0010111001100101,15.0,5.0,20.0
0010111001100110,8.0,3.0,11.0
0010111001100111,11.0,4.0,15.0
0010111001101000,14.0,5.0,19.0
0010111001101001,20.0,6.0,26.0
0010111001101010,11.0,4.0,15.0
0010111001101011,14.0,5.0,19.0
0010111001101100,11.0,4.0,15.0
0010111001101101,14.0,5.0,19.0
0010111001101110,7.0,3.0,10.0
0010111001101111,9.0,4.0,13.0
0010111001110000,11.0,4.0,15.0
0010111001110001,15.0,5.0,20.0
0010111001110010,8.0,3.0,11.0
0010111001110011,10.0,4.0,14.0
0010111001110100,24.0,8.0,32.0
0010111001110101,11.0,4.0,15.0
0010111001110110,11.0,4.0,15.0
0010111001110111,7.0,3.0,10.0
0010111001111000,15.0,5.0,20.0
0010111001111001,17.0,5.0,22.0
0010111001111010,10.0,4.0,14.0
0010111001111011,12.0,5.0,17.0
0010111001111100,11.0,4.0,15.0
0010111001111101,10.0,4.0,14.0
0010111001111110,7.0,3.0,10.0
0010111001111111,6.0,3.0,9.0
0010111010000000,10.0,3.0,13.0
0010111010000001,14.0,4.0,18.0
0010111010000010,13.0,5.0,18.0
0010111010000011,13.0,4.0,17.0
0010111010000100,12.0,5.0,17.0
0010111010000101,13.0,4.0,17.0
0010111010000110,14.0,5.0,19.0
0010111010000111,15.0,5.0,20.0
0010111010001000,9.0,4.0,13.0
0010111010001001,13.0,4.0,17.0
0010111010001010,10.0,4.0,14.0
0010111010001011,12.0,4.0,16.0
0010111010001100,8.0,3.0,11.0
0010111010001101,11.0,4.0,15.0
