,Literals Count,Clauses Count,Dimension
1101011000000000,10.0,4.0,14.0
1101011000000001,16.0,6.0,22.0
1101011000000010,12.0,4.0,16.0
1101011000000011,14.0,5.0,19.0
1101011000000100,13.0,5.0,18.0
1101011000000101,14.0,5.0,19.0
1101011000000110,11.0,4.0,15.0
1101011000000111,12.0,4.0,16.0
1101011000001000,16.0,6.0,22.0
1101011000001001,19.0,6.0,25.0
1101011000001010,14.0,5.0,19.0
1101011000001011,16.0,5.0,21.0
1101011000001100,14.0,5.0,19.0
1101011000001101,16.0,5.0,21.0
1101011000001110,12.0,4.0,16.0
1101011000001111,13.0,4.0,17.0
1101011000010000,13.0,5.0,18.0
1101011000010001,14.0,5.0,19.0
1101011000010010,11.0,4.0,15.0
1101011000010011,12.0,4.0,16.0
1101011000010100,13.0,4.0,17.0
1101011000010101,15.0,5.0,20.0
1101011000010110,12.0,4.0,16.0
1101011000010111,13.0,4.0,17.0
1101011000011000,17.0,5.0,22.0
1101011000011001,20.0,6.0,26.0
1101011000011010,15.0,5.0,20.0
1101011000011011,17.0,5.0,22.0
1101011000011100,16.0,5.0,21.0
1101011000011101,17.0,5.0,22.0
1101011000011110,13.0,4.0,17.0
1101011000011111,14.0,4.0,18.0
1101011000100000,16.0,6.0,22.0
1101011000100001,19.0,6.0,25.0
1101011000100010,14.0,5.0,19.0
1101011000100011,16.0,5.0,21.0
1101011000100100,17.0,5.0,22.0
1101011000100101,20.0,6.0,26.0
1101011000100110,15.0,5.0,20.0
1101011000100111,17.0,5.0,22.0
1101011000101000,19.0,6.0,25.0
1101011000101001,25.0,7.0,32.0
1101011000101010,16.0,5.0,21.0
1101011000101011,21.0,6.0,27.0
1101011000101100,20.0,6.0,26.0
1101011000101101,22.0,6.0,28.0
1101011000101110,17.0,5.0,22.0
1101011000101111,17.0,6.0,23.0
1101011000110000,14.0,5.0,19.0
1101011000110001,16.0,5.0,21.0
1101011000110010,12.0,4.0,16.0
1101011000110011,13.0,4.0,17.0
1101011000110100,16.0,5.0,21.0
1101011000110101,17.0,5.0,22.0
1101011000110110,13.0,4.0,17.0
1101011000110111,14.0,4.0,18.0
1101011000111000,20.0,6.0,26.0
1101011000111001,22.0,6.0,28.0
1101011000111010,17.0,5.0,22.0
1101011000111011,17.0,6.0,23.0
1101011000111100,17.0,5.0,22.0
1101011000111101,19.0,5.0,24.0
1101011000111110,14.0,4.0,18.0
1101011000111111,15.0,4.0,19.0
1101011001000000,15.0,6.0,21.0
1101011001000001,18.0,6.0,24.0
1101011001000010,15.0,5.0,20.0
1101011001000011,18.0,6.0,24.0
1101011001000100,12.0,4.0,16.0
1101011001000101,15.0,5.0,20.0
1101011001000110,11.0,4.0,15.0
1101011001000111,14.0,5.0,19.0
1101011001001000,18.0,6.0,24.0
1101011001001001,24.0,7.0,31.0
1101011001001010,18.0,6.0,24.0
1101011001001011,21.0,6.0,27.0
1101011001001100,15.0,5.0,20.0
1101011001001101,18.0,6.0,24.0
1101011001001110,14.0,5.0,19.0
1101011001001111,13.0,5.0,18.0
1101011001010000,12.0,4.0,16.0
1101011001010001,15.0,5.0,20.0
1101011001010010,11.0,4.0,15.0
1101011001010011,14.0,5.0,19.0
1101011001010100,11.0,4.0,15.0
1101011001010101,12.0,4.0,16.0
1101011001010110,10.0,4.0,14.0
1101011001010111,12.0,5.0,17.0
1101011001011000,16.0,5.0,21.0
1101011001011001,19.0,6.0,25.0
1101011001011010,14.0,5.0,19.0
1101011001011011,17.0,6.0,23.0
1101011001011100,14.0,5.0,19.0
1101011001011101,16.0,6.0,22.0
1101011001011110,13.0,4.0,17.0
1101011001011111,12.0,5.0,17.0
1101011001100000,18.0,6.0,24.0
1101011001100001,24.0,7.0,31.0
1101011001100010,18.0,6.0,24.0
1101011001100011,21.0,6.0,27.0
1101011001100100,16.0,5.0,21.0
1101011001100101,19.0,6.0,25.0
1101011001100110,14.0,5.0,19.0
1101011001100111,17.0,6.0,23.0
1101011001101000,24.0,7.0,31.0
1101011001101001,28.0,7.0,35.0
1101011001101010,21.0,6.0,27.0
1101011001101011,24.0,6.0,30.0
1101011001101100,19.0,6.0,25.0
1101011001101101,22.0,7.0,29.0
1101011001101110,17.0,6.0,23.0
1101011001101111,16.0,6.0,22.0
1101011001110000,15.0,5.0,20.0
1101011001110001,18.0,6.0,24.0
1101011001110010,14.0,5.0,19.0
1101011001110011,13.0,5.0,18.0
1101011001110100,14.0,5.0,19.0
1101011001110101,16.0,6.0,22.0
1101011001110110,13.0,4.0,17.0
1101011001110111,12.0,5.0,17.0
1101011001111000,19.0,6.0,25.0
1101011001111001,22.0,7.0,29.0
