,Literals Count,Clauses Count,Dimension
0110110000000000,8.0,4.0,12.0
0110110000000001,14.0,4.0,18.0
0110110000000010,12.0,5.0,17.0
0110110000000011,13.0,5.0,18.0
0110110000000100,11.0,5.0,16.0
0110110000000101,13.0,5.0,18.0
0110110000000110,13.0,5.0,18.0
0110110000000111,14.0,5.0,19.0
0110110000001000,10.0,3.0,13.0
0110110000001001,14.0,4.0,18.0
0110110000001010,12.0,5.0,17.0
0110110000001011,13.0,4.0,17.0
0110110000001100,9.0,4.0,13.0
0110110000001101,11.0,4.0,15.0
0110110000001110,10.0,4.0,14.0
0110110000001111,11.0,4.0,15.0
0110110000010000,12.0,5.0,17.0
0110110000010001,13.0,5.0,18.0
0110110000010010,17.0,6.0,23.0
0110110000010011,14.0,5.0,19.0
0110110000010100,13.0,5.0,18.0
0110110000010101,14.0,5.0,19.0
0110110000010110,21.0,7.0,28.0
0110110000010111,18.0,6.0,24.0
0110110000011000,14.0,5.0,19.0
0110110000011001,13.0,4.0,17.0
0110110000011010,17.0,5.0,22.0
0110110000011011,15.0,5.0,20.0
0110110000011100,13.0,4.0,17.0
0110110000011101,12.0,4.0,16.0
0110110000011110,16.0,5.0,21.0
0110110000011111,14.0,5.0,19.0
0110110000100000,9.0,4.0,13.0
0110110000100001,13.0,4.0,17.0
0110110000100010,10.0,4.0,14.0
0110110000100011,11.0,4.0,15.0
0110110000100100,12.0,4.0,16.0
0110110000100101,12.0,4.0,16.0
0110110000100110,14.0,5.0,19.0
0110110000100111,15.0,5.0,20.0
0110110000101000,9.0,4.0,13.0
0110110000101001,13.0,4.0,17.0
0110110000101010,10.0,4.0,14.0
0110110000101011,12.0,4.0,16.0
0110110000101100,8.0,3.0,11.0
0110110000101101,11.0,4.0,15.0
0110110000101110,11.0,4.0,15.0
0110110000101111,10.0,4.0,14.0
0110110000110000,10.0,4.0,14.0
0110110000110001,11.0,4.0,15.0
0110110000110010,14.0,5.0,19.0
0110110000110011,11.0,4.0,15.0
0110110000110100,14.0,5.0,19.0
0110110000110101,15.0,5.0,20.0
0110110000110110,18.0,6.0,24.0
0110110000110111,14.0,5.0,19.0
0110110000111000,11.0,4.0,15.0
0110110000111001,12.0,4.0,16.0
0110110000111010,15.0,5.0,20.0
0110110000111011,11.0,4.0,15.0
0110110000111100,11.0,4.0,15.0
0110110000111101,11.0,4.0,15.0
0110110000111110,14.0,5.0,19.0
0110110000111111,10.0,4.0,14.0
0110110001000000,10.0,3.0,13.0
0110110001000001,14.0,4.0,18.0
0110110001000010,14.0,5.0,19.0
0110110001000011,13.0,4.0,17.0
0110110001000100,9.0,4.0,13.0
0110110001000101,11.0,4.0,15.0
0110110001000110,13.0,4.0,17.0
0110110001000111,12.0,4.0,16.0
0110110001001000,12.0,5.0,17.0
0110110001001001,17.0,5.0,22.0
0110110001001010,13.0,4.0,17.0
0110110001001011,16.0,5.0,21.0
0110110001001100,8.0,3.0,11.0
0110110001001101,11.0,4.0,15.0
0110110001001110,11.0,4.0,15.0
0110110001001111,10.0,4.0,14.0
0110110001010000,12.0,5.0,17.0
0110110001010001,13.0,4.0,17.0
0110110001010010,17.0,5.0,22.0
0110110001010011,15.0,5.0,20.0
0110110001010100,10.0,4.0,14.0
0110110001010101,11.0,4.0,15.0
0110110001010110,16.0,5.0,21.0
0110110001010111,14.0,5.0,19.0
0110110001011000,13.0,4.0,17.0
0110110001011001,16.0,5.0,21.0
0110110001011010,15.0,5.0,20.0
0110110001011011,16.0,5.0,21.0
0110110001011100,11.0,4.0,15.0
0110110001011101,10.0,4.0,14.0
0110110001011110,14.0,5.0,19.0
0110110001011111,12.0,4.0,16.0
0110110001100000,9.0,4.0,13.0
0110110001100001,13.0,4.0,17.0
0110110001100010,11.0,4.0,15.0
0110110001100011,12.0,4.0,16.0
0110110001100100,8.0,3.0,11.0
0110110001100101,11.0,4.0,15.0
0110110001100110,11.0,4.0,15.0
0110110001100111,11.0,4.0,15.0
0110110001101000,10.0,4.0,14.0
0110110001101001,16.0,5.0,21.0
0110110001101010,11.0,4.0,15.0
0110110001101011,13.0,4.0,17.0
0110110001101100,7.0,3.0,10.0
0110110001101101,10.0,4.0,14.0
0110110001101110,8.0,3.0,11.0
0110110001101111,9.0,3.0,12.0
0110110001110000,10.0,4.0,14.0
0110110001110001,12.0,4.0,16.0
0110110001110010,15.0,5.0,20.0
0110110001110011,11.0,4.0,15.0
0110110001110100,11.0,4.0,15.0
0110110001110101,10.0,4.0,14.0
0110110001110110,14.0,5.0,19.0
0110110001110111,10.0,4.0,14.0
0110110001111000,11.0,4.0,15.0
0110110001111001,13.0,4.0,17.0
0110110001111010,12.0,4.0,16.0
0110110001111011,13.0,4.0,17.0
0110110001111100,8.0,3.0,11.0
0110110001111101,9.0,3.0,12.0
0110110001111110,12.0,4.0,16.0
0110110001111111,9.0,3.0,12.0
0110110010000000,14.0,6.0,20.0
0110110010000001,18.0,5.0,23.0
0110110010000010,17.0,6.0,23.0
0110110010000011,17.0,5.0,22.0
0110110010000100,16.0,6.0,22.0
0110110010000101,17.0,5.0,22.0
0110110010000110,19.0,6.0,25.0
0110110010000111,20.0,6.0,26.0
0110110010001000,12.0,5.0,17.0
0110110010001001,17.0,5.0,22.0
0110110010001010,14.0,5.0,19.0
0110110010001011,16.0,5.0,21.0
0110110010001100,12.0,4.0,16.0
0110110010001101,15.0,5.0,20.0
0110110010001110,15.0,5.0,20.0
0110110010001111,14.0,5.0,19.0
0110110010010000,17.0,6.0,23.0
0110110010010001,17.0,5.0,22.0
0110110010010010,22.0,6.0,28.0
0110110010010011,20.0,6.0,26.0
0110110010010100,19.0,6.0,25.0
0110110010010101,20.0,6.0,26.0
0110110010010110,25.0,7.0,32.0
0110110010010111,22.0,6.0,28.0
0110110010011000,15.0,5.0,20.0
0110110010011001,16.0,5.0,21.0
0110110010011010,20.0,6.0,26.0
0110110010011011,17.0,5.0,22.0
0110110010011100,16.0,5.0,21.0
0110110010011101,15.0,5.0,20.0
0110110010011110,19.0,6.0,25.0
0110110010011111,17.0,6.0,23.0
0110110010100000,12.0,5.0,17.0
0110110010100001,16.0,5.0,21.0
0110110010100010,14.0,5.0,19.0
0110110010100011,15.0,5.0,20.0
0110110010100100,14.0,5.0,19.0
0110110010100101,15.0,5.0,20.0
0110110010100110,16.0,5.0,21.0
0110110010100111,17.0,5.0,22.0
0110110010101000,10.0,4.0,14.0
0110110010101001,16.0,5.0,21.0
0110110010101010,11.0,4.0,15.0
0110110010101011,13.0,4.0,17.0
0110110010101100,11.0,4.0,15.0
0110110010101101,13.0,4.0,17.0
0110110010101110,10.0,4.0,14.0
0110110010101111,12.0,5.0,17.0
0110110010110000,14.0,5.0,19.0
0110110010110001,15.0,5.0,20.0
0110110010110010,18.0,6.0,24.0
0110110010110011,14.0,5.0,19.0
0110110010110100,16.0,5.0,21.0
0110110010110101,17.0,5.0,22.0
0110110010110110,21.0,6.0,27.0
0110110010110111,17.0,6.0,23.0
0110110010111000,12.0,4.0,16.0
0110110010111001,13.0,4.0,17.0
0110110010111010,14.0,5.0,19.0
0110110010111011,13.0,4.0,17.0
0110110010111100,13.0,4.0,17.0
0110110010111101,14.0,4.0,18.0
0110110010111110,13.0,5.0,18.0
0110110010111111,12.0,5.0,17.0
0110110011000000,12.0,5.0,17.0
0110110011000001,17.0,5.0,22.0
0110110011000010,15.0,5.0,20.0
0110110011000011,16.0,5.0,21.0
0110110011000100,12.0,4.0,16.0
0110110011000101,15.0,5.0,20.0
0110110011000110,16.0,5.0,21.0
0110110011000111,15.0,5.0,20.0
0110110011001000,13.0,5.0,18.0
