,Literals Count,Clauses Count,Dimension
0111010000000000,5.0,3.0,8.0
0111010000000001,10.0,3.0,13.0
0111010000000010,9.0,4.0,13.0
0111010000000011,9.0,4.0,13.0
0111010000000100,6.0,3.0,9.0
0111010000000101,9.0,4.0,13.0
0111010000000110,10.0,4.0,14.0
0111010000000111,7.0,3.0,10.0
0111010000001000,9.0,4.0,13.0
0111010000001001,14.0,5.0,19.0
0111010000001010,9.0,3.0,12.0
0111010000001011,11.0,4.0,15.0
0111010000001100,7.0,3.0,10.0
0111010000001101,11.0,4.0,15.0
0111010000001110,11.0,4.0,15.0
0111010000001111,8.0,3.0,11.0
0111010000010000,8.0,4.0,12.0
0111010000010001,9.0,4.0,13.0
0111010000010010,13.0,5.0,18.0
0111010000010011,10.0,4.0,14.0
0111010000010100,9.0,4.0,13.0
0111010000010101,10.0,4.0,14.0
0111010000010110,14.0,5.0,19.0
0111010000010111,11.0,4.0,15.0
0111010000011000,11.0,4.0,15.0
0111010000011001,13.0,4.0,17.0
0111010000011010,12.0,4.0,16.0
0111010000011011,12.0,4.0,16.0
0111010000011100,11.0,4.0,15.0
0111010000011101,12.0,4.0,16.0
0111010000011110,15.0,5.0,20.0
0111010000011111,11.0,4.0,15.0
0111010000100000,6.0,3.0,9.0
0111010000100001,12.0,5.0,17.0
0111010000100010,7.0,3.0,10.0
0111010000100011,10.0,4.0,14.0
0111010000100100,7.0,3.0,10.0
0111010000100101,10.0,4.0,14.0
0111010000100110,11.0,4.0,15.0
0111010000100111,8.0,3.0,11.0
0111010000101000,10.0,4.0,14.0
0111010000101001,17.0,5.0,22.0
0111010000101010,11.0,4.0,15.0
0111010000101011,15.0,5.0,20.0
0111010000101100,11.0,4.0,15.0
0111010000101101,15.0,5.0,20.0
0111010000101110,24.0,8.0,32.0
0111010000101111,11.0,4.0,15.0
0111010000110000,5.0,2.0,7.0
0111010000110001,8.0,3.0,11.0
0111010000110010,8.0,3.0,11.0
0111010000110011,7.0,3.0,10.0
0111010000110100,7.0,3.0,10.0
0111010000110101,8.0,3.0,11.0
0111010000110110,11.0,4.0,15.0
0111010000110111,8.0,3.0,11.0
0111010000111000,9.0,3.0,12.0
0111010000111001,12.0,4.0,16.0
0111010000111010,8.0,3.0,11.0
0111010000111011,10.0,4.0,14.0
0111010000111100,8.0,3.0,11.0
0111010000111101,11.0,4.0,15.0
0111010000111110,11.0,4.0,15.0
0111010000111111,7.0,3.0,10.0
0111010001000000,8.0,4.0,12.0
0111010001000001,13.0,5.0,18.0
0111010001000010,11.0,4.0,15.0
0111010001000011,11.0,4.0,15.0
0111010001000100,5.0,2.0,7.0
0111010001000101,8.0,3.0,11.0
0111010001000110,9.0,3.0,12.0
0111010001000111,8.0,3.0,11.0
0111010001001000,13.0,5.0,18.0
0111010001001001,17.0,5.0,22.0
0111010001001010,12.0,4.0,16.0
0111010001001011,15.0,5.0,20.0
0111010001001100,8.0,3.0,11.0
0111010001001101,11.0,4.0,15.0
0111010001001110,8.0,3.0,11.0
0111010001001111,7.0,3.0,10.0
0111010001010000,8.0,4.0,12.0
0111010001010001,10.0,4.0,14.0
0111010001010010,11.0,4.0,15.0
0111010001010011,11.0,4.0,15.0
0111010001010100,6.0,3.0,9.0
0111010001010101,7.0,3.0,10.0
0111010001010110,11.0,4.0,15.0
0111010001010111,8.0,3.0,11.0
0111010001011000,11.0,4.0,15.0
0111010001011001,15.0,5.0,20.0
0111010001011010,11.0,4.0,15.0
0111010001011011,13.0,4.0,17.0
0111010001011100,8.0,3.0,11.0
0111010001011101,10.0,4.0,14.0
0111010001011110,10.0,4.0,14.0
0111010001011111,9.0,3.0,12.0
0111010001100000,9.0,4.0,13.0
0111010001100001,14.0,5.0,19.0
0111010001100010,11.0,4.0,15.0
0111010001100011,12.0,4.0,16.0
0111010001100100,7.0,3.0,10.0
0111010001100101,11.0,4.0,15.0
0111010001100110,8.0,3.0,11.0
0111010001100111,9.0,3.0,12.0
0111010001101000,14.0,5.0,19.0
0111010001101001,20.0,6.0,26.0
0111010001101010,15.0,5.0,20.0
0111010001101011,17.0,5.0,22.0
0111010001101100,11.0,4.0,15.0
0111010001101101,14.0,5.0,19.0
0111010001101110,11.0,4.0,15.0
0111010001101111,10.0,4.0,14.0
0111010001110000,6.0,3.0,9.0
0111010001110001,10.0,4.0,14.0
0111010001110010,8.0,3.0,11.0
0111010001110011,8.0,3.0,11.0
0111010001110100,4.0,2.0,6.0
0111010001110101,6.0,3.0,9.0
0111010001110110,7.0,3.0,10.0
0111010001110111,5.0,2.0,7.0
0111010001111000,11.0,4.0,15.0
0111010001111001,14.0,5.0,19.0
0111010001111010,10.0,4.0,14.0
0111010001111011,12.0,5.0,17.0
0111010001111100,7.0,3.0,10.0
0111010001111101,9.0,4.0,13.0
0111010001111110,7.0,3.0,10.0
0111010001111111,6.0,3.0,9.0
0111010010000000,10.0,3.0,13.0
0111010010000001,14.0,4.0,18.0
0111010010000010,14.0,5.0,19.0
0111010010000011,13.0,4.0,17.0
0111010010000100,12.0,5.0,17.0
0111010010000101,13.0,4.0,17.0
0111010010000110,17.0,5.0,22.0
0111010010000111,15.0,5.0,20.0
0111010010001000,9.0,4.0,13.0
0111010010001001,13.0,4.0,17.0
0111010010001010,11.0,4.0,15.0
0111010010001011,12.0,4.0,16.0
0111010010001100,10.0,4.0,14.0
0111010010001101,12.0,4.0,16.0
0111010010001110,15.0,5.0,20.0
0111010010001111,11.0,4.0,15.0
0111010010010000,13.0,5.0,18.0
0111010010010001,13.0,4.0,17.0
0111010010010010,17.0,5.0,22.0
0111010010010011,16.0,5.0,21.0
0111010010010100,14.0,5.0,19.0
0111010010010101,15.0,5.0,20.0
0111010010010110,20.0,6.0,26.0
0111010010010111,17.0,5.0,22.0
0111010010011000,11.0,4.0,15.0
0111010010011001,12.0,4.0,16.0
0111010010011010,15.0,5.0,20.0
0111010010011011,13.0,4.0,17.0
0111010010011100,12.0,4.0,16.0
0111010010011101,13.0,4.0,17.0
0111010010011110,17.0,5.0,22.0
0111010010011111,14.0,4.0,18.0
0111010010100000,9.0,4.0,13.0
0111010010100001,13.0,4.0,17.0
0111010010100010,11.0,4.0,15.0
0111010010100011,12.0,4.0,16.0
0111010010100100,10.0,4.0,14.0
0111010010100101,11.0,4.0,15.0
0111010010100110,15.0,5.0,20.0
0111010010100111,12.0,4.0,16.0
0111010010101000,7.0,3.0,10.0
0111010010101001,15.0,5.0,20.0
0111010010101010,8.0,3.0,11.0
0111010010101011,11.0,4.0,15.0
0111010010101100,8.0,3.0,11.0
0111010010101101,12.0,4.0,16.0
0111010010101110,11.0,4.0,15.0
0111010010101111,9.0,3.0,12.0
0111010010110000,8.0,3.0,11.0
0111010010110001,11.0,4.0,15.0
0111010010110010,11.0,4.0,15.0
0111010010110011,10.0,4.0,14.0
0111010010110100,11.0,4.0,15.0
0111010010110101,11.0,4.0,15.0
0111010010110110,14.0,5.0,19.0
0111010010110111,13.0,4.0,17.0
0111010010111000,8.0,3.0,11.0
0111010010111001,11.0,4.0,15.0
0111010010111010,7.0,3.0,10.0
0111010010111011,9.0,3.0,12.0
0111010010111100,9.0,3.0,12.0
0111010010111101,11.0,4.0,15.0
0111010010111110,10.0,4.0,14.0
0111010010111111,9.0,4.0,13.0
0111010011000000,9.0,4.0,13.0
0111010011000001,13.0,4.0,17.0
0111010011000010,13.0,4.0,17.0
0111010011000011,12.0,4.0,16.0
0111010011000100,8.0,3.0,11.0
0111010011000101,11.0,4.0,15.0
0111010011000110,12.0,4.0,16.0
0111010011000111,11.0,4.0,15.0
0111010011001000,10.0,4.0,14.0
0111010011001001,16.0,5.0,21.0
0111010011001010,12.0,4.0,16.0
0111010011001011,13.0,4.0,17.0
0111010011001100,7.0,3.0,10.0
0111010011001101,10.0,4.0,14.0
0111010011001110,10.0,4.0,14.0
0111010011001111,9.0,3.0,12.0
0111010011010000,10.0,4.0,14.0
0111010011010001,12.0,4.0,16.0
0111010011010010,15.0,5.0,20.0
0111010011010011,13.0,4.0,17.0
0111010011010100,10.0,4.0,14.0
0111010011010101,10.0,4.0,14.0
0111010011010110,14.0,5.0,19.0
0111010011010111,13.0,4.0,17.0
0111010011011000,11.0,4.0,15.0
0111010011011001,13.0,4.0,17.0
0111010011011010,13.0,4.0,17.0
0111010011011011,14.0,4.0,18.0
0111010011011100,8.0,3.0,11.0
0111010011011101,9.0,3.0,12.0
0111010011011110,12.0,5.0,17.0
0111010011011111,10.0,3.0,13.0
0111010011100000,10.0,4.0,14.0
0111010011100001,15.0,5.0,20.0
0111010011100010,12.0,4.0,16.0
0111010011100011,13.0,4.0,17.0
0111010011100100,8.0,3.0,11.0
0111010011100101,11.0,4.0,15.0
0111010011100110,11.0,4.0,15.0
0111010011100111,11.0,4.0,15.0
0111010011101000,11.0,4.0,15.0
0111010011101001,17.0,5.0,22.0
0111010011101010,11.0,4.0,15.0
0111010011101011,14.0,4.0,18.0
0111010011101100,8.0,3.0,11.0
0111010011101101,13.0,4.0,17.0
0111010011101110,7.0,3.0,10.0
0111010011101111,9.0,4.0,13.0
0111010011110000,7.0,3.0,10.0
0111010011110001,10.0,4.0,14.0
0111010011110010,10.0,4.0,14.0
0111010011110011,9.0,3.0,12.0
0111010011110100,6.0,3.0,9.0
0111010011110101,8.0,3.0,11.0
0111010011110110,9.0,4.0,13.0
0111010011110111,8.0,4.0,12.0
0111010011111000,8.0,3.0,11.0
0111010011111001,13.0,4.0,17.0
0111010011111010,9.0,3.0,12.0
0111010011111011,10.0,3.0,13.0
0111010011111100,5.0,2.0,7.0
0111010011111101,8.0,4.0,12.0
0111010011111110,6.0,3.0,9.0
0111010011111111,5.0,3.0,8.0
0111010100000000,5.0,3.0,8.0
0111010100000001,8.0,4.0,12.0
0111010100000010,9.0,4.0,13.0
0111010100000011,8.0,3.0,11.0
0111010100000100,8.0,4.0,12.0
0111010100000101,6.0,3.0,9.0
0111010100000110,10.0,4.0,14.0
0111010100000111,7.0,3.0,10.0
0111010100001000,9.0,3.0,12.0
0111010100001001,11.0,4.0,15.0
0111010100001010,8.0,3.0,11.0
0111010100001011,11.0,4.0,15.0
0111010100001100,8.0,3.0,11.0
0111010100001101,8.0,3.0,11.0
0111010100001110,11.0,4.0,15.0
0111010100001111,7.0,3.0,10.0
0111010100010000,8.0,3.0,11.0
0111010100010001,7.0,3.0,10.0
0111010100010010,12.0,4.0,16.0
0111010100010011,10.0,4.0,14.0
0111010100010100,11.0,4.0,15.0
0111010100010101,9.0,4.0,13.0
0111010100010110,15.0,5.0,20.0
0111010100010111,11.0,4.0,15.0
0111010100011000,12.0,4.0,16.0
0111010100011001,11.0,4.0,15.0
0111010100011010,11.0,4.0,15.0
0111010100011011,10.0,4.0,14.0
0111010100011100,11.0,4.0,15.0
0111010100011101,10.0,4.0,14.0
0111010100011110,14.0,5.0,19.0
0111010100011111,9.0,4.0,13.0
0111010100100000,5.0,2.0,7.0
0111010100100001,8.0,3.0,11.0
0111010100100010,7.0,3.0,10.0
0111010100100011,8.0,3.0,11.0
0111010100100100,8.0,3.0,11.0
0111010100100101,7.0,3.0,10.0
0111010100100110,11.0,4.0,15.0
0111010100100111,8.0,3.0,11.0
0111010100101000,9.0,3.0,12.0
0111010100101001,12.0,4.0,16.0
0111010100101010,8.0,3.0,11.0
0111010100101011,11.0,4.0,15.0
0111010100101100,8.0,3.0,11.0
0111010100101101,10.0,4.0,14.0
0111010100101110,11.0,4.0,15.0
0111010100101111,7.0,3.0,10.0
0111010100110000,4.0,2.0,6.0
0111010100110001,6.0,3.0,9.0
0111010100110010,7.0,3.0,10.0
0111010100110011,6.0,3.0,9.0
0111010100110100,7.0,3.0,10.0
0111010100110101,6.0,3.0,9.0
0111010100110110,10.0,4.0,14.0
0111010100110111,8.0,3.0,11.0
0111010100111000,8.0,3.0,11.0
0111010100111001,10.0,4.0,14.0
0111010100111010,7.0,3.0,10.0
0111010100111011,9.0,3.0,12.0
0111010100111100,7.0,3.0,10.0
0111010100111101,9.0,3.0,12.0
0111010100111110,10.0,4.0,14.0
0111010100111111,6.0,3.0,9.0
0111010101000000,8.0,4.0,12.0
0111010101000001,10.0,4.0,14.0
0111010101000010,11.0,4.0,15.0
0111010101000011,11.0,4.0,15.0
0111010101000100,6.0,3.0,9.0
0111010101000101,7.0,3.0,10.0
0111010101000110,11.0,4.0,15.0
0111010101000111,8.0,3.0,11.0
0111010101001000,11.0,4.0,15.0
0111010101001001,15.0,5.0,20.0
0111010101001010,11.0,4.0,15.0
0111010101001011,13.0,4.0,17.0
0111010101001100,8.0,3.0,11.0
0111010101001101,10.0,4.0,14.0
0111010101001110,10.0,4.0,14.0
0111010101001111,9.0,3.0,12.0
0111010101010000,7.0,3.0,10.0
0111010101010001,9.0,4.0,13.0
0111010101010010,11.0,4.0,15.0
0111010101010011,10.0,4.0,14.0
0111010101010100,9.0,4.0,13.0
0111010101010101,4.0,2.0,6.0
0111010101010110,12.0,4.0,16.0
0111010101010111,7.0,3.0,10.0
0111010101011000,11.0,4.0,15.0
0111010101011001,13.0,5.0,18.0
0111010101011010,10.0,4.0,14.0
0111010101011011,12.0,5.0,17.0
0111010101011100,10.0,4.0,14.0
0111010101011101,7.0,3.0,10.0
0111010101011110,12.0,5.0,17.0
0111010101011111,6.0,3.0,9.0
0111010101100000,8.0,3.0,11.0
0111010101100001,11.0,4.0,15.0
0111010101100010,11.0,4.0,15.0
0111010101100011,11.0,4.0,15.0
0111010101100100,7.0,3.0,10.0
0111010101100101,8.0,3.0,11.0
0111010101100110,8.0,3.0,11.0
0111010101100111,9.0,3.0,12.0
0111010101101000,12.0,4.0,16.0
0111010101101001,15.0,5.0,20.0
0111010101101010,11.0,4.0,15.0
0111010101101011,14.0,4.0,18.0
0111010101101100,10.0,4.0,14.0
0111010101101101,12.0,5.0,17.0
0111010101101110,9.0,3.0,12.0
0111010101101111,9.0,4.0,13.0
0111010101110000,6.0,3.0,9.0
0111010101110001,7.0,3.0,10.0
0111010101110010,8.0,3.0,11.0
0111010101110011,8.0,3.0,11.0
0111010101110100,6.0,3.0,9.0
0111010101110101,3.0,2.0,5.0
0111010101110110,9.0,3.0,12.0
0111010101110111,5.0,2.0,7.0
0111010101111000,10.0,4.0,14.0
0111010101111001,12.0,5.0,17.0
0111010101111010,9.0,3.0,12.0
0111010101111011,10.0,3.0,13.0
0111010101111100,9.0,3.0,12.0
0111010101111101,6.0,3.0,9.0
0111010101111110,9.0,4.0,13.0
0111010101111111,5.0,3.0,8.0
0111010110000000,9.0,4.0,13.0
0111010110000001,11.0,4.0,15.0
0111010110000010,13.0,4.0,17.0
0111010110000011,12.0,4.0,16.0
0111010110000100,10.0,4.0,14.0
0111010110000101,11.0,4.0,15.0
0111010110000110,16.0,5.0,21.0
0111010110000111,14.0,5.0,19.0
0111010110001000,8.0,3.0,11.0
0111010110001001,11.0,4.0,15.0
0111010110001010,11.0,4.0,15.0
0111010110001011,11.0,4.0,15.0
0111010110001100,11.0,4.0,15.0
0111010110001101,10.0,4.0,14.0
0111010110001110,14.0,5.0,19.0
0111010110001111,10.0,4.0,14.0
0111010110010000,12.0,4.0,16.0
0111010110010001,11.0,4.0,15.0
0111010110010010,16.0,5.0,21.0
0111010110010011,14.0,5.0,19.0
0111010110010100,15.0,5.0,20.0
0111010110010101,12.0,4.0,16.0
0111010110010110,19.0,6.0,25.0
0111010110010111,16.0,6.0,22.0
0111010110011000,11.0,4.0,15.0
0111010110011001,10.0,4.0,14.0
0111010110011010,14.0,5.0,19.0
0111010110011011,13.0,4.0,17.0
0111010110011100,14.0,5.0,19.0
0111010110011101,12.0,5.0,17.0
0111010110011110,17.0,6.0,23.0
0111010110011111,12.0,5.0,17.0
0111010110100000,7.0,3.0,10.0
0111010110100001,11.0,4.0,15.0
0111010110100010,11.0,4.0,15.0
0111010110100011,11.0,4.0,15.0
0111010110100100,11.0,4.0,15.0
0111010110100101,8.0,3.0,11.0
0111010110100110,14.0,5.0,19.0
0111010110100111,12.0,4.0,16.0
0111010110101000,8.0,3.0,11.0
0111010110101001,11.0,4.0,15.0
0111010110101010,7.0,3.0,10.0
0111010110101011,10.0,4.0,14.0
0111010110101100,11.0,4.0,15.0
0111010110101101,9.0,3.0,12.0
0111010110101110,10.0,4.0,14.0
0111010110101111,9.0,3.0,12.0
0111010110110000,7.0,3.0,10.0
0111010110110001,8.0,3.0,11.0
0111010110110010,10.0,4.0,14.0
0111010110110011,9.0,4.0,13.0
0111010110110100,10.0,4.0,14.0
0111010110110101,9.0,3.0,12.0
0111010110110110,13.0,5.0,18.0
0111010110110111,11.0,5.0,16.0
0111010110111000,7.0,3.0,10.0
0111010110111001,9.0,3.0,12.0
0111010110111010,6.0,3.0,9.0
0111010110111011,8.0,4.0,12.0
0111010110111100,10.0,4.0,14.0
0111010110111101,9.0,4.0,13.0
0111010110111110,9.0,4.0,13.0
0111010110111111,8.0,4.0,12.0
0111010111000000,8.0,3.0,11.0
0111010111000001,11.0,4.0,15.0
0111010111000010,12.0,4.0,16.0
0111010111000011,11.0,4.0,15.0
0111010111000100,7.0,3.0,10.0
0111010111000101,8.0,3.0,11.0
0111010111000110,14.0,5.0,19.0
0111010111000111,12.0,4.0,16.0
0111010111001000,11.0,4.0,15.0
0111010111001001,13.0,4.0,17.0
0111010111001010,11.0,4.0,15.0
0111010111001011,13.0,4.0,17.0
0111010111001100,7.0,3.0,10.0
0111010111001101,9.0,3.0,12.0
0111010111001110,10.0,4.0,14.0
0111010111001111,9.0,3.0,12.0
0111010111010000,10.0,4.0,14.0
0111010111010001,10.0,4.0,14.0
0111010111010010,14.0,5.0,19.0
0111010111010011,13.0,4.0,17.0
0111010111010100,11.0,4.0,15.0
0111010111010101,7.0,3.0,10.0
0111010111010110,16.0,6.0,22.0
0111010111010111,10.0,4.0,14.0
0111010111011000,10.0,4.0,14.0
0111010111011001,12.0,5.0,17.0
0111010111011010,13.0,4.0,17.0
0111010111011011,14.0,4.0,18.0
0111010111011100,9.0,4.0,13.0
0111010111011101,6.0,3.0,9.0
0111010111011110,12.0,5.0,17.0
0111010111011111,8.0,4.0,12.0
0111010111100000,8.0,3.0,11.0
0111010111100001,11.0,4.0,15.0
0111010111100010,11.0,4.0,15.0
0111010111100011,11.0,4.0,15.0
0111010111100100,8.0,3.0,11.0
0111010111100101,9.0,3.0,12.0
0111010111100110,12.0,4.0,16.0
0111010111100111,13.0,4.0,17.0
0111010111101000,11.0,4.0,15.0
0111010111101001,14.0,4.0,18.0
0111010111101010,10.0,4.0,14.0
0111010111101011,13.0,5.0,18.0
0111010111101100,7.0,3.0,10.0
0111010111101101,9.0,4.0,13.0
0111010111101110,9.0,3.0,12.0
0111010111101111,10.0,3.0,13.0
0111010111110000,6.0,3.0,9.0
0111010111110001,8.0,3.0,11.0
0111010111110010,9.0,4.0,13.0
0111010111110011,8.0,4.0,12.0
0111010111110100,8.0,3.0,11.0
0111010111110101,5.0,2.0,7.0
0111010111110110,11.0,5.0,16.0
0111010111110111,7.0,4.0,11.0
0111010111111000,9.0,3.0,12.0
0111010111111001,10.0,3.0,13.0
0111010111111010,8.0,4.0,12.0
0111010111111011,10.0,3.0,13.0
0111010111111100,6.0,3.0,9.0
0111010111111101,5.0,3.0,8.0
0111010111111110,8.0,4.0,12.0
0111010111111111,4.0,3.0,7.0
