,Literals Count,Clauses Count,Dimension
0011111000000000,6.0,3.0,9.0
0011111000000001,12.0,5.0,17.0
0011111000000010,9.0,4.0,13.0
0011111000000011,10.0,4.0,14.0
0011111000000100,9.0,4.0,13.0
0011111000000101,10.0,4.0,14.0
0011111000000110,10.0,4.0,14.0
0011111000000111,11.0,4.0,15.0
0011111000001000,9.0,4.0,13.0
0011111000001001,14.0,5.0,19.0
0011111000001010,8.0,3.0,11.0
0011111000001011,11.0,4.0,15.0
0011111000001100,7.0,3.0,10.0
0011111000001101,11.0,4.0,15.0
0011111000001110,7.0,3.0,10.0
0011111000001111,8.0,3.0,11.0
0011111000010000,9.0,4.0,13.0
0011111000010001,10.0,4.0,14.0
0011111000010010,10.0,4.0,14.0
0011111000010011,11.0,4.0,15.0
0011111000010100,7.0,3.0,10.0
0011111000010101,8.0,3.0,11.0
0011111000010110,11.0,4.0,15.0
0011111000010111,12.0,4.0,16.0
0011111000011000,11.0,4.0,15.0
0011111000011001,12.0,4.0,16.0
0011111000011010,11.0,4.0,15.0
0011111000011011,11.0,4.0,15.0
0011111000011100,8.0,3.0,11.0
0011111000011101,9.0,3.0,12.0
0011111000011110,8.0,3.0,11.0
0011111000011111,9.0,3.0,12.0
0011111000100000,9.0,4.0,13.0
0011111000100001,14.0,5.0,19.0
0011111000100010,8.0,3.0,11.0
0011111000100011,11.0,4.0,15.0
0011111000100100,11.0,4.0,15.0
0011111000100101,12.0,4.0,16.0
0011111000100110,11.0,4.0,15.0
0011111000100111,11.0,4.0,15.0
0011111000101000,10.0,4.0,14.0
0011111000101001,16.0,5.0,21.0
0011111000101010,7.0,3.0,10.0
0011111000101011,12.0,4.0,16.0
0011111000101100,11.0,4.0,15.0
0011111000101101,13.0,4.0,17.0
0011111000101110,7.0,3.0,10.0
0011111000101111,9.0,3.0,12.0
0011111000110000,7.0,3.0,10.0
0011111000110001,11.0,4.0,15.0
0011111000110010,7.0,3.0,10.0
0011111000110011,8.0,3.0,11.0
0011111000110100,8.0,3.0,11.0
0011111000110101,9.0,3.0,12.0
0011111000110110,8.0,3.0,11.0
0011111000110111,9.0,3.0,12.0
0011111000111000,11.0,4.0,15.0
0011111000111001,13.0,4.0,17.0
0011111000111010,7.0,3.0,10.0
0011111000111011,9.0,3.0,12.0
0011111000111100,7.0,3.0,10.0
0011111000111101,10.0,3.0,13.0
0011111000111110,5.0,2.0,7.0
0011111000111111,6.0,2.0,8.0
0011111001000000,12.0,5.0,17.0
0011111001000001,15.0,5.0,20.0
0011111001000010,13.0,4.0,17.0
0011111001000011,16.0,5.0,21.0
0011111001000100,10.0,4.0,14.0
0011111001000101,12.0,4.0,16.0
0011111001000110,12.0,4.0,16.0
0011111001000111,13.0,4.0,17.0
0011111001001000,14.0,5.0,19.0
0011111001001001,20.0,6.0,26.0
0011111001001010,12.0,4.0,16.0
0011111001001011,15.0,5.0,20.0
0011111001001100,11.0,4.0,15.0
0011111001001101,14.0,5.0,19.0
0011111001001110,10.0,4.0,14.0
0011111001001111,12.0,5.0,17.0
0011111001010000,10.0,4.0,14.0
0011111001010001,12.0,4.0,16.0
0011111001010010,12.0,4.0,16.0
0011111001010011,13.0,4.0,17.0
0011111001010100,8.0,3.0,11.0
0011111001010101,9.0,3.0,12.0
0011111001010110,12.0,4.0,16.0
0011111001010111,11.0,4.0,15.0
0011111001011000,15.0,5.0,20.0
0011111001011001,17.0,5.0,22.0
0011111001011010,11.0,4.0,15.0
0011111001011011,14.0,4.0,18.0
0011111001011100,11.0,4.0,15.0
0011111001011101,10.0,4.0,14.0
0011111001011110,9.0,3.0,12.0
0011111001011111,9.0,4.0,13.0
0011111001100000,14.0,5.0,19.0
0011111001100001,20.0,6.0,26.0
0011111001100010,12.0,4.0,16.0
0011111001100011,15.0,5.0,20.0
0011111001100100,15.0,5.0,20.0
0011111001100101,17.0,5.0,22.0
0011111001100110,11.0,4.0,15.0
0011111001100111,14.0,4.0,18.0
0011111001101000,18.0,6.0,24.0
0011111001101001,22.0,6.0,28.0
0011111001101010,14.0,5.0,19.0
0011111001101011,17.0,6.0,23.0
0011111001101100,14.0,5.0,19.0
