,Literals Count,Clauses Count,Dimension
0001001000000000,6.0,4.0,10.0
0001001000000001,10.0,5.0,15.0
0001001000000010,7.0,4.0,11.0
0001001000000011,8.0,4.0,12.0
0001001000000100,12.0,3.0,15.0
0001001000000101,11.0,5.0,16.0
0001001000000110,11.0,3.0,14.0
0001001000000111,10.0,3.0,13.0
0001001000001000,10.0,5.0,15.0
0001001000001001,14.0,6.0,20.0
0001001000001010,8.0,4.0,12.0
0001001000001011,11.0,5.0,16.0
0001001000001100,11.0,5.0,16.0
0001001000001101,12.0,5.0,17.0
0001001000001110,9.0,4.0,13.0
0001001000001111,9.0,4.0,13.0
0001001000010000,7.0,4.0,11.0
0001001000010001,8.0,4.0,12.0
0001001000010010,5.0,3.0,8.0
0001001000010011,6.0,3.0,9.0
0001001000010100,11.0,3.0,14.0
0001001000010101,10.0,3.0,13.0
0001001000010110,10.0,3.0,13.0
0001001000010111,9.0,4.0,13.0
0001001000011000,11.0,5.0,16.0
0001001000011001,12.0,5.0,17.0
0001001000011010,8.0,4.0,12.0
0001001000011011,9.0,4.0,13.0
0001001000011100,10.0,3.0,13.0
0001001000011101,12.0,5.0,17.0
0001001000011110,9.0,4.0,13.0
0001001000011111,8.0,3.0,11.0
0001001000100000,10.0,5.0,15.0
0001001000100001,13.0,5.0,18.0
0001001000100010,8.0,4.0,12.0
0001001000100011,10.0,4.0,14.0
0001001000100100,16.0,4.0,20.0
0001001000100101,15.0,4.0,19.0
0001001000100110,14.0,4.0,18.0
0001001000100111,13.0,5.0,18.0
0001001000101000,14.0,6.0,20.0
0001001000101001,19.0,7.0,26.0
0001001000101010,11.0,5.0,16.0
0001001000101011,15.0,6.0,21.0
0001001000101100,15.0,4.0,19.0
0001001000101101,17.0,6.0,23.0
0001001000101110,13.0,5.0,18.0
0001001000101111,12.0,4.0,16.0
0001001000110000,8.0,4.0,12.0
0001001000110001,10.0,4.0,14.0
0001001000110010,6.0,3.0,9.0
0001001000110011,7.0,3.0,10.0
0001001000110100,14.0,4.0,18.0
0001001000110101,13.0,5.0,18.0
0001001000110110,12.0,5.0,17.0
0001001000110111,10.0,4.0,14.0
0001001000111000,12.0,5.0,17.0
0001001000111001,16.0,6.0,22.0
0001001000111010,9.0,4.0,13.0
0001001000111011,11.0,4.0,15.0
0001001000111100,13.0,5.0,18.0
0001001000111101,14.0,5.0,19.0
0001001000111110,10.0,4.0,14.0
0001001000111111,10.0,4.0,14.0
0001001001000000,10.0,5.0,15.0
0001001001000001,14.0,6.0,20.0
0001001001000010,11.0,5.0,16.0
0001001001000011,12.0,5.0,17.0
0001001001000100,11.0,5.0,16.0
0001001001000101,12.0,5.0,17.0
0001001001000110,10.0,3.0,13.0
0001001001000111,12.0,5.0,17.0
0001001001001000,8.0,4.0,12.0
0001001001001001,16.0,6.0,22.0
0001001001001010,9.0,4.0,13.0
0001001001001011,13.0,5.0,18.0
0001001001001100,9.0,4.0,13.0
0001001001001101,13.0,5.0,18.0
0001001001001110,10.0,4.0,14.0
0001001001001111,10.0,4.0,14.0
0001001001010000,8.0,4.0,12.0
0001001001010001,11.0,5.0,16.0
0001001001010010,8.0,4.0,12.0
0001001001010011,9.0,4.0,13.0
0001001001010100,9.0,4.0,13.0
0001001001010101,9.0,4.0,13.0
0001001001010110,9.0,4.0,13.0
0001001001010111,8.0,3.0,11.0
0001001001011000,9.0,4.0,13.0
0001001001011001,13.0,5.0,18.0
0001001001011010,6.0,3.0,9.0
0001001001011011,10.0,4.0,14.0
0001001001011100,10.0,4.0,14.0
0001001001011101,10.0,4.0,14.0
0001001001011110,7.0,3.0,10.0
0001001001011111,7.0,3.0,10.0
0001001001100000,14.0,6.0,20.0
0001001001100001,19.0,7.0,26.0
0001001001100010,12.0,5.0,17.0
0001001001100011,16.0,6.0,22.0
0001001001100100,15.0,4.0,19.0
0001001001100101,17.0,6.0,23.0
0001001001100110,13.0,5.0,18.0
0001001001100111,14.0,5.0,19.0
0001001001101000,16.0,6.0,22.0
0001001001101001,22.0,7.0,29.0
0001001001101010,13.0,5.0,18.0
0001001001101011,18.0,6.0,24.0
0001001001101100,17.0,6.0,23.0
0001001001101101,19.0,6.0,25.0
0001001001101110,14.0,5.0,19.0
0001001001101111,15.0,5.0,20.0
0001001001110000,11.0,5.0,16.0
0001001001110001,15.0,6.0,21.0
0001001001110010,9.0,4.0,13.0
0001001001110011,11.0,4.0,15.0
0001001001110100,13.0,5.0,18.0
0001001001110101,12.0,4.0,16.0
0001001001110110,10.0,4.0,14.0
0001001001110111,10.0,4.0,14.0
0001001001111000,13.0,5.0,18.0
0001001001111001,18.0,6.0,24.0
0001001001111010,10.0,4.0,14.0
0001001001111011,14.0,5.0,19.0
0001001001111100,14.0,5.0,19.0
0001001001111101,15.0,5.0,20.0
0001001001111110,11.0,4.0,15.0
0001001001111111,11.0,4.0,15.0
0001001010000000,12.0,3.0,15.0
0001001010000001,16.0,4.0,20.0
0001001010000010,11.0,3.0,14.0
0001001010000011,14.0,4.0,18.0
0001001010000100,16.0,4.0,20.0
0001001010000101,15.0,4.0,19.0
0001001010000110,15.0,4.0,19.0
0001001010000111,14.0,4.0,18.0
0001001010001000,11.0,5.0,16.0
0001001010001001,15.0,4.0,19.0
0001001010001010,9.0,4.0,13.0
0001001010001011,13.0,5.0,18.0
0001001010001100,13.0,5.0,18.0
0001001010001101,14.0,5.0,19.0
0001001010001110,11.0,4.0,15.0
0001001010001111,11.0,4.0,15.0
0001001010010000,11.0,3.0,14.0
0001001010010001,14.0,4.0,18.0
0001001010010010,10.0,3.0,13.0
0001001010010011,12.0,5.0,17.0
0001001010010100,15.0,4.0,19.0
0001001010010101,14.0,4.0,18.0
0001001010010110,14.0,5.0,19.0
0001001010010111,13.0,4.0,17.0
0001001010011000,10.0,3.0,13.0
0001001010011001,13.0,5.0,18.0
0001001010011010,9.0,4.0,13.0
0001001010011011,10.0,4.0,14.0
0001001010011100,13.0,4.0,17.0
0001001010011101,13.0,4.0,17.0
0001001010011110,11.0,4.0,15.0
0001001010011111,11.0,4.0,15.0
0001001010100000,11.0,5.0,16.0
0001001010100001,15.0,4.0,19.0
0001001010100010,10.0,3.0,13.0
0001001010100011,13.0,5.0,18.0
0001001010100100,15.0,4.0,19.0
0001001010100101,14.0,5.0,19.0
0001001010100110,14.0,4.0,18.0
0001001010100111,13.0,4.0,17.0
0001001010101000,12.0,5.0,17.0
0001001010101001,17.0,6.0,23.0
0001001010101010,9.0,4.0,13.0
0001001010101011,12.0,4.0,16.0
0001001010101100,14.0,5.0,19.0
0001001010101101,15.0,5.0,20.0
0001001010101110,11.0,4.0,15.0
0001001010101111,11.0,4.0,15.0
0001001010110000,10.0,3.0,13.0
0001001010110001,13.0,5.0,18.0
0001001010110010,9.0,4.0,13.0
0001001010110011,10.0,4.0,14.0
0001001010110100,14.0,4.0,18.0
0001001010110101,13.0,4.0,17.0
0001001010110110,13.0,4.0,17.0
0001001010110111,12.0,4.0,16.0
0001001010111000,12.0,5.0,17.0
0001001010111001,14.0,5.0,19.0
0001001010111010,8.0,3.0,11.0
0001001010111011,10.0,4.0,14.0
0001001010111100,13.0,4.0,17.0
0001001010111101,15.0,5.0,20.0
0001001010111110,11.0,4.0,15.0
0001001010111111,10.0,4.0,14.0
0001001011000000,11.0,5.0,16.0
0001001011000001,15.0,4.0,19.0
0001001011000010,10.0,3.0,13.0
0001001011000011,13.0,5.0,18.0
0001001011000100,13.0,5.0,18.0
0001001011000101,14.0,5.0,19.0
0001001011000110,13.0,4.0,17.0
0001001011000111,13.0,4.0,17.0
0001001011001000,9.0,4.0,13.0
0001001011001001,17.0,6.0,23.0
0001001011001010,10.0,4.0,14.0
0001001011001011,14.0,5.0,19.0
0001001011001100,10.0,4.0,14.0
0001001011001101,13.0,4.0,17.0
0001001011001110,9.0,3.0,12.0
0001001011001111,11.0,4.0,15.0
0001001011010000,9.0,4.0,13.0
0001001011010001,13.0,5.0,18.0
0001001011010010,9.0,4.0,13.0
0001001011010011,10.0,4.0,14.0
0001001011010100,11.0,4.0,15.0
0001001011010101,11.0,4.0,15.0
0001001011010110,11.0,4.0,15.0
0001001011010111,11.0,4.0,15.0
0001001011011000,10.0,4.0,14.0
0001001011011001,14.0,5.0,19.0
0001001011011010,7.0,3.0,10.0
0001001011011011,11.0,4.0,15.0
0001001011011100,9.0,3.0,12.0
0001001011011101,11.0,4.0,15.0
0001001011011110,8.0,3.0,11.0
0001001011011111,8.0,3.0,11.0
0001001011100000,12.0,5.0,17.0
0001001011100001,17.0,6.0,23.0
0001001011100010,12.0,5.0,17.0
0001001011100011,14.0,5.0,19.0
0001001011100100,14.0,5.0,19.0
0001001011100101,15.0,5.0,20.0
0001001011100110,13.0,4.0,17.0
0001001011100111,15.0,5.0,20.0
0001001011101000,13.0,5.0,18.0
0001001011101001,19.0,6.0,25.0
0001001011101010,10.0,4.0,14.0
0001001011101011,15.0,5.0,20.0
0001001011101100,13.0,4.0,17.0
0001001011101101,16.0,5.0,21.0
0001001011101110,11.0,4.0,15.0
0001001011101111,12.0,4.0,16.0
0001001011110000,9.0,4.0,13.0
0001001011110001,12.0,4.0,16.0
0001001011110010,8.0,3.0,11.0
0001001011110011,10.0,4.0,14.0
0001001011110100,11.0,4.0,15.0
0001001011110101,11.0,4.0,15.0
0001001011110110,11.0,4.0,15.0
0001001011110111,10.0,4.0,14.0
0001001011111000,10.0,4.0,14.0
0001001011111001,15.0,5.0,20.0
0001001011111010,7.0,3.0,10.0
0001001011111011,11.0,4.0,15.0
0001001011111100,11.0,4.0,15.0
0001001011111101,12.0,4.0,16.0
0001001011111110,8.0,3.0,11.0
0001001011111111,7.0,3.0,10.0
0001001100000000,4.0,3.0,7.0
0001001100000001,7.0,4.0,11.0
0001001100000010,5.0,3.0,8.0
0001001100000011,5.0,3.0,8.0
0001001100000100,10.0,5.0,15.0
0001001100000101,8.0,4.0,12.0
0001001100000110,10.0,3.0,13.0
0001001100000111,8.0,4.0,12.0
0001001100001000,8.0,4.0,12.0
0001001100001001,11.0,5.0,16.0
0001001100001010,6.0,3.0,9.0
0001001100001011,8.0,4.0,12.0
0001001100001100,8.0,4.0,12.0
0001001100001101,9.0,4.0,13.0
0001001100001110,9.0,4.0,13.0
0001001100001111,6.0,3.0,9.0
0001001100010000,5.0,3.0,8.0
0001001100010001,5.0,3.0,8.0
0001001100010010,6.0,3.0,9.0
0001001100010011,3.0,2.0,5.0
0001001100010100,10.0,3.0,13.0
0001001100010101,8.0,4.0,12.0
0001001100010110,12.0,5.0,17.0
0001001100010111,7.0,3.0,10.0
0001001100011000,9.0,4.0,13.0
0001001100011001,9.0,4.0,13.0
0001001100011010,9.0,4.0,13.0
0001001100011011,6.0,3.0,9.0
0001001100011100,9.0,4.0,13.0
0001001100011101,8.0,3.0,11.0
0001001100011110,10.0,4.0,14.0
0001001100011111,6.0,3.0,9.0
0001001100100000,8.0,4.0,12.0
0001001100100001,10.0,4.0,14.0
0001001100100010,6.0,3.0,9.0
0001001100100011,7.0,3.0,10.0
0001001100100100,14.0,4.0,18.0
0001001100100101,13.0,5.0,18.0
0001001100100110,12.0,5.0,17.0
0001001100100111,10.0,4.0,14.0
0001001100101000,12.0,5.0,17.0
0001001100101001,16.0,6.0,22.0
0001001100101010,9.0,4.0,13.0
0001001100101011,11.0,4.0,15.0
0001001100101100,13.0,5.0,18.0
0001001100101101,14.0,5.0,19.0
0001001100101110,10.0,4.0,14.0
0001001100101111,10.0,4.0,14.0
0001001100110000,6.0,3.0,9.0
0001001100110001,7.0,3.0,10.0
0001001100110010,7.0,3.0,10.0
0001001100110011,4.0,2.0,6.0
0001001100110100,12.0,5.0,17.0
0001001100110101,10.0,4.0,14.0
0001001100110110,13.0,5.0,18.0
0001001100110111,9.0,4.0,13.0
0001001100111000,12.0,5.0,17.0
0001001100111001,12.0,4.0,16.0
0001001100111010,10.0,4.0,14.0
0001001100111011,9.0,4.0,13.0
0001001100111100,10.0,4.0,14.0
0001001100111101,11.0,4.0,15.0
0001001100111110,11.0,4.0,15.0
0001001100111111,7.0,3.0,10.0
0001001101000000,8.0,4.0,12.0
0001001101000001,11.0,5.0,16.0
0001001101000010,9.0,4.0,13.0
0001001101000011,9.0,4.0,13.0
0001001101000100,8.0,4.0,12.0
0001001101000101,9.0,4.0,13.0
0001001101000110,9.0,4.0,13.0
