,Literals Count,Clauses Count,Dimension
1001000000000000,6.0,4.0,10.0
1001000000000001,10.0,5.0,15.0
1001000000000010,12.0,3.0,15.0
1001000000000011,11.0,5.0,16.0
1001000000000100,12.0,3.0,15.0
1001000000000101,11.0,5.0,16.0
1001000000000110,16.0,4.0,20.0
1001000000000111,13.0,5.0,18.0
1001000000001000,10.0,5.0,15.0
1001000000001001,8.0,4.0,12.0
1001000000001010,11.0,5.0,16.0
1001000000001011,9.0,4.0,13.0
1001000000001100,11.0,5.0,16.0
1001000000001101,9.0,4.0,13.0
1001000000001110,13.0,5.0,18.0
1001000000001111,10.0,4.0,14.0
1001000000010000,7.0,4.0,11.0
1001000000010001,8.0,4.0,12.0
1001000000010010,11.0,3.0,14.0
1001000000010011,9.0,4.0,13.0
1001000000010100,11.0,3.0,14.0
1001000000010101,9.0,4.0,13.0
1001000000010110,15.0,4.0,19.0
1001000000010111,11.0,4.0,15.0
1001000000011000,11.0,5.0,16.0
1001000000011001,9.0,4.0,13.0
1001000000011010,10.0,3.0,13.0
1001000000011011,10.0,4.0,14.0
1001000000011100,10.0,3.0,13.0
1001000000011101,10.0,4.0,14.0
1001000000011110,13.0,4.0,17.0
1001000000011111,9.0,3.0,12.0
1001000000100000,10.0,5.0,15.0
1001000000100001,14.0,6.0,20.0
1001000000100010,11.0,5.0,16.0
1001000000100011,12.0,5.0,17.0
1001000000100100,16.0,4.0,20.0
1001000000100101,15.0,4.0,19.0
1001000000100110,15.0,4.0,19.0
1001000000100111,14.0,5.0,19.0
1001000000101000,14.0,6.0,20.0
1001000000101001,16.0,6.0,22.0
1001000000101010,12.0,5.0,17.0
1001000000101011,13.0,5.0,18.0
1001000000101100,15.0,4.0,19.0
1001000000101101,17.0,6.0,23.0
1001000000101110,14.0,5.0,19.0
1001000000101111,13.0,4.0,17.0
1001000000110000,8.0,4.0,12.0
1001000000110001,11.0,5.0,16.0
1001000000110010,10.0,3.0,13.0
1001000000110011,9.0,4.0,13.0
1001000000110100,14.0,4.0,18.0
1001000000110101,13.0,5.0,18.0
1001000000110110,14.0,4.0,18.0
1001000000110111,11.0,4.0,15.0
1001000000111000,12.0,5.0,17.0
1001000000111001,13.0,5.0,18.0
1001000000111010,12.0,5.0,17.0
1001000000111011,10.0,4.0,14.0
1001000000111100,13.0,5.0,18.0
1001000000111101,14.0,5.0,19.0
1001000000111110,13.0,4.0,17.0
1001000000111111,11.0,4.0,15.0
1001000001000000,10.0,5.0,15.0
1001000001000001,14.0,6.0,20.0
1001000001000010,16.0,4.0,20.0
1001000001000011,15.0,4.0,19.0
1001000001000100,11.0,5.0,16.0
1001000001000101,12.0,5.0,17.0
1001000001000110,15.0,4.0,19.0
1001000001000111,14.0,5.0,19.0
1001000001001000,14.0,6.0,20.0
1001000001001001,16.0,6.0,22.0
1001000001001010,15.0,4.0,19.0
1001000001001011,17.0,6.0,23.0
1001000001001100,12.0,5.0,17.0
1001000001001101,13.0,5.0,18.0
1001000001001110,14.0,5.0,19.0
1001000001001111,13.0,4.0,17.0
1001000001010000,8.0,4.0,12.0
1001000001010001,11.0,5.0,16.0
