,Literals Count,Clauses Count,Dimension
0111001000000000,5.0,3.0,8.0
0111001000000001,10.0,3.0,13.0
0111001000000010,6.0,3.0,9.0
0111001000000011,9.0,4.0,13.0
0111001000000100,9.0,4.0,13.0
0111001000000101,9.0,4.0,13.0
0111001000000110,10.0,4.0,14.0
0111001000000111,7.0,3.0,10.0
0111001000001000,9.0,4.0,13.0
0111001000001001,14.0,5.0,19.0
0111001000001010,7.0,3.0,10.0
0111001000001011,11.0,4.0,15.0
0111001000001100,9.0,3.0,12.0
0111001000001101,11.0,4.0,15.0
0111001000001110,11.0,4.0,15.0
0111001000001111,8.0,3.0,11.0
0111001000010000,8.0,4.0,12.0
0111001000010001,9.0,4.0,13.0
0111001000010010,9.0,4.0,13.0
0111001000010011,10.0,4.0,14.0
0111001000010100,13.0,5.0,18.0
0111001000010101,10.0,4.0,14.0
0111001000010110,14.0,5.0,19.0
0111001000010111,11.0,4.0,15.0
0111001000011000,11.0,4.0,15.0
0111001000011001,13.0,4.0,17.0
0111001000011010,11.0,4.0,15.0
0111001000011011,12.0,4.0,16.0
0111001000011100,12.0,4.0,16.0
0111001000011101,12.0,4.0,16.0
0111001000011110,15.0,5.0,20.0
0111001000011111,11.0,4.0,15.0
0111001000100000,8.0,4.0,12.0
0111001000100001,13.0,5.0,18.0
0111001000100010,5.0,2.0,7.0
0111001000100011,8.0,3.0,11.0
0111001000100100,11.0,4.0,15.0
0111001000100101,11.0,4.0,15.0
0111001000100110,9.0,3.0,12.0
0111001000100111,8.0,3.0,11.0
0111001000101000,13.0,5.0,18.0
0111001000101001,17.0,5.0,22.0
0111001000101010,8.0,3.0,11.0
0111001000101011,11.0,4.0,15.0
0111001000101100,12.0,4.0,16.0
0111001000101101,15.0,5.0,20.0
0111001000101110,8.0,3.0,11.0
0111001000101111,7.0,3.0,10.0
0111001000110000,8.0,4.0,12.0
0111001000110001,10.0,4.0,14.0
0111001000110010,6.0,3.0,9.0
0111001000110011,7.0,3.0,10.0
0111001000110100,11.0,4.0,15.0
0111001000110101,11.0,4.0,15.0
0111001000110110,11.0,4.0,15.0
0111001000110111,8.0,3.0,11.0
0111001000111000,11.0,4.0,15.0
0111001000111001,15.0,5.0,20.0
0111001000111010,8.0,3.0,11.0
0111001000111011,10.0,4.0,14.0
0111001000111100,11.0,4.0,15.0
0111001000111101,13.0,4.0,17.0
0111001000111110,10.0,4.0,14.0
0111001000111111,9.0,3.0,12.0
0111001001000000,6.0,3.0,9.0
0111001001000001,12.0,5.0,17.0
0111001001000010,7.0,3.0,10.0
0111001001000011,10.0,4.0,14.0
0111001001000100,7.0,3.0,10.0
0111001001000101,10.0,4.0,14.0
0111001001000110,11.0,4.0,15.0
0111001001000111,8.0,3.0,11.0
0111001001001000,10.0,4.0,14.0
0111001001001001,17.0,5.0,22.0
0111001001001010,11.0,4.0,15.0
0111001001001011,15.0,5.0,20.0
0111001001001100,11.0,4.0,15.0
0111001001001101,15.0,5.0,20.0
0111001001001110,24.0,8.0,32.0
0111001001001111,11.0,4.0,15.0
0111001001010000,5.0,2.0,7.0
0111001001010001,8.0,3.0,11.0
0111001001010010,7.0,3.0,10.0
0111001001010011,8.0,3.0,11.0
0111001001010100,8.0,3.0,11.0
0111001001010101,7.0,3.0,10.0
0111001001010110,11.0,4.0,15.0
0111001001010111,8.0,3.0,11.0
0111001001011000,9.0,3.0,12.0
0111001001011001,12.0,4.0,16.0
0111001001011010,8.0,3.0,11.0
0111001001011011,11.0,4.0,15.0
0111001001011100,8.0,3.0,11.0
0111001001011101,10.0,4.0,14.0
0111001001011110,11.0,4.0,15.0
0111001001011111,7.0,3.0,10.0
0111001001100000,9.0,4.0,13.0
0111001001100001,14.0,5.0,19.0
0111001001100010,7.0,3.0,10.0
0111001001100011,11.0,4.0,15.0
0111001001100100,11.0,4.0,15.0
0111001001100101,12.0,4.0,16.0
0111001001100110,8.0,3.0,11.0
0111001001100111,9.0,3.0,12.0
0111001001101000,14.0,5.0,19.0
0111001001101001,20.0,6.0,26.0
0111001001101010,11.0,4.0,15.0
0111001001101011,14.0,5.0,19.0
0111001001101100,15.0,5.0,20.0
0111001001101101,17.0,5.0,22.0
0111001001101110,11.0,4.0,15.0
0111001001101111,10.0,4.0,14.0
0111001001110000,6.0,3.0,9.0
0111001001110001,10.0,4.0,14.0
0111001001110010,4.0,2.0,6.0
0111001001110011,6.0,3.0,9.0
0111001001110100,8.0,3.0,11.0
0111001001110101,8.0,3.0,11.0
0111001001110110,7.0,3.0,10.0
0111001001110111,5.0,2.0,7.0
0111001001111000,11.0,4.0,15.0
0111001001111001,14.0,5.0,19.0
0111001001111010,7.0,3.0,10.0
0111001001111011,9.0,4.0,13.0
0111001001111100,10.0,4.0,14.0
0111001001111101,12.0,5.0,17.0
0111001001111110,7.0,3.0,10.0
0111001001111111,6.0,3.0,9.0
0111001010000000,10.0,3.0,13.0
0111001010000001,14.0,4.0,18.0
0111001010000010,12.0,5.0,17.0
0111001010000011,13.0,4.0,17.0
0111001010000100,14.0,5.0,19.0
0111001010000101,13.0,4.0,17.0
0111001010000110,17.0,5.0,22.0
0111001010000111,15.0,5.0,20.0
0111001010001000,9.0,4.0,13.0
0111001010001001,13.0,4.0,17.0
0111001010001010,10.0,4.0,14.0
0111001010001011,12.0,4.0,16.0
0111001010001100,11.0,4.0,15.0
0111001010001101,12.0,4.0,16.0
0111001010001110,15.0,5.0,20.0
0111001010001111,11.0,4.0,15.0
0111001010010000,13.0,5.0,18.0
0111001010010001,13.0,4.0,17.0
0111001010010010,14.0,5.0,19.0
0111001010010011,15.0,5.0,20.0
0111001010010100,17.0,5.0,22.0
0111001010010101,16.0,5.0,21.0
0111001010010110,20.0,6.0,26.0
0111001010010111,17.0,5.0,22.0
0111001010011000,11.0,4.0,15.0
0111001010011001,12.0,4.0,16.0
0111001010011010,12.0,4.0,16.0
0111001010011011,13.0,4.0,17.0
0111001010011100,15.0,5.0,20.0
0111001010011101,13.0,4.0,17.0
0111001010011110,17.0,5.0,22.0
0111001010011111,14.0,4.0,18.0
0111001010100000,9.0,4.0,13.0
0111001010100001,13.0,4.0,17.0
0111001010100010,8.0,3.0,11.0
0111001010100011,11.0,4.0,15.0
0111001010100100,13.0,4.0,17.0
0111001010100101,12.0,4.0,16.0
0111001010100110,12.0,4.0,16.0
0111001010100111,11.0,4.0,15.0
0111001010101000,10.0,4.0,14.0
0111001010101001,16.0,5.0,21.0
0111001010101010,7.0,3.0,10.0
0111001010101011,10.0,4.0,14.0
0111001010101100,12.0,4.0,16.0
0111001010101101,13.0,4.0,17.0
0111001010101110,10.0,4.0,14.0
0111001010101111,9.0,3.0,12.0
0111001010110000,10.0,4.0,14.0
0111001010110001,12.0,4.0,16.0
0111001010110010,10.0,4.0,14.0
0111001010110011,10.0,4.0,14.0
0111001010110100,15.0,5.0,20.0
0111001010110101,13.0,4.0,17.0
0111001010110110,14.0,5.0,19.0
0111001010110111,13.0,4.0,17.0
0111001010111000,11.0,4.0,15.0
0111001010111001,13.0,4.0,17.0
0111001010111010,8.0,3.0,11.0
0111001010111011,9.0,3.0,12.0
0111001010111100,13.0,4.0,17.0
0111001010111101,14.0,4.0,18.0
0111001010111110,12.0,5.0,17.0
0111001010111111,10.0,3.0,13.0
0111001011000000,9.0,4.0,13.0
0111001011000001,13.0,4.0,17.0
0111001011000010,10.0,4.0,14.0
0111001011000011,11.0,4.0,15.0
0111001011000100,11.0,4.0,15.0
0111001011000101,12.0,4.0,16.0
0111001011000110,15.0,5.0,20.0
0111001011000111,12.0,4.0,16.0
0111001011001000,7.0,3.0,10.0
0111001011001001,15.0,5.0,20.0
0111001011001010,8.0,3.0,11.0
0111001011001011,12.0,4.0,16.0
0111001011001100,8.0,3.0,11.0
0111001011001101,11.0,4.0,15.0
0111001011001110,11.0,4.0,15.0
0111001011001111,9.0,3.0,12.0
0111001011010000,8.0,3.0,11.0
0111001011010001,11.0,4.0,15.0
0111001011010010,11.0,4.0,15.0
0111001011010011,11.0,4.0,15.0
0111001011010100,11.0,4.0,15.0
0111001011010101,10.0,4.0,14.0
0111001011010110,14.0,5.0,19.0
0111001011010111,13.0,4.0,17.0
0111001011011000,8.0,3.0,11.0
0111001011011001,11.0,4.0,15.0
0111001011011010,9.0,3.0,12.0
0111001011011011,11.0,4.0,15.0
0111001011011100,7.0,3.0,10.0
0111001011011101,9.0,3.0,12.0
0111001011011110,10.0,4.0,14.0
0111001011011111,9.0,4.0,13.0
0111001011100000,10.0,4.0,14.0
0111001011100001,15.0,5.0,20.0
0111001011100010,8.0,3.0,11.0
0111001011100011,11.0,4.0,15.0
0111001011100100,12.0,4.0,16.0
0111001011100101,13.0,4.0,17.0
0111001011100110,11.0,4.0,15.0
0111001011100111,11.0,4.0,15.0
0111001011101000,11.0,4.0,15.0
0111001011101001,17.0,5.0,22.0
0111001011101010,8.0,3.0,11.0
0111001011101011,13.0,4.0,17.0
0111001011101100,11.0,4.0,15.0
0111001011101101,14.0,4.0,18.0
0111001011101110,7.0,3.0,10.0
0111001011101111,9.0,4.0,13.0
0111001011110000,7.0,3.0,10.0
0111001011110001,10.0,4.0,14.0
0111001011110010,6.0,3.0,9.0
0111001011110011,8.0,3.0,11.0
0111001011110100,10.0,4.0,14.0
0111001011110101,9.0,3.0,12.0
0111001011110110,9.0,4.0,13.0
0111001011110111,8.0,4.0,12.0
0111001011111000,8.0,3.0,11.0
0111001011111001,13.0,4.0,17.0
0111001011111010,5.0,2.0,7.0
0111001011111011,8.0,4.0,12.0
0111001011111100,9.0,3.0,12.0
0111001011111101,10.0,3.0,13.0
0111001011111110,6.0,3.0,9.0
0111001011111111,5.0,3.0,8.0
0111001100000000,5.0,3.0,8.0
0111001100000001,8.0,4.0,12.0
0111001100000010,8.0,4.0,12.0
0111001100000011,6.0,3.0,9.0
0111001100000100,9.0,4.0,13.0
0111001100000101,8.0,3.0,11.0
0111001100000110,10.0,4.0,14.0
0111001100000111,7.0,3.0,10.0
0111001100001000,9.0,3.0,12.0
0111001100001001,11.0,4.0,15.0
0111001100001010,8.0,3.0,11.0
0111001100001011,8.0,3.0,11.0
0111001100001100,8.0,3.0,11.0
0111001100001101,11.0,4.0,15.0
0111001100001110,11.0,4.0,15.0
0111001100001111,7.0,3.0,10.0
0111001100010000,8.0,3.0,11.0
0111001100010001,7.0,3.0,10.0
0111001100010010,11.0,4.0,15.0
0111001100010011,9.0,4.0,13.0
0111001100010100,12.0,4.0,16.0
0111001100010101,10.0,4.0,14.0
0111001100010110,15.0,5.0,20.0
0111001100010111,11.0,4.0,15.0
0111001100011000,12.0,4.0,16.0
0111001100011001,11.0,4.0,15.0
0111001100011010,11.0,4.0,15.0
0111001100011011,10.0,4.0,14.0
0111001100011100,11.0,4.0,15.0
0111001100011101,10.0,4.0,14.0
0111001100011110,14.0,5.0,19.0
0111001100011111,9.0,4.0,13.0
0111001100100000,8.0,4.0,12.0
0111001100100001,10.0,4.0,14.0
0111001100100010,6.0,3.0,9.0
0111001100100011,7.0,3.0,10.0
0111001100100100,11.0,4.0,15.0
0111001100100101,11.0,4.0,15.0
0111001100100110,11.0,4.0,15.0
0111001100100111,8.0,3.0,11.0
0111001100101000,11.0,4.0,15.0
0111001100101001,15.0,5.0,20.0
0111001100101010,8.0,3.0,11.0
0111001100101011,10.0,4.0,14.0
0111001100101100,11.0,4.0,15.0
