,Literals Count,Clauses Count,Dimension
0101111000000000,6.0,3.0,9.0
0101111000000001,12.0,5.0,17.0
0101111000000010,9.0,4.0,13.0
0101111000000011,10.0,4.0,14.0
0101111000000100,9.0,4.0,13.0
0101111000000101,10.0,4.0,14.0
0101111000000110,10.0,4.0,14.0
0101111000000111,11.0,4.0,15.0
0101111000001000,9.0,4.0,13.0
0101111000001001,14.0,5.0,19.0
0101111000001010,7.0,3.0,10.0
0101111000001011,11.0,4.0,15.0
0101111000001100,8.0,3.0,11.0
0101111000001101,11.0,4.0,15.0
0101111000001110,7.0,3.0,10.0
0101111000001111,8.0,3.0,11.0
0101111000010000,9.0,4.0,13.0
0101111000010001,10.0,4.0,14.0
0101111000010010,7.0,3.0,10.0
0101111000010011,8.0,3.0,11.0
0101111000010100,10.0,4.0,14.0
0101111000010101,11.0,4.0,15.0
0101111000010110,11.0,4.0,15.0
0101111000010111,12.0,4.0,16.0
0101111000011000,11.0,4.0,15.0
0101111000011001,12.0,4.0,16.0
0101111000011010,8.0,3.0,11.0
0101111000011011,9.0,3.0,12.0
0101111000011100,11.0,4.0,15.0
0101111000011101,11.0,4.0,15.0
0101111000011110,8.0,3.0,11.0
0101111000011111,9.0,3.0,12.0
0101111000100000,12.0,5.0,17.0
0101111000100001,15.0,5.0,20.0
0101111000100010,10.0,4.0,14.0
0101111000100011,12.0,4.0,16.0
0101111000100100,13.0,4.0,17.0
0101111000100101,16.0,5.0,21.0
0101111000100110,12.0,4.0,16.0
0101111000100111,13.0,4.0,17.0
0101111000101000,14.0,5.0,19.0
0101111000101001,20.0,6.0,26.0
0101111000101010,11.0,4.0,15.0
0101111000101011,14.0,5.0,19.0
0101111000101100,12.0,4.0,16.0
0101111000101101,15.0,5.0,20.0
0101111000101110,10.0,4.0,14.0
0101111000101111,12.0,5.0,17.0
0101111000110000,10.0,4.0,14.0
0101111000110001,12.0,4.0,16.0
0101111000110010,8.0,3.0,11.0
0101111000110011,9.0,3.0,12.0
0101111000110100,12.0,4.0,16.0
0101111000110101,13.0,4.0,17.0
0101111000110110,12.0,4.0,16.0
0101111000110111,11.0,4.0,15.0
0101111000111000,15.0,5.0,20.0
0101111000111001,17.0,5.0,22.0
0101111000111010,11.0,4.0,15.0
0101111000111011,10.0,4.0,14.0
0101111000111100,11.0,4.0,15.0
0101111000111101,14.0,4.0,18.0
0101111000111110,9.0,3.0,12.0
0101111000111111,9.0,4.0,13.0
0101111001000000,9.0,4.0,13.0
0101111001000001,14.0,5.0,19.0
0101111001000010,11.0,4.0,15.0
0101111001000011,12.0,4.0,16.0
0101111001000100,8.0,3.0,11.0
0101111001000101,11.0,4.0,15.0
0101111001000110,11.0,4.0,15.0
0101111001000111,11.0,4.0,15.0
0101111001001000,10.0,4.0,14.0
0101111001001001,16.0,5.0,21.0
0101111001001010,11.0,4.0,15.0
0101111001001011,13.0,4.0,17.0
0101111001001100,7.0,3.0,10.0
0101111001001101,12.0,4.0,16.0
0101111001001110,7.0,3.0,10.0
0101111001001111,9.0,3.0,12.0
0101111001010000,7.0,3.0,10.0
0101111001010001,11.0,4.0,15.0
0101111001010010,8.0,3.0,11.0
0101111001010011,9.0,3.0,12.0
0101111001010100,7.0,3.0,10.0
0101111001010101,8.0,3.0,11.0
0101111001010110,8.0,3.0,11.0
0101111001010111,9.0,3.0,12.0
0101111001011000,11.0,4.0,15.0
0101111001011001,13.0,4.0,17.0
0101111001011010,7.0,3.0,10.0
0101111001011011,10.0,3.0,13.0
0101111001011100,7.0,3.0,10.0
0101111001011101,9.0,3.0,12.0
0101111001011110,5.0,2.0,7.0
0101111001011111,6.0,2.0,8.0
0101111001100000,14.0,5.0,19.0
0101111001100001,20.0,6.0,26.0
0101111001100010,15.0,5.0,20.0
0101111001100011,17.0,5.0,22.0
0101111001100100,12.0,4.0,16.0
0101111001100101,15.0,5.0,20.0
0101111001100110,11.0,4.0,15.0
0101111001100111,14.0,4.0,18.0
0101111001101000,18.0,6.0,24.0
0101111001101001,22.0,6.0,28.0
0101111001101010,14.0,5.0,19.0
0101111001101011,17.0,6.0,23.0
0101111001101100,14.0,5.0,19.0
0101111001101101,17.0,6.0,23.0
0101111001101110,10.0,4.0,14.0
0101111001101111,12.0,5.0,17.0
0101111001110000,11.0,4.0,15.0
0101111001110001,14.0,5.0,19.0
0101111001110010,11.0,4.0,15.0
0101111001110011,10.0,4.0,14.0
0101111001110100,10.0,4.0,14.0
0101111001110101,12.0,5.0,17.0
0101111001110110,9.0,3.0,12.0
0101111001110111,9.0,4.0,13.0
0101111001111000,14.0,5.0,19.0
0101111001111001,17.0,6.0,23.0
0101111001111010,10.0,4.0,14.0
0101111001111011,9.0,4.0,13.0
0101111001111100,10.0,4.0,14.0
0101111001111101,12.0,5.0,17.0
0101111001111110,9.0,3.0,12.0
0101111001111111,8.0,4.0,12.0
0101111010000000,12.0,5.0,17.0
0101111010000001,17.0,5.0,22.0
0101111010000010,13.0,4.0,17.0
0101111010000011,16.0,5.0,21.0
0101111010000100,13.0,4.0,17.0
0101111010000101,16.0,5.0,21.0
0101111010000110,16.0,5.0,21.0
0101111010000111,17.0,5.0,22.0
0101111010001000,10.0,4.0,14.0
0101111010001001,16.0,5.0,21.0
0101111010001010,11.0,4.0,15.0
0101111010001011,13.0,4.0,17.0
0101111010001100,11.0,4.0,15.0
0101111010001101,13.0,4.0,17.0
0101111010001110,10.0,4.0,14.0
