,Literals Count,Clauses Count,Dimension
0011000000000000,3.0,3.0,6.0
0011000000000001,7.0,4.0,11.0
0011000000000010,7.0,4.0,11.0
0011000000000011,5.0,3.0,8.0
0011000000000100,7.0,2.0,9.0
0011000000000101,6.0,2.0,8.0
0011000000000110,11.0,5.0,16.0
0011000000000111,8.0,4.0,12.0
0011000000001000,7.0,2.0,9.0
0011000000001001,11.0,5.0,16.0
0011000000001010,6.0,2.0,8.0
0011000000001011,8.0,4.0,12.0
0011000000001100,6.0,2.0,8.0
0011000000001101,9.0,4.0,13.0
0011000000001110,9.0,4.0,13.0
0011000000001111,5.0,2.0,7.0
0011000000010000,4.0,3.0,7.0
0011000000010001,5.0,3.0,8.0
0011000000010010,8.0,4.0,12.0
0011000000010011,6.0,3.0,9.0
0011000000010100,8.0,4.0,12.0
0011000000010101,6.0,3.0,9.0
0011000000010110,12.0,5.0,17.0
0011000000010111,9.0,4.0,13.0
0011000000011000,10.0,3.0,13.0
0011000000011001,9.0,4.0,13.0
0011000000011010,9.0,4.0,13.0
0011000000011011,9.0,4.0,13.0
0011000000011100,9.0,4.0,13.0
0011000000011101,7.0,3.0,10.0
0011000000011110,10.0,4.0,14.0
0011000000011111,7.0,3.0,10.0
0011000000100000,4.0,3.0,7.0
0011000000100001,8.0,4.0,12.0
0011000000100010,5.0,3.0,8.0
0011000000100011,6.0,3.0,9.0
0011000000100100,10.0,3.0,13.0
0011000000100101,9.0,4.0,13.0
0011000000100110,9.0,4.0,13.0
0011000000100111,9.0,4.0,13.0
0011000000101000,8.0,4.0,12.0
0011000000101001,12.0,5.0,17.0
0011000000101010,6.0,3.0,9.0
0011000000101011,9.0,4.0,13.0
0011000000101100,9.0,4.0,13.0
0011000000101101,10.0,4.0,14.0
0011000000101110,7.0,3.0,10.0
0011000000101111,7.0,3.0,10.0
0011000000110000,2.0,2.0,4.0
0011000000110001,5.0,3.0,8.0
0011000000110010,5.0,3.0,8.0
0011000000110011,3.0,2.0,5.0
0011000000110100,6.0,2.0,8.0
0011000000110101,5.0,2.0,7.0
0011000000110110,9.0,4.0,13.0
0011000000110111,6.0,3.0,9.0
0011000000111000,6.0,2.0,8.0
0011000000111001,9.0,4.0,13.0
0011000000111010,5.0,2.0,7.0
0011000000111011,6.0,3.0,9.0
0011000000111100,5.0,2.0,7.0
0011000000111101,7.0,3.0,10.0
0011000000111110,7.0,3.0,10.0
0011000000111111,4.0,2.0,6.0
0011000001000000,7.0,4.0,11.0
0011000001000001,11.0,5.0,16.0
0011000001000010,11.0,3.0,14.0
0011000001000011,10.0,3.0,13.0
0011000001000100,6.0,2.0,8.0
0011000001000101,9.0,4.0,13.0
0011000001000110,10.0,3.0,13.0
0011000001000111,9.0,4.0,13.0
0011000001001000,11.0,5.0,16.0
0011000001001001,15.0,4.0,19.0
0011000001001010,10.0,3.0,13.0
0011000001001011,13.0,5.0,18.0
0011000001001100,9.0,4.0,13.0
0011000001001101,12.0,4.0,16.0
0011000001001110,9.0,3.0,12.0
0011000001001111,8.0,3.0,11.0
0011000001010000,5.0,3.0,8.0
0011000001010001,8.0,4.0,12.0
0011000001010010,10.0,3.0,13.0
0011000001010011,9.0,4.0,13.0
0011000001010100,6.0,3.0,9.0
0011000001010101,5.0,2.0,7.0
0011000001010110,12.0,5.0,17.0
0011000001010111,8.0,3.0,11.0
0011000001011000,9.0,4.0,13.0
0011000001011001,13.0,5.0,18.0
0011000001011010,9.0,4.0,13.0
0011000001011011,10.0,4.0,14.0
0011000001011100,7.0,3.0,10.0
0011000001011101,8.0,3.0,11.0
0011000001011110,10.0,4.0,14.0
0011000001011111,7.0,3.0,10.0
0011000001100000,8.0,4.0,12.0
0011000001100001,14.0,6.0,20.0
0011000001100010,10.0,3.0,13.0
0011000001100011,12.0,5.0,17.0
0011000001100100,9.0,4.0,13.0
0011000001100101,12.0,5.0,17.0
0011000001100110,9.0,4.0,13.0
0011000001100111,10.0,4.0,14.0
0011000001101000,12.0,5.0,17.0
0011000001101001,17.0,6.0,23.0
0011000001101010,12.0,5.0,17.0
0011000001101011,14.0,5.0,19.0
0011000001101100,10.0,4.0,14.0
0011000001101101,14.0,5.0,19.0
0011000001101110,10.0,4.0,14.0
0011000001101111,11.0,4.0,15.0
0011000001110000,5.0,3.0,8.0
0011000001110001,8.0,3.0,11.0
0011000001110010,8.0,4.0,12.0
0011000001110011,7.0,3.0,10.0
0011000001110100,5.0,2.0,7.0
0011000001110101,4.0,2.0,6.0
0011000001110110,8.0,3.0,11.0
0011000001110111,6.0,3.0,9.0
0011000001111000,9.0,4.0,13.0
0011000001111001,12.0,4.0,16.0
0011000001111010,8.0,3.0,11.0
0011000001111011,10.0,4.0,14.0
0011000001111100,7.0,3.0,10.0
0011000001111101,7.0,3.0,10.0
0011000001111110,8.0,3.0,11.0
0011000001111111,6.0,3.0,9.0
0011000010000000,7.0,4.0,11.0
0011000010000001,11.0,3.0,14.0
