,Literals Count,Clauses Count,Dimension
0010010000000000,8.0,2.0,10.0
0010010000000001,12.0,3.0,15.0
0010010000000010,12.0,3.0,15.0
0010010000000011,11.0,3.0,14.0
0010010000000100,7.0,2.0,9.0
0010010000000101,10.0,3.0,13.0
0010010000000110,11.0,5.0,16.0
0010010000000111,9.0,4.0,13.0
0010010000001000,12.0,3.0,15.0
0010010000001001,16.0,4.0,20.0
0010010000001010,11.0,3.0,14.0
0010010000001011,14.0,4.0,18.0
0010010000001100,10.0,3.0,13.0
0010010000001101,13.0,4.0,17.0
0010010000001110,9.0,4.0,13.0
0010010000001111,9.0,3.0,12.0
0010010000010000,12.0,3.0,15.0
0010010000010001,11.0,3.0,14.0
0010010000010010,16.0,4.0,20.0
0010010000010011,14.0,4.0,18.0
0010010000010100,11.0,5.0,16.0
0010010000010101,9.0,4.0,13.0
0010010000010110,15.0,4.0,19.0
0010010000010111,13.0,5.0,18.0
0010010000011000,16.0,4.0,20.0
0010010000011001,15.0,4.0,19.0
0010010000011010,15.0,4.0,19.0
0010010000011011,14.0,4.0,18.0
0010010000011100,13.0,5.0,18.0
0010010000011101,11.0,4.0,15.0
0010010000011110,14.0,5.0,19.0
0010010000011111,11.0,4.0,15.0
0010010000100000,7.0,2.0,9.0
0010010000100001,11.0,5.0,16.0
0010010000100010,10.0,3.0,13.0
0010010000100011,9.0,4.0,13.0
0010010000100100,6.0,2.0,8.0
0010010000100101,9.0,4.0,13.0
0010010000100110,9.0,4.0,13.0
0010010000100111,7.0,3.0,10.0
0010010000101000,11.0,5.0,16.0
0010010000101001,15.0,4.0,19.0
0010010000101010,9.0,4.0,13.0
0010010000101011,13.0,5.0,18.0
0010010000101100,9.0,4.0,13.0
0010010000101101,12.0,4.0,16.0
0010010000101110,7.0,3.0,10.0
0010010000101111,8.0,3.0,11.0
0010010000110000,10.0,3.0,13.0
0010010000110001,9.0,4.0,13.0
0010010000110010,13.0,4.0,17.0
0010010000110011,9.0,3.0,12.0
0010010000110100,9.0,4.0,13.0
0010010000110101,7.0,3.0,10.0
0010010000110110,12.0,4.0,16.0
0010010000110111,8.0,3.0,11.0
0010010000111000,13.0,5.0,18.0
0010010000111001,14.0,5.0,19.0
0010010000111010,11.0,4.0,15.0
0010010000111011,11.0,4.0,15.0
0010010000111100,10.0,4.0,14.0
0010010000111101,11.0,4.0,15.0
0010010000111110,11.0,4.0,15.0
0010010000111111,8.0,3.0,11.0
0010010001000000,12.0,3.0,15.0
0010010001000001,16.0,4.0,20.0
0010010001000010,16.0,4.0,20.0
0010010001000011,15.0,4.0,19.0
0010010001000100,10.0,3.0,13.0
0010010001000101,13.0,4.0,17.0
0010010001000110,13.0,5.0,18.0
0010010001000111,11.0,4.0,15.0
0010010001001000,16.0,4.0,20.0
0010010001001001,20.0,5.0,25.0
0010010001001010,15.0,4.0,19.0
0010010001001011,18.0,5.0,23.0
0010010001001100,13.0,4.0,17.0
0010010001001101,16.0,5.0,21.0
0010010001001110,11.0,4.0,15.0
0010010001001111,12.0,4.0,16.0
0010010001010000,11.0,3.0,14.0
0010010001010001,14.0,4.0,18.0
0010010001010010,15.0,4.0,19.0
0010010001010011,14.0,4.0,18.0
0010010001010100,9.0,4.0,13.0
0010010001010101,9.0,3.0,12.0
0010010001010110,14.0,5.0,19.0
0010010001010111,11.0,4.0,15.0
0010010001011000,15.0,4.0,19.0
0010010001011001,18.0,5.0,23.0
0010010001011010,14.0,4.0,18.0
0010010001011011,17.0,5.0,22.0
0010010001011100,11.0,4.0,15.0
0010010001011101,12.0,4.0,16.0
0010010001011110,13.0,4.0,17.0
0010010001011111,11.0,4.0,15.0
0010010001100000,11.0,5.0,16.0
0010010001100001,15.0,4.0,19.0
0010010001100010,13.0,5.0,18.0
0010010001100011,14.0,5.0,19.0
0010010001100100,9.0,4.0,13.0
0010010001100101,12.0,4.0,16.0
0010010001100110,10.0,4.0,14.0
0010010001100111,11.0,4.0,15.0
0010010001101000,15.0,4.0,19.0
0010010001101001,19.0,5.0,24.0
0010010001101010,14.0,5.0,19.0
0010010001101011,17.0,5.0,22.0
0010010001101100,12.0,4.0,16.0
0010010001101101,15.0,5.0,20.0
0010010001101110,11.0,4.0,15.0
0010010001101111,11.0,4.0,15.0
0010010001110000,9.0,4.0,13.0
0010010001110001,13.0,5.0,18.0
0010010001110010,11.0,4.0,15.0
0010010001110011,11.0,4.0,15.0
0010010001110100,7.0,3.0,10.0
0010010001110101,8.0,3.0,11.0
0010010001110110,11.0,4.0,15.0
0010010001110111,8.0,3.0,11.0
0010010001111000,14.0,5.0,19.0
0010010001111001,17.0,5.0,22.0
0010010001111010,13.0,4.0,17.0
0010010001111011,15.0,5.0,20.0
0010010001111100,11.0,4.0,15.0
0010010001111101,11.0,4.0,15.0
0010010001111110,12.0,4.0,16.0
0010010001111111,10.0,4.0,14.0
0010010010000000,12.0,3.0,15.0
0010010010000001,16.0,4.0,20.0
0010010010000010,16.0,4.0,20.0
0010010010000011,15.0,4.0,19.0
0010010010000100,11.0,5.0,16.0
0010010010000101,13.0,5.0,18.0
0010010010000110,15.0,4.0,19.0
0010010010000111,14.0,5.0,19.0
0010010010001000,11.0,3.0,14.0
0010010010001001,15.0,4.0,19.0
0010010010001010,14.0,4.0,18.0
0010010010001011,14.0,4.0,18.0
0010010010001100,9.0,4.0,13.0
0010010010001101,11.0,4.0,15.0
0010010010001110,13.0,5.0,18.0
0010010010001111,11.0,4.0,15.0
0010010010010000,16.0,4.0,20.0
0010010010010001,15.0,4.0,19.0
0010010010010010,20.0,5.0,25.0
0010010010010011,18.0,5.0,23.0
0010010010010100,15.0,4.0,19.0
0010010010010101,14.0,5.0,19.0
0010010010010110,19.0,5.0,24.0
0010010010010111,17.0,5.0,22.0
0010010010011000,15.0,4.0,19.0
0010010010011001,14.0,4.0,18.0
0010010010011010,18.0,5.0,23.0
0010010010011011,17.0,5.0,22.0
0010010010011100,14.0,5.0,19.0
0010010010011101,13.0,4.0,17.0
0010010010011110,17.0,5.0,22.0
0010010010011111,15.0,5.0,20.0
0010010010100000,10.0,3.0,13.0
0010010010100001,13.0,5.0,18.0
0010010010100010,13.0,4.0,17.0
0010010010100011,11.0,4.0,15.0
0010010010100100,9.0,4.0,13.0
0010010010100101,10.0,4.0,14.0
0010010010100110,12.0,4.0,16.0
0010010010100111,11.0,4.0,15.0
0010010010101000,9.0,4.0,13.0
0010010010101001,14.0,5.0,19.0
0010010010101010,9.0,3.0,12.0
0010010010101011,11.0,4.0,15.0
0010010010101100,7.0,3.0,10.0
0010010010101101,11.0,4.0,15.0
0010010010101110,8.0,3.0,11.0
0010010010101111,8.0,3.0,11.0
0010010010110000,13.0,4.0,17.0
0010010010110001,11.0,4.0,15.0
0010010010110010,16.0,5.0,21.0
0010010010110011,12.0,4.0,16.0
0010010010110100,12.0,4.0,16.0
0010010010110101,11.0,4.0,15.0
0010010010110110,15.0,5.0,20.0
0010010010110111,11.0,4.0,15.0
0010010010111000,11.0,4.0,15.0
0010010010111001,13.0,4.0,17.0
0010010010111010,12.0,4.0,16.0
0010010010111011,11.0,4.0,15.0
0010010010111100,11.0,4.0,15.0
0010010010111101,12.0,4.0,16.0
0010010010111110,11.0,4.0,15.0
0010010010111111,10.0,4.0,14.0
0010010011000000,11.0,3.0,14.0
0010010011000001,15.0,4.0,19.0
0010010011000010,15.0,4.0,19.0
0010010011000011,14.0,4.0,18.0
0010010011000100,9.0,4.0,13.0
0010010011000101,11.0,4.0,15.0
0010010011000110,14.0,5.0,19.0
0010010011000111,13.0,4.0,17.0
0010010011001000,14.0,4.0,18.0
0010010011001001,18.0,5.0,23.0
0010010011001010,14.0,4.0,18.0
0010010011001011,17.0,5.0,22.0
0010010011001100,9.0,3.0,12.0
0010010011001101,12.0,4.0,16.0
0010010011001110,11.0,4.0,15.0
0010010011001111,11.0,4.0,15.0
0010010011010000,14.0,4.0,18.0
0010010011010001,14.0,4.0,18.0
0010010011010010,18.0,5.0,23.0
0010010011010011,17.0,5.0,22.0
0010010011010100,13.0,5.0,18.0
0010010011010101,11.0,4.0,15.0
0010010011010110,17.0,5.0,22.0
0010010011010111,15.0,5.0,20.0
0010010011011000,14.0,4.0,18.0
0010010011011001,17.0,5.0,22.0
0010010011011010,17.0,5.0,22.0
0010010011011011,26.0,8.0,34.0
0010010011011100,11.0,4.0,15.0
0010010011011101,11.0,4.0,15.0
0010010011011110,15.0,5.0,20.0
0010010011011111,13.0,5.0,18.0
0010010011100000,9.0,4.0,13.0
0010010011100001,14.0,5.0,19.0
0010010011100010,11.0,4.0,15.0
0010010011100011,13.0,4.0,17.0
0010010011100100,7.0,3.0,10.0
0010010011100101,11.0,4.0,15.0
0010010011100110,11.0,4.0,15.0
0010010011100111,12.0,4.0,16.0
0010010011101000,13.0,5.0,18.0
0010010011101001,17.0,5.0,22.0
0010010011101010,11.0,4.0,15.0
0010010011101011,15.0,5.0,20.0
0010010011101100,8.0,3.0,11.0
0010010011101101,11.0,4.0,15.0
0010010011101110,8.0,3.0,11.0
0010010011101111,10.0,4.0,14.0
0010010011110000,9.0,3.0,12.0
0010010011110001,11.0,4.0,15.0
0010010011110010,12.0,4.0,16.0
0010010011110011,11.0,4.0,15.0
0010010011110100,8.0,3.0,11.0
0010010011110101,8.0,3.0,11.0
0010010011110110,11.0,4.0,15.0
0010010011110111,10.0,4.0,14.0
0010010011111000,11.0,4.0,15.0
0010010011111001,15.0,5.0,20.0
0010010011111010,11.0,4.0,15.0
0010010011111011,13.0,5.0,18.0
0010010011111100,8.0,3.0,11.0
0010010011111101,10.0,4.0,14.0
