,Literals Count,Clauses Count,Dimension
0000110000000000,3.0,3.0,6.0
0000110000000001,7.0,4.0,11.0
0000110000000010,7.0,4.0,11.0
0000110000000011,5.0,3.0,8.0
0000110000000100,4.0,3.0,7.0
0000110000000101,5.0,3.0,8.0
0000110000000110,8.0,4.0,12.0
0000110000000111,6.0,3.0,9.0
0000110000001000,4.0,3.0,7.0
0000110000001001,8.0,4.0,12.0
0000110000001010,5.0,3.0,8.0
0000110000001011,6.0,3.0,9.0
0000110000001100,2.0,2.0,4.0
0000110000001101,5.0,3.0,8.0
0000110000001110,5.0,3.0,8.0
0000110000001111,3.0,2.0,5.0
0000110000010000,7.0,2.0,9.0
0000110000010001,6.0,2.0,8.0
0000110000010010,11.0,5.0,16.0
0000110000010011,8.0,4.0,12.0
0000110000010100,8.0,4.0,12.0
0000110000010101,6.0,3.0,9.0
0000110000010110,12.0,5.0,17.0
0000110000010111,9.0,4.0,13.0
0000110000011000,10.0,3.0,13.0
0000110000011001,9.0,4.0,13.0
0000110000011010,9.0,4.0,13.0
0000110000011011,9.0,4.0,13.0
0000110000011100,6.0,2.0,8.0
0000110000011101,5.0,2.0,7.0
0000110000011110,9.0,4.0,13.0
0000110000011111,6.0,3.0,9.0
0000110000100000,7.0,2.0,9.0
0000110000100001,11.0,5.0,16.0
0000110000100010,6.0,2.0,8.0
0000110000100011,8.0,4.0,12.0
0000110000100100,10.0,3.0,13.0
0000110000100101,9.0,4.0,13.0
0000110000100110,9.0,4.0,13.0
0000110000100111,9.0,4.0,13.0
0000110000101000,8.0,4.0,12.0
0000110000101001,12.0,5.0,17.0
0000110000101010,6.0,3.0,9.0
0000110000101011,9.0,4.0,13.0
0000110000101100,6.0,2.0,8.0
0000110000101101,9.0,4.0,13.0
0000110000101110,5.0,2.0,7.0
0000110000101111,6.0,3.0,9.0
0000110000110000,6.0,2.0,8.0
0000110000110001,9.0,4.0,13.0
0000110000110010,9.0,4.0,13.0
0000110000110011,5.0,2.0,7.0
0000110000110100,9.0,4.0,13.0
0000110000110101,7.0,3.0,10.0
0000110000110110,10.0,4.0,14.0
0000110000110111,7.0,3.0,10.0
0000110000111000,9.0,4.0,13.0
0000110000111001,10.0,4.0,14.0
0000110000111010,7.0,3.0,10.0
0000110000111011,7.0,3.0,10.0
0000110000111100,5.0,2.0,7.0
0000110000111101,7.0,3.0,10.0
0000110000111110,7.0,3.0,10.0
0000110000111111,4.0,2.0,6.0
0000110001000000,7.0,4.0,11.0
0000110001000001,11.0,5.0,16.0
0000110001000010,11.0,3.0,14.0
0000110001000011,10.0,3.0,13.0
0000110001000100,5.0,3.0,8.0
0000110001000101,8.0,4.0,12.0
0000110001000110,10.0,3.0,13.0
0000110001000111,9.0,4.0,13.0
0000110001001000,8.0,4.0,12.0
0000110001001001,14.0,6.0,20.0
0000110001001010,10.0,3.0,13.0
0000110001001011,12.0,5.0,17.0
0000110001001100,5.0,3.0,8.0
0000110001001101,8.0,3.0,11.0
0000110001001110,8.0,4.0,12.0
0000110001001111,7.0,3.0,10.0
0000110001010000,6.0,2.0,8.0
0000110001010001,9.0,4.0,13.0
0000110001010010,10.0,3.0,13.0
0000110001010011,9.0,4.0,13.0
0000110001010100,6.0,3.0,9.0
0000110001010101,5.0,2.0,7.0
0000110001010110,12.0,5.0,17.0
0000110001010111,8.0,3.0,11.0
0000110001011000,9.0,4.0,13.0
0000110001011001,12.0,5.0,17.0
0000110001011010,9.0,4.0,13.0
