,Literals Count,Clauses Count,Dimension
0011101000000000,5.0,3.0,8.0
0011101000000001,10.0,3.0,13.0
0011101000000010,8.0,4.0,12.0
0011101000000011,9.0,4.0,13.0
0011101000000100,9.0,4.0,13.0
0011101000000101,9.0,4.0,13.0
0011101000000110,13.0,5.0,18.0
0011101000000111,10.0,4.0,14.0
0011101000001000,6.0,3.0,9.0
0011101000001001,12.0,5.0,17.0
0011101000001010,5.0,2.0,7.0
0011101000001011,8.0,3.0,11.0
0011101000001100,7.0,3.0,10.0
0011101000001101,10.0,4.0,14.0
0011101000001110,8.0,3.0,11.0
0011101000001111,7.0,3.0,10.0
0011101000010000,6.0,3.0,9.0
0011101000010001,9.0,4.0,13.0
0011101000010010,9.0,4.0,13.0
0011101000010011,10.0,4.0,14.0
0011101000010100,10.0,4.0,14.0
0011101000010101,7.0,3.0,10.0
0011101000010110,14.0,5.0,19.0
0011101000010111,11.0,4.0,15.0
0011101000011000,7.0,3.0,10.0
0011101000011001,10.0,4.0,14.0
0011101000011010,7.0,3.0,10.0
0011101000011011,8.0,3.0,11.0
0011101000011100,11.0,4.0,15.0
0011101000011101,8.0,3.0,11.0
0011101000011110,11.0,4.0,15.0
0011101000011111,8.0,3.0,11.0
0011101000100000,8.0,4.0,12.0
0011101000100001,13.0,5.0,18.0
0011101000100010,8.0,4.0,12.0
0011101000100011,10.0,4.0,14.0
0011101000100100,11.0,4.0,15.0
0011101000100101,11.0,4.0,15.0
0011101000100110,11.0,4.0,15.0
0011101000100111,11.0,4.0,15.0
0011101000101000,9.0,4.0,13.0
0011101000101001,14.0,5.0,19.0
0011101000101010,6.0,3.0,9.0
0011101000101011,10.0,4.0,14.0
0011101000101100,11.0,4.0,15.0
0011101000101101,12.0,4.0,16.0
0011101000101110,8.0,3.0,11.0
0011101000101111,8.0,3.0,11.0
0011101000110000,5.0,2.0,7.0
0011101000110001,8.0,3.0,11.0
0011101000110010,6.0,3.0,9.0
0011101000110011,7.0,3.0,10.0
0011101000110100,9.0,3.0,12.0
0011101000110101,8.0,3.0,11.0
0011101000110110,11.0,4.0,15.0
0011101000110111,8.0,3.0,11.0
0011101000111000,7.0,3.0,10.0
0011101000111001,11.0,4.0,15.0
0011101000111010,4.0,2.0,6.0
0011101000111011,6.0,3.0,9.0
0011101000111100,8.0,3.0,11.0
0011101000111101,9.0,3.0,12.0
0011101000111110,7.0,3.0,10.0
0011101000111111,5.0,2.0,7.0
0011101001000000,9.0,4.0,13.0
0011101001000001,14.0,5.0,19.0
0011101001000010,11.0,4.0,15.0
0011101001000011,13.0,4.0,17.0
0011101001000100,9.0,3.0,12.0
0011101001000101,11.0,4.0,15.0
0011101001000110,12.0,4.0,16.0
0011101001000111,12.0,4.0,16.0
0011101001001000,10.0,4.0,14.0
0011101001001001,17.0,5.0,22.0
0011101001001010,9.0,3.0,12.0
0011101001001011,12.0,4.0,16.0
0011101001001100,11.0,4.0,15.0
0011101001001101,15.0,5.0,20.0
0011101001001110,8.0,3.0,11.0
0011101001001111,10.0,4.0,14.0
0011101001010000,7.0,3.0,10.0
0011101001010001,11.0,4.0,15.0
0011101001010010,11.0,4.0,15.0
0011101001010011,12.0,4.0,16.0
0011101001010100,11.0,4.0,15.0
0011101001010101,8.0,3.0,11.0
0011101001010110,15.0,5.0,20.0
0011101001010111,11.0,4.0,15.0
0011101001011000,11.0,4.0,15.0
0011101001011001,15.0,5.0,20.0
0011101001011010,8.0,3.0,11.0
0011101001011011,11.0,4.0,15.0
0011101001011100,24.0,8.0,32.0
0011101001011101,11.0,4.0,15.0
0011101001011110,11.0,4.0,15.0
0011101001011111,7.0,3.0,10.0
0011101001100000,13.0,5.0,18.0
0011101001100001,17.0,5.0,22.0
0011101001100010,11.0,4.0,15.0
0011101001100011,15.0,5.0,20.0
0011101001100100,12.0,4.0,16.0
0011101001100101,15.0,5.0,20.0
0011101001100110,11.0,4.0,15.0
0011101001100111,13.0,4.0,17.0
0011101001101000,14.0,5.0,19.0
0011101001101001,20.0,6.0,26.0
0011101001101010,11.0,4.0,15.0
0011101001101011,14.0,5.0,19.0
0011101001101100,15.0,5.0,20.0
0011101001101101,17.0,5.0,22.0
0011101001101110,10.0,4.0,14.0
0011101001101111,12.0,5.0,17.0
0011101001110000,8.0,3.0,11.0
0011101001110001,11.0,4.0,15.0
0011101001110010,8.0,3.0,11.0
0011101001110011,10.0,4.0,14.0
