,Literals Count,Clauses Count,Dimension
1000001000000000,6.0,4.0,10.0
1000001000000001,10.0,5.0,15.0
1000001000000010,7.0,4.0,11.0
1000001000000011,8.0,4.0,12.0
1000001000000100,12.0,3.0,15.0
1000001000000101,11.0,5.0,16.0
1000001000000110,11.0,3.0,14.0
1000001000000111,9.0,4.0,13.0
1000001000001000,10.0,5.0,15.0
1000001000001001,14.0,6.0,20.0
1000001000001010,8.0,4.0,12.0
1000001000001011,11.0,5.0,16.0
1000001000001100,11.0,5.0,16.0
1000001000001101,12.0,5.0,17.0
1000001000001110,10.0,3.0,13.0
1000001000001111,9.0,4.0,13.0
1000001000010000,12.0,3.0,15.0
1000001000010001,11.0,5.0,16.0
1000001000010010,11.0,3.0,14.0
1000001000010011,9.0,4.0,13.0
1000001000010100,16.0,4.0,20.0
1000001000010101,13.0,5.0,18.0
1000001000010110,15.0,4.0,19.0
1000001000010111,11.0,4.0,15.0
1000001000011000,16.0,4.0,20.0
1000001000011001,15.0,4.0,19.0
1000001000011010,14.0,4.0,18.0
1000001000011011,13.0,5.0,18.0
1000001000011100,15.0,4.0,19.0
1000001000011101,14.0,5.0,19.0
1000001000011110,14.0,4.0,18.0
1000001000011111,11.0,4.0,15.0
1000001000100000,10.0,5.0,15.0
1000001000100001,14.0,6.0,20.0
1000001000100010,8.0,4.0,12.0
1000001000100011,11.0,5.0,16.0
1000001000100100,16.0,4.0,20.0
1000001000100101,15.0,4.0,19.0
1000001000100110,14.0,4.0,18.0
1000001000100111,13.0,5.0,18.0
1000001000101000,13.0,5.0,18.0
1000001000101001,19.0,7.0,26.0
1000001000101010,10.0,4.0,14.0
1000001000101011,15.0,6.0,21.0
1000001000101100,15.0,4.0,19.0
1000001000101101,17.0,6.0,23.0
1000001000101110,13.0,5.0,18.0
1000001000101111,12.0,4.0,16.0
1000001000110000,11.0,5.0,16.0
1000001000110001,12.0,5.0,17.0
1000001000110010,10.0,3.0,13.0
1000001000110011,9.0,4.0,13.0
1000001000110100,15.0,4.0,19.0
1000001000110101,14.0,5.0,19.0
1000001000110110,14.0,4.0,18.0
1000001000110111,11.0,4.0,15.0
1000001000111000,15.0,4.0,19.0
1000001000111001,17.0,6.0,23.0
1000001000111010,13.0,5.0,18.0
1000001000111011,12.0,4.0,16.0
1000001000111100,14.0,5.0,19.0
1000001000111101,15.0,5.0,20.0
1000001000111110,13.0,4.0,17.0
1000001000111111,11.0,4.0,15.0
1000001001000000,10.0,5.0,15.0
1000001001000001,8.0,4.0,12.0
1000001001000010,11.0,5.0,16.0
1000001001000011,9.0,4.0,13.0
1000001001000100,11.0,5.0,16.0
1000001001000101,9.0,4.0,13.0
1000001001000110,10.0,3.0,13.0
1000001001000111,10.0,4.0,14.0
1000001001001000,14.0,6.0,20.0
1000001001001001,16.0,6.0,22.0
1000001001001010,12.0,5.0,17.0
1000001001001011,13.0,5.0,18.0
1000001001001100,12.0,5.0,17.0
1000001001001101,13.0,5.0,18.0
1000001001001110,12.0,5.0,17.0
1000001001001111,10.0,4.0,14.0
1000001001010000,11.0,5.0,16.0
1000001001010001,9.0,4.0,13.0
1000001001010010,10.0,3.0,13.0
1000001001010011,10.0,4.0,14.0
1000001001010100,13.0,5.0,18.0
1000001001010101,10.0,4.0,14.0
1000001001010110,13.0,4.0,17.0
1000001001010111,9.0,3.0,12.0
1000001001011000,15.0,4.0,19.0
1000001001011001,17.0,6.0,23.0
1000001001011010,13.0,5.0,18.0
1000001001011011,14.0,5.0,19.0
1000001001011100,14.0,5.0,19.0
1000001001011101,13.0,4.0,17.0
1000001001011110,13.0,4.0,17.0
1000001001011111,11.0,4.0,15.0
1000001001100000,14.0,6.0,20.0
1000001001100001,16.0,6.0,22.0
1000001001100010,12.0,5.0,17.0
1000001001100011,13.0,5.0,18.0
1000001001100100,15.0,4.0,19.0
1000001001100101,17.0,6.0,23.0
1000001001100110,13.0,5.0,18.0
1000001001100111,14.0,5.0,19.0
1000001001101000,19.0,7.0,26.0
1000001001101001,22.0,7.0,29.0
1000001001101010,16.0,6.0,22.0
1000001001101011,18.0,6.0,24.0
1000001001101100,17.0,6.0,23.0
1000001001101101,19.0,6.0,25.0
1000001001101110,14.0,5.0,19.0
1000001001101111,15.0,5.0,20.0
1000001001110000,12.0,5.0,17.0
1000001001110001,13.0,5.0,18.0
1000001001110010,12.0,5.0,17.0
1000001001110011,10.0,4.0,14.0
1000001001110100,14.0,5.0,19.0
1000001001110101,13.0,4.0,17.0
1000001001110110,13.0,4.0,17.0
1000001001110111,11.0,4.0,15.0
1000001001111000,17.0,6.0,23.0
1000001001111001,19.0,6.0,25.0
1000001001111010,14.0,5.0,19.0
1000001001111011,15.0,5.0,20.0
1000001001111100,15.0,5.0,20.0
1000001001111101,16.0,5.0,21.0
1000001001111110,15.0,5.0,20.0
1000001001111111,12.0,4.0,16.0
1000001010000000,7.0,4.0,11.0
1000001010000001,11.0,5.0,16.0
1000001010000010,5.0,3.0,8.0
1000001010000011,8.0,4.0,12.0
1000001010000100,11.0,3.0,14.0
1000001010000101,10.0,3.0,13.0
1000001010000110,10.0,3.0,13.0
1000001010000111,9.0,4.0,13.0
1000001010001000,8.0,4.0,12.0
1000001010001001,12.0,5.0,17.0
1000001010001010,6.0,3.0,9.0
1000001010001011,9.0,4.0,13.0
1000001010001100,10.0,3.0,13.0
1000001010001101,12.0,5.0,17.0
1000001010001110,9.0,4.0,13.0
1000001010001111,8.0,3.0,11.0
1000001010010000,11.0,3.0,14.0
1000001010010001,10.0,3.0,13.0
1000001010010010,10.0,3.0,13.0
1000001010010011,9.0,4.0,13.0
1000001010010100,15.0,4.0,19.0
1000001010010101,13.0,4.0,17.0
1000001010010110,14.0,5.0,19.0
1000001010010111,11.0,4.0,15.0
1000001010011000,14.0,4.0,18.0
1000001010011001,13.0,5.0,18.0
1000001010011010,12.0,5.0,17.0
1000001010011011,10.0,4.0,14.0
1000001010011100,14.0,4.0,18.0
1000001010011101,13.0,4.0,17.0
1000001010011110,13.0,4.0,17.0
1000001010011111,11.0,4.0,15.0
1000001010100000,8.0,4.0,12.0
1000001010100001,12.0,5.0,17.0
1000001010100010,6.0,3.0,9.0
1000001010100011,9.0,4.0,13.0
1000001010100100,14.0,4.0,18.0
1000001010100101,13.0,5.0,18.0
1000001010100110,12.0,5.0,17.0
1000001010100111,10.0,4.0,14.0
1000001010101000,10.0,4.0,14.0
1000001010101001,16.0,6.0,22.0
1000001010101010,7.0,3.0,10.0
1000001010101011,11.0,4.0,15.0
1000001010101100,13.0,5.0,18.0
1000001010101101,14.0,5.0,19.0
1000001010101110,10.0,4.0,14.0
1000001010101111,10.0,4.0,14.0
1000001010110000,10.0,3.0,13.0
1000001010110001,12.0,5.0,17.0
1000001010110010,9.0,4.0,13.0
1000001010110011,8.0,3.0,11.0
1000001010110100,14.0,4.0,18.0
1000001010110101,13.0,4.0,17.0
1000001010110110,13.0,4.0,17.0
1000001010110111,11.0,4.0,15.0
1000001010111000,13.0,5.0,18.0
1000001010111001,14.0,5.0,19.0
1000001010111010,10.0,4.0,14.0
1000001010111011,10.0,4.0,14.0
1000001010111100,13.0,4.0,17.0
1000001010111101,15.0,5.0,20.0
1000001010111110,12.0,4.0,16.0
1000001010111111,10.0,4.0,14.0
1000001011000000,8.0,4.0,12.0
1000001011000001,9.0,4.0,13.0
1000001011000010,8.0,4.0,12.0
1000001011000011,6.0,3.0,9.0
1000001011000100,9.0,4.0,13.0
1000001011000101,10.0,4.0,14.0
1000001011000110,9.0,4.0,13.0
1000001011000111,7.0,3.0,10.0
1000001011001000,11.0,5.0,16.0
1000001011001001,13.0,5.0,18.0
1000001011001010,9.0,4.0,13.0
1000001011001011,10.0,4.0,14.0
1000001011001100,9.0,4.0,13.0
1000001011001101,10.0,4.0,14.0
1000001011001110,8.0,3.0,11.0
1000001011001111,7.0,3.0,10.0
1000001011010000,9.0,4.0,13.0
1000001011010001,10.0,4.0,14.0
1000001011010010,9.0,4.0,13.0
1000001011010011,7.0,3.0,10.0
1000001011010100,11.0,4.0,15.0
1000001011010101,9.0,3.0,12.0
1000001011010110,11.0,4.0,15.0
1000001011010111,8.0,3.0,11.0
