,Literals Count,Clauses Count,Dimension
0100100000000000,6.0,4.0,10.0
0100100000000001,12.0,3.0,15.0
0100100000000010,10.0,5.0,15.0
0100100000000011,11.0,5.0,16.0
0100100000000100,10.0,5.0,15.0
0100100000000101,11.0,5.0,16.0
0100100000000110,14.0,6.0,20.0
0100100000000111,12.0,5.0,17.0
0100100000001000,7.0,4.0,11.0
0100100000001001,11.0,3.0,14.0
0100100000001010,8.0,4.0,12.0
0100100000001011,9.0,4.0,13.0
0100100000001100,8.0,4.0,12.0
0100100000001101,10.0,3.0,13.0
0100100000001110,11.0,5.0,16.0
0100100000001111,9.0,4.0,13.0
0100100000010000,10.0,5.0,15.0
0100100000010001,11.0,5.0,16.0
0100100000010010,8.0,4.0,12.0
0100100000010011,9.0,4.0,13.0
0100100000010100,14.0,6.0,20.0
0100100000010101,12.0,5.0,17.0
0100100000010110,16.0,6.0,22.0
0100100000010111,13.0,5.0,18.0
0100100000011000,11.0,5.0,16.0
0100100000011001,10.0,3.0,13.0
0100100000011010,9.0,4.0,13.0
0100100000011011,10.0,4.0,14.0
0100100000011100,12.0,5.0,17.0
0100100000011101,12.0,5.0,17.0
0100100000011110,13.0,5.0,18.0
0100100000011111,10.0,4.0,14.0
0100100000100000,12.0,3.0,15.0
0100100000100001,16.0,4.0,20.0
0100100000100010,11.0,5.0,16.0
0100100000100011,13.0,5.0,18.0
0100100000100100,16.0,4.0,20.0
0100100000100101,15.0,4.0,19.0
0100100000100110,15.0,4.0,19.0
0100100000100111,14.0,5.0,19.0
0100100000101000,11.0,3.0,14.0
0100100000101001,15.0,4.0,19.0
0100100000101010,9.0,4.0,13.0
0100100000101011,11.0,4.0,15.0
0100100000101100,14.0,4.0,18.0
0100100000101101,14.0,4.0,18.0
0100100000101110,13.0,5.0,18.0
0100100000101111,11.0,4.0,15.0
0100100000110000,11.0,5.0,16.0
0100100000110001,13.0,5.0,18.0
0100100000110010,9.0,4.0,13.0
0100100000110011,10.0,4.0,14.0
0100100000110100,15.0,4.0,19.0
0100100000110101,14.0,5.0,19.0
0100100000110110,17.0,6.0,23.0
0100100000110111,13.0,4.0,17.0
0100100000111000,10.0,3.0,13.0
0100100000111001,13.0,4.0,17.0
0100100000111010,10.0,4.0,14.0
0100100000111011,9.0,3.0,12.0
0100100000111100,13.0,5.0,18.0
0100100000111101,13.0,4.0,17.0
0100100000111110,14.0,5.0,19.0
0100100000111111,11.0,4.0,15.0
0100100001000000,7.0,4.0,11.0
0100100001000001,11.0,3.0,14.0
0100100001000010,11.0,5.0,16.0
0100100001000011,10.0,3.0,13.0
0100100001000100,8.0,4.0,12.0
0100100001000101,10.0,3.0,13.0
0100100001000110,12.0,5.0,17.0
0100100001000111,12.0,5.0,17.0
0100100001001000,5.0,3.0,8.0
0100100001001001,10.0,3.0,13.0
0100100001001010,8.0,4.0,12.0
0100100001001011,9.0,4.0,13.0
0100100001001100,6.0,3.0,9.0
0100100001001101,9.0,4.0,13.0
0100100001001110,9.0,4.0,13.0
0100100001001111,8.0,3.0,11.0
0100100001010000,8.0,4.0,12.0
0100100001010001,9.0,4.0,13.0
0100100001010010,9.0,4.0,13.0
0100100001010011,10.0,4.0,14.0
0100100001010100,11.0,5.0,16.0
0100100001010101,9.0,4.0,13.0
0100100001010110,13.0,5.0,18.0
0100100001010111,10.0,4.0,14.0
0100100001011000,8.0,4.0,12.0
0100100001011001,9.0,4.0,13.0
0100100001011010,6.0,3.0,9.0
0100100001011011,7.0,3.0,10.0
0100100001011100,9.0,4.0,13.0
0100100001011101,8.0,3.0,11.0
0100100001011110,10.0,4.0,14.0
0100100001011111,7.0,3.0,10.0
0100100001100000,11.0,3.0,14.0
0100100001100001,15.0,4.0,19.0
0100100001100010,10.0,3.0,13.0
0100100001100011,13.0,4.0,17.0
0100100001100100,14.0,4.0,18.0
0100100001100101,14.0,4.0,18.0
0100100001100110,13.0,5.0,18.0
0100100001100111,13.0,4.0,17.0
0100100001101000,10.0,3.0,13.0
0100100001101001,14.0,5.0,19.0
0100100001101010,9.0,4.0,13.0
0100100001101011,11.0,4.0,15.0
0100100001101100,12.0,5.0,17.0
0100100001101101,13.0,4.0,17.0
0100100001101110,10.0,4.0,14.0
0100100001101111,11.0,4.0,15.0
0100100001110000,9.0,4.0,13.0
0100100001110001,11.0,4.0,15.0
0100100001110010,10.0,4.0,14.0
0100100001110011,9.0,3.0,12.0
0100100001110100,13.0,5.0,18.0
0100100001110101,11.0,4.0,15.0
0100100001110110,14.0,5.0,19.0
0100100001110111,11.0,4.0,15.0
0100100001111000,9.0,4.0,13.0
0100100001111001,11.0,4.0,15.0
0100100001111010,7.0,3.0,10.0
0100100001111011,8.0,3.0,11.0
0100100001111100,10.0,4.0,14.0
0100100001111101,11.0,4.0,15.0
0100100001111110,11.0,4.0,15.0
0100100001111111,8.0,3.0,11.0
0100100010000000,10.0,5.0,15.0
0100100010000001,16.0,4.0,20.0
0100100010000010,14.0,6.0,20.0
0100100010000011,15.0,4.0,19.0
0100100010000100,13.0,5.0,18.0
0100100010000101,15.0,4.0,19.0
0100100010000110,19.0,7.0,26.0
0100100010000111,17.0,6.0,23.0
0100100010001000,8.0,4.0,12.0
0100100010001001,14.0,4.0,18.0
0100100010001010,11.0,5.0,16.0
0100100010001011,13.0,5.0,18.0
0100100010001100,10.0,4.0,14.0
0100100010001101,13.0,5.0,18.0
0100100010001110,15.0,6.0,21.0
0100100010001111,12.0,4.0,16.0
0100100010010000,14.0,6.0,20.0
0100100010010001,15.0,4.0,19.0
0100100010010010,16.0,6.0,22.0
0100100010010011,17.0,6.0,23.0
0100100010010100,19.0,7.0,26.0
0100100010010101,17.0,6.0,23.0
0100100010010110,22.0,7.0,29.0
0100100010010111,19.0,6.0,25.0
0100100010011000,12.0,5.0,17.0
0100100010011001,13.0,5.0,18.0
0100100010011010,13.0,5.0,18.0
0100100010011011,14.0,5.0,19.0
0100100010011100,16.0,6.0,22.0
0100100010011101,14.0,5.0,19.0
0100100010011110,18.0,6.0,24.0
0100100010011111,15.0,5.0,20.0
0100100010100000,11.0,5.0,16.0
0100100010100001,15.0,4.0,19.0
0100100010100010,12.0,5.0,17.0
0100100010100011,14.0,5.0,19.0
0100100010100100,15.0,4.0,19.0
0100100010100101,14.0,5.0,19.0
0100100010100110,17.0,6.0,23.0
0100100010100111,15.0,5.0,20.0
0100100010101000,10.0,3.0,13.0
0100100010101001,14.0,4.0,18.0
0100100010101010,9.0,4.0,13.0
0100100010101011,11.0,4.0,15.0
0100100010101100,13.0,5.0,18.0
0100100010101101,13.0,4.0,17.0
0100100010101110,12.0,4.0,16.0
0100100010101111,11.0,4.0,15.0
0100100010110000,12.0,5.0,17.0
0100100010110001,14.0,5.0,19.0
0100100010110010,13.0,5.0,18.0
0100100010110011,13.0,4.0,17.0
0100100010110100,17.0,6.0,23.0
0100100010110101,15.0,5.0,20.0
0100100010110110,19.0,6.0,25.0
0100100010110111,16.0,5.0,21.0
0100100010111000,12.0,5.0,17.0
0100100010111001,13.0,4.0,17.0
0100100010111010,10.0,4.0,14.0
0100100010111011,11.0,4.0,15.0
0100100010111100,14.0,5.0,19.0
0100100010111101,15.0,5.0,20.0
0100100010111110,15.0,5.0,20.0
