,Literals Count,Clauses Count,Dimension
0101100000000000,7.0,4.0,11.0
0101100000000001,11.0,3.0,14.0
0101100000000010,11.0,5.0,16.0
0101100000000011,10.0,3.0,13.0
0101100000000100,11.0,5.0,16.0
0101100000000101,10.0,3.0,13.0
0101100000000110,15.0,4.0,19.0
0101100000000111,13.0,5.0,18.0
0101100000001000,6.0,2.0,8.0
0101100000001001,10.0,3.0,13.0
0101100000001010,9.0,4.0,13.0
0101100000001011,9.0,3.0,12.0
0101100000001100,9.0,4.0,13.0
0101100000001101,9.0,4.0,13.0
0101100000001110,12.0,4.0,16.0
0101100000001111,8.0,3.0,11.0
0101100000010000,8.0,4.0,12.0
0101100000010001,9.0,4.0,13.0
0101100000010010,9.0,4.0,13.0
0101100000010011,10.0,4.0,14.0
0101100000010100,12.0,5.0,17.0
0101100000010101,12.0,5.0,17.0
0101100000010110,17.0,6.0,23.0
0101100000010111,14.0,5.0,19.0
0101100000011000,9.0,4.0,13.0
0101100000011001,9.0,3.0,12.0
0101100000011010,10.0,4.0,14.0
0101100000011011,11.0,4.0,15.0
0101100000011100,10.0,4.0,14.0
0101100000011101,10.0,4.0,14.0
0101100000011110,14.0,5.0,19.0
0101100000011111,11.0,4.0,15.0
0101100000100000,11.0,3.0,14.0
0101100000100001,15.0,4.0,19.0
0101100000100010,10.0,3.0,13.0
0101100000100011,13.0,4.0,17.0
0101100000100100,15.0,4.0,19.0
0101100000100101,14.0,4.0,18.0
0101100000100110,14.0,4.0,18.0
0101100000100111,13.0,4.0,17.0
0101100000101000,10.0,3.0,13.0
0101100000101001,14.0,4.0,18.0
0101100000101010,9.0,3.0,12.0
0101100000101011,12.0,4.0,16.0
0101100000101100,13.0,4.0,17.0
0101100000101101,13.0,4.0,17.0
0101100000101110,12.0,4.0,16.0
0101100000101111,11.0,4.0,15.0
0101100000110000,9.0,4.0,13.0
0101100000110001,11.0,4.0,15.0
0101100000110010,10.0,4.0,14.0
0101100000110011,9.0,3.0,12.0
0101100000110100,14.0,5.0,19.0
0101100000110101,13.0,4.0,17.0
0101100000110110,17.0,5.0,22.0
0101100000110111,12.0,4.0,16.0
0101100000111000,9.0,3.0,12.0
0101100000111001,12.0,4.0,16.0
0101100000111010,11.0,4.0,15.0
0101100000111011,8.0,3.0,11.0
0101100000111100,11.0,4.0,15.0
0101100000111101,12.0,4.0,16.0
0101100000111110,15.0,5.0,20.0
0101100000111111,10.0,4.0,14.0
0101100001000000,10.0,5.0,15.0
0101100001000001,14.0,4.0,18.0
0101100001000010,13.0,5.0,18.0
0101100001000011,13.0,4.0,17.0
0101100001000100,10.0,3.0,13.0
0101100001000101,12.0,5.0,17.0
0101100001000110,14.0,5.0,19.0
0101100001000111,13.0,4.0,17.0
0101100001001000,8.0,4.0,12.0
0101100001001001,13.0,5.0,18.0
0101100001001010,10.0,4.0,14.0
0101100001001011,11.0,4.0,15.0
0101100001001100,9.0,4.0,13.0
0101100001001101,10.0,4.0,14.0
0101100001001110,11.0,4.0,15.0
0101100001001111,11.0,4.0,15.0
0101100001010000,6.0,2.0,8.0
0101100001010001,9.0,3.0,12.0
0101100001010010,10.0,4.0,14.0
0101100001010011,9.0,3.0,12.0
0101100001010100,9.0,4.0,13.0
0101100001010101,8.0,3.0,11.0
0101100001010110,13.0,4.0,17.0
0101100001010111,11.0,4.0,15.0
0101100001011000,5.0,2.0,7.0
0101100001011001,8.0,3.0,11.0
0101100001011010,7.0,3.0,10.0
0101100001011011,8.0,3.0,11.0
0101100001011100,7.0,3.0,10.0
0101100001011101,7.0,3.0,10.0
0101100001011110,11.0,4.0,15.0
0101100001011111,7.0,3.0,10.0
0101100001100000,14.0,4.0,18.0
0101100001100001,18.0,5.0,23.0
0101100001100010,13.0,4.0,17.0
0101100001100011,16.0,5.0,21.0
0101100001100100,14.0,4.0,18.0
0101100001100101,17.0,5.0,22.0
0101100001100110,13.0,4.0,17.0
0101100001100111,16.0,5.0,21.0
0101100001101000,13.0,5.0,18.0
0101100001101001,17.0,5.0,22.0
0101100001101010,11.0,4.0,15.0
0101100001101011,15.0,5.0,20.0
0101100001101100,13.0,4.0,17.0
0101100001101101,16.0,5.0,21.0
0101100001101110,12.0,4.0,16.0
0101100001101111,13.0,4.0,17.0
0101100001110000,9.0,3.0,12.0
0101100001110001,12.0,4.0,16.0
0101100001110010,9.0,3.0,12.0
0101100001110011,8.0,3.0,11.0
0101100001110100,11.0,4.0,15.0
0101100001110101,11.0,4.0,15.0
