,Literals Count,Clauses Count,Dimension
0111111000000000,7.0,3.0,10.0
0111111000000001,13.0,5.0,18.0
0111111000000010,10.0,4.0,14.0
0111111000000011,11.0,4.0,15.0
0111111000000100,10.0,4.0,14.0
0111111000000101,11.0,4.0,15.0
0111111000000110,11.0,4.0,15.0
0111111000000111,12.0,4.0,16.0
0111111000001000,10.0,4.0,14.0
0111111000001001,15.0,5.0,20.0
0111111000001010,8.0,3.0,11.0
0111111000001011,11.0,4.0,15.0
0111111000001100,8.0,3.0,11.0
0111111000001101,11.0,4.0,15.0
0111111000001110,8.0,3.0,11.0
0111111000001111,9.0,3.0,12.0
0111111000010000,10.0,4.0,14.0
0111111000010001,11.0,4.0,15.0
0111111000010010,11.0,4.0,15.0
0111111000010011,12.0,4.0,16.0
0111111000010100,11.0,4.0,15.0
0111111000010101,12.0,4.0,16.0
0111111000010110,15.0,5.0,20.0
0111111000010111,16.0,5.0,21.0
0111111000011000,12.0,4.0,16.0
0111111000011001,13.0,4.0,17.0
0111111000011010,11.0,4.0,15.0
0111111000011011,11.0,4.0,15.0
0111111000011100,11.0,4.0,15.0
0111111000011101,11.0,4.0,15.0
0111111000011110,12.0,4.0,16.0
0111111000011111,13.0,4.0,17.0
0111111000100000,10.0,4.0,14.0
0111111000100001,15.0,5.0,20.0
0111111000100010,8.0,3.0,11.0
0111111000100011,11.0,4.0,15.0
0111111000100100,12.0,4.0,16.0
0111111000100101,13.0,4.0,17.0
0111111000100110,11.0,4.0,15.0
0111111000100111,11.0,4.0,15.0
0111111000101000,11.0,4.0,15.0
0111111000101001,17.0,5.0,22.0
0111111000101010,8.0,3.0,11.0
0111111000101011,13.0,4.0,17.0
0111111000101100,11.0,4.0,15.0
0111111000101101,14.0,4.0,18.0
0111111000101110,7.0,3.0,10.0
0111111000101111,9.0,4.0,13.0
0111111000110000,8.0,3.0,11.0
0111111000110001,11.0,4.0,15.0
0111111000110010,8.0,3.0,11.0
0111111000110011,9.0,3.0,12.0
0111111000110100,11.0,4.0,15.0
0111111000110101,11.0,4.0,15.0
0111111000110110,12.0,4.0,16.0
0111111000110111,13.0,4.0,17.0
0111111000111000,11.0,4.0,15.0
0111111000111001,14.0,4.0,18.0
0111111000111010,7.0,3.0,10.0
0111111000111011,9.0,4.0,13.0
0111111000111100,10.0,4.0,14.0
0111111000111101,13.0,5.0,18.0
0111111000111110,9.0,3.0,12.0
0111111000111111,10.0,3.0,13.0
0111111001000000,10.0,4.0,14.0
0111111001000001,15.0,5.0,20.0
0111111001000010,12.0,4.0,16.0
0111111001000011,13.0,4.0,17.0
0111111001000100,8.0,3.0,11.0
0111111001000101,11.0,4.0,15.0
0111111001000110,11.0,4.0,15.0
0111111001000111,11.0,4.0,15.0
0111111001001000,11.0,4.0,15.0
0111111001001001,17.0,5.0,22.0
0111111001001010,11.0,4.0,15.0
0111111001001011,14.0,4.0,18.0
0111111001001100,8.0,3.0,11.0
0111111001001101,13.0,4.0,17.0
0111111001001110,7.0,3.0,10.0
0111111001001111,9.0,4.0,13.0
0111111001010000,8.0,3.0,11.0
0111111001010001,11.0,4.0,15.0
0111111001010010,11.0,4.0,15.0
0111111001010011,11.0,4.0,15.0
0111111001010100,8.0,3.0,11.0
0111111001010101,9.0,3.0,12.0
0111111001010110,12.0,4.0,16.0
0111111001010111,13.0,4.0,17.0
0111111001011000,11.0,4.0,15.0
0111111001011001,14.0,4.0,18.0
0111111001011010,10.0,4.0,14.0
0111111001011011,13.0,5.0,18.0
0111111001011100,7.0,3.0,10.0
0111111001011101,9.0,4.0,13.0
0111111001011110,9.0,3.0,12.0
0111111001011111,10.0,3.0,13.0
0111111001100000,11.0,4.0,15.0
0111111001100001,17.0,5.0,22.0
0111111001100010,11.0,4.0,15.0
0111111001100011,14.0,4.0,18.0
0111111001100100,11.0,4.0,15.0
0111111001100101,14.0,4.0,18.0
0111111001100110,10.0,4.0,14.0
0111111001100111,13.0,5.0,18.0
0111111001101000,15.0,5.0,20.0
0111111001101001,19.0,5.0,24.0
0111111001101010,12.0,4.0,16.0
0111111001101011,15.0,4.0,19.0
0111111001101100,12.0,4.0,16.0
0111111001101101,15.0,4.0,19.0
0111111001101110,9.0,3.0,12.0
0111111001101111,11.0,3.0,14.0
0111111001110000,8.0,3.0,11.0
0111111001110001,13.0,4.0,17.0
0111111001110010,7.0,3.0,10.0
0111111001110011,9.0,4.0,13.0
0111111001110100,7.0,3.0,10.0
0111111001110101,9.0,4.0,13.0
0111111001110110,9.0,3.0,12.0
0111111001110111,10.0,3.0,13.0
0111111001111000,12.0,4.0,16.0
0111111001111001,15.0,4.0,19.0
0111111001111010,9.0,3.0,12.0
0111111001111011,11.0,3.0,14.0
0111111001111100,9.0,3.0,12.0
0111111001111101,11.0,3.0,14.0
0111111001111110,6.0,2.0,8.0
0111111001111111,7.0,2.0,9.0
0111111010000000,13.0,5.0,18.0
0111111010000001,26.0,8.0,34.0
0111111010000010,15.0,5.0,20.0
0111111010000011,17.0,5.0,22.0
0111111010000100,15.0,5.0,20.0
0111111010000101,17.0,5.0,22.0
0111111010000110,17.0,5.0,22.0
0111111010000111,18.0,5.0,23.0
0111111010001000,11.0,4.0,15.0
0111111010001001,17.0,5.0,22.0
0111111010001010,11.0,4.0,15.0
0111111010001011,14.0,4.0,18.0
0111111010001100,11.0,4.0,15.0
0111111010001101,14.0,4.0,18.0
0111111010001110,13.0,4.0,17.0
0111111010001111,14.0,4.0,18.0
0111111010010000,15.0,5.0,20.0
0111111010010001,17.0,5.0,22.0
0111111010010010,17.0,5.0,22.0
0111111010010011,18.0,5.0,23.0
0111111010010100,17.0,5.0,22.0
0111111010010101,18.0,5.0,23.0
0111111010010110,19.0,5.0,24.0
0111111010010111,20.0,5.0,25.0
0111111010011000,13.0,4.0,17.0
0111111010011001,14.0,4.0,18.0
0111111010011010,14.0,4.0,18.0
0111111010011011,15.0,4.0,19.0
0111111010011100,14.0,4.0,18.0
0111111010011101,15.0,4.0,19.0
0111111010011110,15.0,4.0,19.0
0111111010011111,16.0,4.0,20.0
0111111010100000,11.0,4.0,15.0
0111111010100001,17.0,5.0,22.0
0111111010100010,11.0,4.0,15.0
0111111010100011,14.0,4.0,18.0
0111111010100100,13.0,4.0,17.0
0111111010100101,14.0,4.0,18.0
0111111010100110,14.0,4.0,18.0
0111111010100111,15.0,4.0,19.0
0111111010101000,12.0,4.0,16.0
0111111010101001,18.0,5.0,23.0
0111111010101010,9.0,3.0,12.0
0111111010101011,14.0,4.0,18.0
0111111010101100,11.0,4.0,15.0
0111111010101101,15.0,4.0,19.0
0111111010101110,9.0,4.0,13.0
0111111010101111,11.0,3.0,14.0
0111111010110000,11.0,4.0,15.0
0111111010110001,14.0,4.0,18.0
0111111010110010,13.0,4.0,17.0
0111111010110011,14.0,4.0,18.0
0111111010110100,14.0,4.0,18.0
0111111010110101,15.0,4.0,19.0
0111111010110110,15.0,4.0,19.0
0111111010110111,16.0,4.0,20.0
0111111010111000,11.0,4.0,15.0
0111111010111001,15.0,4.0,19.0
0111111010111010,9.0,4.0,13.0
0111111010111011,11.0,3.0,14.0
0111111010111100,13.0,5.0,18.0
0111111010111101,16.0,4.0,20.0
0111111010111110,11.0,3.0,14.0
0111111010111111,12.0,3.0,15.0
0111111011000000,11.0,4.0,15.0
0111111011000001,17.0,5.0,22.0
0111111011000010,13.0,4.0,17.0
0111111011000011,14.0,4.0,18.0
0111111011000100,11.0,4.0,15.0
0111111011000101,14.0,4.0,18.0
0111111011000110,14.0,4.0,18.0
0111111011000111,15.0,4.0,19.0
0111111011001000,12.0,4.0,16.0
0111111011001001,18.0,5.0,23.0
0111111011001010,11.0,4.0,15.0
0111111011001011,15.0,4.0,19.0
0111111011001100,9.0,3.0,12.0
0111111011001101,14.0,4.0,18.0
0111111011001110,9.0,4.0,13.0
0111111011001111,11.0,3.0,14.0
0111111011010000,11.0,4.0,15.0
0111111011010001,14.0,4.0,18.0
0111111011010010,14.0,4.0,18.0
0111111011010011,15.0,4.0,19.0
0111111011010100,13.0,4.0,17.0
0111111011010101,14.0,4.0,18.0
0111111011010110,15.0,4.0,19.0
0111111011010111,16.0,4.0,20.0
0111111011011000,11.0,4.0,15.0
0111111011011001,15.0,4.0,19.0
0111111011011010,13.0,5.0,18.0
0111111011011011,16.0,4.0,20.0
0111111011011100,9.0,4.0,13.0
0111111011011101,11.0,3.0,14.0
0111111011011110,11.0,3.0,14.0
0111111011011111,12.0,3.0,15.0
0111111011100000,12.0,4.0,16.0
0111111011100001,18.0,5.0,23.0
0111111011100010,11.0,4.0,15.0
0111111011100011,15.0,4.0,19.0
0111111011100100,11.0,4.0,15.0
0111111011100101,15.0,4.0,19.0
0111111011100110,13.0,5.0,18.0
0111111011100111,16.0,4.0,20.0
0111111011101000,16.0,5.0,21.0
0111111011101001,20.0,5.0,25.0
0111111011101010,13.0,4.0,17.0
0111111011101011,16.0,4.0,20.0
0111111011101100,13.0,4.0,17.0
0111111011101101,16.0,4.0,20.0
0111111011101110,10.0,3.0,13.0
0111111011101111,12.0,3.0,15.0
0111111011110000,9.0,3.0,12.0
0111111011110001,14.0,4.0,18.0
0111111011110010,9.0,4.0,13.0
0111111011110011,11.0,3.0,14.0
0111111011110100,9.0,4.0,13.0
0111111011110101,11.0,3.0,14.0
0111111011110110,11.0,3.0,14.0
0111111011110111,12.0,3.0,15.0
0111111011111000,13.0,4.0,17.0
0111111011111001,16.0,4.0,20.0
0111111011111010,10.0,3.0,13.0
0111111011111011,12.0,3.0,15.0
0111111011111100,10.0,3.0,13.0
0111111011111101,12.0,3.0,15.0
0111111011111110,7.0,2.0,9.0
0111111011111111,8.0,2.0,10.0
0111111100000000,4.0,2.0,6.0
0111111100000001,9.0,4.0,13.0
0111111100000010,9.0,4.0,13.0
0111111100000011,7.0,3.0,10.0
0111111100000100,9.0,4.0,13.0
0111111100000101,7.0,3.0,10.0
0111111100000110,11.0,4.0,15.0
0111111100000111,8.0,3.0,11.0
0111111100001000,7.0,3.0,10.0
0111111100001001,10.0,4.0,14.0
0111111100001010,6.0,3.0,9.0
0111111100001011,8.0,3.0,11.0
0111111100001100,6.0,3.0,9.0
0111111100001101,8.0,3.0,11.0
0111111100001110,8.0,3.0,11.0
0111111100001111,5.0,2.0,7.0
0111111100010000,9.0,4.0,13.0
0111111100010001,7.0,3.0,10.0
0111111100010010,11.0,4.0,15.0
0111111100010011,8.0,3.0,11.0
0111111100010100,11.0,4.0,15.0
0111111100010101,8.0,3.0,11.0
0111111100010110,15.0,6.0,21.0
0111111100010111,12.0,4.0,16.0
0111111100011000,10.0,4.0,14.0
0111111100011001,9.0,3.0,12.0
0111111100011010,9.0,4.0,13.0
0111111100011011,8.0,4.0,12.0
