,Literals Count,Clauses Count,Dimension
1010000000000000,3.0,3.0,6.0
1010000000000001,7.0,2.0,9.0
1010000000000010,7.0,4.0,11.0
1010000000000011,6.0,2.0,8.0
1010000000000100,7.0,2.0,9.0
1010000000000101,6.0,2.0,8.0
1010000000000110,11.0,5.0,16.0
1010000000000111,9.0,4.0,13.0
1010000000001000,7.0,4.0,11.0
1010000000001001,11.0,5.0,16.0
1010000000001010,5.0,3.0,8.0
1010000000001011,8.0,4.0,12.0
1010000000001100,6.0,2.0,8.0
1010000000001101,9.0,4.0,13.0
1010000000001110,8.0,4.0,12.0
1010000000001111,5.0,2.0,7.0
1010000000010000,7.0,4.0,11.0
1010000000010001,6.0,2.0,8.0
1010000000010010,11.0,5.0,16.0
1010000000010011,9.0,4.0,13.0
1010000000010100,11.0,5.0,16.0
1010000000010101,9.0,4.0,13.0
1010000000010110,15.0,4.0,19.0
1010000000010111,12.0,4.0,16.0
1010000000011000,11.0,3.0,14.0
1010000000011001,10.0,3.0,13.0
1010000000011010,10.0,3.0,13.0
1010000000011011,9.0,4.0,13.0
1010000000011100,10.0,3.0,13.0
1010000000011101,9.0,3.0,12.0
1010000000011110,13.0,5.0,18.0
1010000000011111,8.0,3.0,11.0
1010000000100000,4.0,3.0,7.0
1010000000100001,8.0,4.0,12.0
1010000000100010,5.0,3.0,8.0
1010000000100011,6.0,3.0,9.0
1010000000100100,10.0,3.0,13.0
1010000000100101,9.0,4.0,13.0
1010000000100110,9.0,4.0,13.0
1010000000100111,7.0,3.0,10.0
1010000000101000,8.0,4.0,12.0
1010000000101001,12.0,5.0,17.0
1010000000101010,6.0,3.0,9.0
1010000000101011,9.0,4.0,13.0
1010000000101100,9.0,4.0,13.0
1010000000101101,10.0,4.0,14.0
1010000000101110,9.0,4.0,13.0
1010000000101111,7.0,3.0,10.0
1010000000110000,5.0,3.0,8.0
1010000000110001,6.0,3.0,9.0
1010000000110010,8.0,4.0,12.0
1010000000110011,5.0,2.0,7.0
1010000000110100,9.0,4.0,13.0
1010000000110101,7.0,3.0,10.0
1010000000110110,13.0,5.0,18.0
1010000000110111,8.0,3.0,11.0
1010000000111000,10.0,3.0,13.0
1010000000111001,12.0,5.0,17.0
1010000000111010,9.0,4.0,13.0
1010000000111011,8.0,3.0,11.0
1010000000111100,9.0,4.0,13.0
1010000000111101,10.0,4.0,14.0
1010000000111110,10.0,4.0,14.0
1010000000111111,7.0,3.0,10.0
1010000001000000,7.0,4.0,11.0
1010000001000001,11.0,5.0,16.0
1010000001000010,11.0,3.0,14.0
1010000001000011,10.0,3.0,13.0
1010000001000100,6.0,2.0,8.0
1010000001000101,9.0,4.0,13.0
1010000001000110,10.0,3.0,13.0
1010000001000111,9.0,3.0,12.0
1010000001001000,11.0,5.0,16.0
1010000001001001,15.0,4.0,19.0
1010000001001010,10.0,3.0,13.0
1010000001001011,13.0,5.0,18.0
1010000001001100,9.0,4.0,13.0
1010000001001101,12.0,4.0,16.0
1010000001001110,9.0,4.0,13.0
1010000001001111,8.0,3.0,11.0
1010000001010000,5.0,3.0,8.0
1010000001010001,8.0,4.0,12.0
1010000001010010,10.0,3.0,13.0
1010000001010011,9.0,4.0,13.0
1010000001010100,8.0,4.0,12.0
1010000001010101,5.0,2.0,7.0
1010000001010110,13.0,5.0,18.0
1010000001010111,8.0,3.0,11.0
1010000001011000,10.0,3.0,13.0
1010000001011001,13.0,5.0,18.0
1010000001011010,9.0,4.0,13.0
1010000001011011,10.0,4.0,14.0
1010000001011100,9.0,4.0,13.0
1010000001011101,8.0,3.0,11.0
1010000001011110,10.0,4.0,14.0
1010000001011111,7.0,3.0,10.0
1010000001100000,8.0,4.0,12.0
1010000001100001,12.0,5.0,17.0
1010000001100010,10.0,3.0,13.0
1010000001100011,12.0,5.0,17.0
1010000001100100,9.0,4.0,13.0
1010000001100101,10.0,4.0,14.0
1010000001100110,9.0,4.0,13.0
1010000001100111,10.0,4.0,14.0
1010000001101000,14.0,6.0,20.0
1010000001101001,17.0,6.0,23.0
1010000001101010,12.0,5.0,17.0
1010000001101011,14.0,5.0,19.0
1010000001101100,12.0,5.0,17.0
1010000001101101,14.0,5.0,19.0
1010000001101110,10.0,4.0,14.0
1010000001101111,11.0,4.0,15.0
1010000001110000,6.0,3.0,9.0
1010000001110001,9.0,4.0,13.0
1010000001110010,9.0,4.0,13.0
1010000001110011,8.0,3.0,11.0
1010000001110100,9.0,4.0,13.0
1010000001110101,7.0,3.0,10.0
1010000001110110,10.0,4.0,14.0
1010000001110111,7.0,3.0,10.0
1010000001111000,12.0,5.0,17.0
1010000001111001,14.0,5.0,19.0
1010000001111010,10.0,4.0,14.0
1010000001111011,11.0,4.0,15.0
