,Literals Count,Clauses Count,Dimension
0101000000000000,3.0,3.0,6.0
0101000000000001,7.0,4.0,11.0
0101000000000010,7.0,2.0,9.0
0101000000000011,6.0,2.0,8.0
0101000000000100,7.0,4.0,11.0
0101000000000101,5.0,3.0,8.0
0101000000000110,11.0,5.0,16.0
0101000000000111,8.0,4.0,12.0
0101000000001000,7.0,2.0,9.0
0101000000001001,11.0,5.0,16.0
0101000000001010,6.0,2.0,8.0
0101000000001011,9.0,4.0,13.0
0101000000001100,6.0,2.0,8.0
0101000000001101,8.0,4.0,12.0
0101000000001110,9.0,4.0,13.0
0101000000001111,5.0,2.0,7.0
0101000000010000,4.0,3.0,7.0
0101000000010001,5.0,3.0,8.0
0101000000010010,8.0,4.0,12.0
0101000000010011,6.0,3.0,9.0
0101000000010100,8.0,4.0,12.0
0101000000010101,6.0,3.0,9.0
0101000000010110,12.0,5.0,17.0
0101000000010111,9.0,4.0,13.0
0101000000011000,10.0,3.0,13.0
0101000000011001,9.0,4.0,13.0
0101000000011010,9.0,4.0,13.0
0101000000011011,7.0,3.0,10.0
0101000000011100,9.0,4.0,13.0
0101000000011101,9.0,4.0,13.0
0101000000011110,10.0,4.0,14.0
0101000000011111,7.0,3.0,10.0
0101000000100000,7.0,4.0,11.0
0101000000100001,11.0,5.0,16.0
0101000000100010,6.0,2.0,8.0
0101000000100011,9.0,4.0,13.0
0101000000100100,11.0,3.0,14.0
0101000000100101,10.0,3.0,13.0
0101000000100110,10.0,3.0,13.0
0101000000100111,9.0,4.0,13.0
0101000000101000,11.0,5.0,16.0
0101000000101001,15.0,4.0,19.0
0101000000101010,9.0,4.0,13.0
0101000000101011,12.0,4.0,16.0
0101000000101100,10.0,3.0,13.0
0101000000101101,13.0,5.0,18.0
0101000000101110,9.0,3.0,12.0
0101000000101111,8.0,3.0,11.0
0101000000110000,5.0,3.0,8.0
0101000000110001,8.0,4.0,12.0
0101000000110010,6.0,3.0,9.0
0101000000110011,5.0,2.0,7.0
0101000000110100,10.0,3.0,13.0
0101000000110101,9.0,4.0,13.0
0101000000110110,12.0,5.0,17.0
0101000000110111,8.0,3.0,11.0
0101000000111000,9.0,4.0,13.0
0101000000111001,13.0,5.0,18.0
0101000000111010,7.0,3.0,10.0
0101000000111011,8.0,3.0,11.0
0101000000111100,9.0,4.0,13.0
0101000000111101,10.0,4.0,14.0
0101000000111110,10.0,4.0,14.0
0101000000111111,7.0,3.0,10.0
0101000001000000,4.0,3.0,7.0
0101000001000001,8.0,4.0,12.0
0101000001000010,10.0,3.0,13.0
0101000001000011,9.0,4.0,13.0
0101000001000100,5.0,3.0,8.0
0101000001000101,6.0,3.0,9.0
0101000001000110,9.0,4.0,13.0
0101000001000111,9.0,4.0,13.0
0101000001001000,8.0,4.0,12.0
0101000001001001,12.0,5.0,17.0
0101000001001010,9.0,4.0,13.0
0101000001001011,10.0,4.0,14.0
0101000001001100,6.0,3.0,9.0
0101000001001101,9.0,4.0,13.0
0101000001001110,7.0,3.0,10.0
0101000001001111,7.0,3.0,10.0
0101000001010000,2.0,2.0,4.0
0101000001010001,5.0,3.0,8.0
0101000001010010,6.0,2.0,8.0
0101000001010011,5.0,2.0,7.0
0101000001010100,5.0,3.0,8.0
0101000001010101,3.0,2.0,5.0
0101000001010110,9.0,4.0,13.0
0101000001010111,6.0,3.0,9.0
0101000001011000,6.0,2.0,8.0
0101000001011001,9.0,4.0,13.0
0101000001011010,5.0,2.0,7.0
0101000001011011,7.0,3.0,10.0
0101000001011100,5.0,2.0,7.0
0101000001011101,6.0,3.0,9.0
0101000001011110,7.0,3.0,10.0
0101000001011111,4.0,2.0,6.0
0101000001100000,8.0,4.0,12.0
0101000001100001,14.0,6.0,20.0
0101000001100010,9.0,4.0,13.0
0101000001100011,12.0,5.0,17.0
0101000001100100,10.0,3.0,13.0
0101000001100101,12.0,5.0,17.0
0101000001100110,9.0,4.0,13.0
0101000001100111,10.0,4.0,14.0
0101000001101000,12.0,5.0,17.0
0101000001101001,17.0,6.0,23.0
0101000001101010,10.0,4.0,14.0
0101000001101011,14.0,5.0,19.0
0101000001101100,12.0,5.0,17.0
0101000001101101,14.0,5.0,19.0
0101000001101110,10.0,4.0,14.0
