,Literals Count,Clauses Count,Dimension
1001100000000000,7.0,4.0,11.0
1001100000000001,11.0,5.0,16.0
1001100000000010,11.0,3.0,14.0
1001100000000011,10.0,3.0,13.0
1001100000000100,11.0,3.0,14.0
1001100000000101,10.0,3.0,13.0
1001100000000110,15.0,4.0,19.0
1001100000000111,13.0,4.0,17.0
1001100000001000,8.0,4.0,12.0
1001100000001001,9.0,4.0,13.0
1001100000001010,9.0,4.0,13.0
1001100000001011,10.0,4.0,14.0
1001100000001100,9.0,4.0,13.0
1001100000001101,10.0,4.0,14.0
1001100000001110,11.0,4.0,15.0
1001100000001111,9.0,3.0,12.0
1001100000010000,6.0,2.0,8.0
1001100000010001,9.0,4.0,13.0
1001100000010010,10.0,3.0,13.0
1001100000010011,9.0,3.0,12.0
1001100000010100,10.0,3.0,13.0
1001100000010101,9.0,3.0,12.0
1001100000010110,14.0,4.0,18.0
1001100000010111,12.0,4.0,16.0
1001100000011000,9.0,4.0,13.0
1001100000011001,10.0,4.0,14.0
1001100000011010,9.0,3.0,12.0
1001100000011011,11.0,4.0,15.0
1001100000011100,9.0,3.0,12.0
1001100000011101,11.0,4.0,15.0
1001100000011110,12.0,4.0,16.0
1001100000011111,8.0,3.0,11.0
1001100000100000,11.0,5.0,16.0
1001100000100001,15.0,4.0,19.0
1001100000100010,10.0,3.0,13.0
1001100000100011,13.0,5.0,18.0
1001100000100100,15.0,4.0,19.0
1001100000100101,14.0,4.0,18.0
1001100000100110,14.0,4.0,18.0
1001100000100111,13.0,4.0,17.0
1001100000101000,12.0,5.0,17.0
1001100000101001,17.0,6.0,23.0
1001100000101010,12.0,5.0,17.0
1001100000101011,14.0,5.0,19.0
1001100000101100,14.0,5.0,19.0
1001100000101101,17.0,5.0,22.0
1001100000101110,13.0,4.0,17.0
1001100000101111,12.0,4.0,16.0
1001100000110000,9.0,4.0,13.0
1001100000110001,12.0,4.0,16.0
1001100000110010,9.0,4.0,13.0
1001100000110011,8.0,3.0,11.0
1001100000110100,13.0,4.0,17.0
1001100000110101,12.0,4.0,16.0
1001100000110110,13.0,4.0,17.0
1001100000110111,11.0,4.0,15.0
1001100000111000,10.0,4.0,14.0
1001100000111001,14.0,5.0,19.0
1001100000111010,10.0,4.0,14.0
1001100000111011,11.0,4.0,15.0
1001100000111100,11.0,4.0,15.0
1001100000111101,15.0,5.0,20.0
1001100000111110,12.0,4.0,16.0
1001100000111111,10.0,4.0,14.0
1001100001000000,11.0,5.0,16.0
1001100001000001,15.0,4.0,19.0
1001100001000010,15.0,4.0,19.0
1001100001000011,14.0,4.0,18.0
1001100001000100,10.0,3.0,13.0
1001100001000101,13.0,5.0,18.0
1001100001000110,14.0,4.0,18.0
1001100001000111,13.0,4.0,17.0
1001100001001000,12.0,5.0,17.0
1001100001001001,17.0,6.0,23.0
1001100001001010,14.0,5.0,19.0
1001100001001011,17.0,5.0,22.0
1001100001001100,12.0,5.0,17.0
1001100001001101,14.0,5.0,19.0
1001100001001110,13.0,4.0,17.0
1001100001001111,12.0,4.0,16.0
1001100001010000,9.0,4.0,13.0
1001100001010001,12.0,4.0,16.0
1001100001010010,13.0,4.0,17.0
1001100001010011,12.0,4.0,16.0
1001100001010100,9.0,4.0,13.0
1001100001010101,8.0,3.0,11.0
1001100001010110,13.0,4.0,17.0
1001100001010111,11.0,4.0,15.0
1001100001011000,10.0,4.0,14.0
1001100001011001,14.0,5.0,19.0
1001100001011010,11.0,4.0,15.0
1001100001011011,15.0,5.0,20.0
1001100001011100,10.0,4.0,14.0
1001100001011101,11.0,4.0,15.0
1001100001011110,12.0,4.0,16.0
1001100001011111,10.0,4.0,14.0
1001100001100000,15.0,4.0,19.0
1001100001100001,19.0,5.0,24.0
1001100001100010,14.0,5.0,19.0
1001100001100011,17.0,5.0,22.0
1001100001100100,14.0,5.0,19.0
1001100001100101,17.0,5.0,22.0
1001100001100110,13.0,4.0,17.0
1001100001100111,16.0,5.0,21.0
1001100001101000,17.0,6.0,23.0
1001100001101001,22.0,6.0,28.0
1001100001101010,15.0,5.0,20.0
1001100001101011,20.0,6.0,26.0
1001100001101100,15.0,5.0,20.0
1001100001101101,20.0,6.0,26.0
1001100001101110,16.0,5.0,21.0
1001100001101111,15.0,5.0,20.0
1001100001110000,12.0,4.0,16.0
1001100001110001,15.0,5.0,20.0
1001100001110010,11.0,4.0,15.0
1001100001110011,11.0,4.0,15.0
1001100001110100,11.0,4.0,15.0
1001100001110101,11.0,4.0,15.0
1001100001110110,12.0,4.0,16.0
1001100001110111,10.0,4.0,14.0
1001100001111000,14.0,5.0,19.0
1001100001111001,18.0,6.0,24.0
1001100001111010,12.0,4.0,16.0
1001100001111011,14.0,5.0,19.0
1001100001111100,12.0,4.0,16.0
1001100001111101,14.0,5.0,19.0
1001100001111110,13.0,4.0,17.0
1001100001111111,12.0,5.0,17.0
1001100010000000,10.0,5.0,15.0
1001100010000001,13.0,5.0,18.0
1001100010000010,14.0,4.0,18.0
1001100010000011,13.0,4.0,17.0
1001100010000100,14.0,4.0,18.0
1001100010000101,13.0,4.0,17.0
1001100010000110,18.0,5.0,23.0
1001100010000111,16.0,5.0,21.0
1001100010001000,6.0,2.0,8.0
1001100010001001,10.0,4.0,14.0
1001100010001010,9.0,3.0,12.0
1001100010001011,9.0,3.0,12.0
1001100010001100,9.0,3.0,12.0
1001100010001101,9.0,3.0,12.0
1001100010001110,12.0,4.0,16.0
1001100010001111,8.0,3.0,11.0
1001100010010000,8.0,4.0,12.0
1001100010010001,10.0,4.0,14.0
1001100010010010,13.0,5.0,18.0
1001100010010011,11.0,4.0,15.0
1001100010010100,13.0,5.0,18.0
1001100010010101,11.0,4.0,15.0
1001100010010110,17.0,5.0,22.0
1001100010010111,15.0,5.0,20.0
1001100010011000,5.0,2.0,7.0
1001100010011001,7.0,3.0,10.0
1001100010011010,8.0,3.0,11.0
1001100010011011,8.0,3.0,11.0
1001100010011100,8.0,3.0,11.0
1001100010011101,8.0,3.0,11.0
1001100010011110,11.0,4.0,15.0
1001100010011111,7.0,3.0,10.0
1001100010100000,10.0,3.0,13.0
1001100010100001,14.0,5.0,19.0
1001100010100010,12.0,5.0,17.0
1001100010100011,13.0,4.0,17.0
1001100010100100,14.0,4.0,18.0
1001100010100101,13.0,4.0,17.0
1001100010100110,17.0,5.0,22.0
1001100010100111,16.0,5.0,21.0
1001100010101000,9.0,4.0,13.0
1001100010101001,13.0,4.0,17.0
1001100010101010,8.0,3.0,11.0
1001100010101011,11.0,4.0,15.0
1001100010101100,11.0,4.0,15.0
1001100010101101,12.0,4.0,16.0
1001100010101110,11.0,4.0,15.0
1001100010101111,10.0,4.0,14.0
1001100010110000,9.0,4.0,13.0
1001100010110001,11.0,4.0,15.0
1001100010110010,10.0,4.0,14.0
1001100010110011,11.0,4.0,15.0
1001100010110100,13.0,4.0,17.0
1001100010110101,12.0,4.0,16.0
1001100010110110,16.0,5.0,21.0
1001100010110111,13.0,4.0,17.0
1001100010111000,7.0,3.0,10.0
1001100010111001,11.0,4.0,15.0
1001100010111010,7.0,3.0,10.0
1001100010111011,7.0,3.0,10.0
1001100010111100,11.0,4.0,15.0
1001100010111101,11.0,4.0,15.0
1001100010111110,10.0,4.0,14.0
1001100010111111,9.0,3.0,12.0
1001100011000000,10.0,3.0,13.0
1001100011000001,14.0,5.0,19.0
1001100011000010,14.0,4.0,18.0
1001100011000011,13.0,4.0,17.0
1001100011000100,12.0,5.0,17.0
1001100011000101,13.0,4.0,17.0
1001100011000110,17.0,5.0,22.0
1001100011000111,16.0,5.0,21.0
1001100011001000,9.0,4.0,13.0
1001100011001001,13.0,4.0,17.0
1001100011001010,11.0,4.0,15.0
1001100011001011,12.0,4.0,16.0
1001100011001100,8.0,3.0,11.0
1001100011001101,11.0,4.0,15.0
1001100011001110,11.0,4.0,15.0
1001100011001111,10.0,4.0,14.0
1001100011010000,9.0,4.0,13.0
1001100011010001,11.0,4.0,15.0
1001100011010010,13.0,4.0,17.0
1001100011010011,12.0,4.0,16.0
1001100011010100,10.0,4.0,14.0
1001100011010101,11.0,4.0,15.0
1001100011010110,16.0,5.0,21.0
1001100011010111,13.0,4.0,17.0
1001100011011000,7.0,3.0,10.0
1001100011011001,11.0,4.0,15.0
1001100011011010,11.0,4.0,15.0
1001100011011011,11.0,4.0,15.0
1001100011011100,7.0,3.0,10.0
1001100011011101,7.0,3.0,10.0
1001100011011110,10.0,4.0,14.0
1001100011011111,9.0,3.0,12.0
1001100011100000,13.0,5.0,18.0
1001100011100001,17.0,5.0,22.0
1001100011100010,13.0,4.0,17.0
1001100011100011,16.0,5.0,21.0
1001100011100100,13.0,4.0,17.0
1001100011100101,16.0,5.0,21.0
1001100011100110,16.0,5.0,21.0
1001100011100111,17.0,5.0,22.0
1001100011101000,12.0,4.0,16.0
1001100011101001,16.0,5.0,21.0
1001100011101010,11.0,4.0,15.0
1001100011101011,14.0,5.0,19.0
1001100011101100,11.0,4.0,15.0
1001100011101101,14.0,5.0,19.0
1001100011101110,10.0,4.0,14.0
1001100011101111,12.0,5.0,17.0
1001100011110000,8.0,3.0,11.0
1001100011110001,11.0,4.0,15.0
1001100011110010,11.0,4.0,15.0
1001100011110011,10.0,4.0,14.0
1001100011110100,11.0,4.0,15.0
1001100011110101,10.0,4.0,14.0
1001100011110110,13.0,4.0,17.0
1001100011110111,12.0,5.0,17.0
1001100011111000,7.0,3.0,10.0
1001100011111001,10.0,4.0,14.0
1001100011111010,8.0,3.0,11.0
1001100011111011,9.0,4.0,13.0
1001100011111100,8.0,3.0,11.0
1001100011111101,9.0,4.0,13.0
1001100011111110,9.0,3.0,12.0
1001100011111111,6.0,3.0,9.0
1001100100000000,5.0,3.0,8.0
1001100100000001,8.0,4.0,12.0
1001100100000010,10.0,3.0,13.0
1001100100000011,9.0,4.0,13.0
1001100100000100,10.0,3.0,13.0
1001100100000101,9.0,4.0,13.0
1001100100000110,14.0,5.0,19.0
1001100100000111,11.0,4.0,15.0
1001100100001000,8.0,4.0,12.0
1001100100001001,6.0,3.0,9.0
1001100100001010,9.0,4.0,13.0
1001100100001011,7.0,3.0,10.0
1001100100001100,9.0,4.0,13.0
1001100100001101,7.0,3.0,10.0
1001100100001110,11.0,4.0,15.0
1001100100001111,8.0,3.0,11.0
1001100100010000,8.0,4.0,12.0
1001100100010001,5.0,2.0,7.0
1001100100010010,13.0,5.0,18.0
1001100100010011,8.0,3.0,11.0
1001100100010100,13.0,5.0,18.0
1001100100010101,8.0,3.0,11.0
1001100100010110,17.0,5.0,22.0
1001100100010111,11.0,4.0,15.0
1001100100011000,10.0,4.0,14.0
1001100100011001,7.0,3.0,10.0
1001100100011010,11.0,4.0,15.0
1001100100011011,8.0,3.0,11.0
1001100100011100,11.0,4.0,15.0
1001100100011101,8.0,3.0,11.0
1001100100011110,15.0,5.0,20.0
1001100100011111,7.0,3.0,10.0
1001100100100000,10.0,3.0,13.0
1001100100100001,13.0,5.0,18.0
1001100100100010,9.0,4.0,13.0
1001100100100011,10.0,4.0,14.0
1001100100100100,14.0,4.0,18.0
1001100100100101,13.0,4.0,17.0
1001100100100110,13.0,4.0,17.0
1001100100100111,12.0,4.0,16.0
1001100100101000,13.0,5.0,18.0
1001100100101001,14.0,5.0,19.0
1001100100101010,10.0,4.0,14.0
1001100100101011,11.0,4.0,15.0
1001100100101100,13.0,4.0,17.0
1001100100101101,15.0,5.0,20.0
1001100100101110,12.0,4.0,16.0
1001100100101111,11.0,4.0,15.0
1001100100110000,9.0,4.0,13.0
1001100100110001,8.0,3.0,11.0
1001100100110010,10.0,4.0,14.0
1001100100110011,7.0,3.0,10.0
1001100100110100,13.0,4.0,17.0
1001100100110101,11.0,4.0,15.0
1001100100110110,16.0,5.0,21.0
1001100100110111,10.0,4.0,14.0
1001100100111000,11.0,4.0,15.0
1001100100111001,11.0,4.0,15.0
1001100100111010,11.0,4.0,15.0
1001100100111011,8.0,3.0,11.0
1001100100111100,12.0,4.0,16.0
1001100100111101,11.0,4.0,15.0
1001100100111110,13.0,4.0,17.0
1001100100111111,9.0,3.0,12.0
1001100101000000,10.0,3.0,13.0
1001100101000001,13.0,5.0,18.0
1001100101000010,14.0,4.0,18.0
1001100101000011,13.0,4.0,17.0
1001100101000100,9.0,4.0,13.0
1001100101000101,10.0,4.0,14.0
1001100101000110,13.0,4.0,17.0
1001100101000111,12.0,4.0,16.0
1001100101001000,13.0,5.0,18.0
1001100101001001,14.0,5.0,19.0
1001100101001010,13.0,4.0,17.0
1001100101001011,15.0,5.0,20.0
1001100101001100,10.0,4.0,14.0
1001100101001101,11.0,4.0,15.0
1001100101001110,12.0,4.0,16.0
1001100101001111,11.0,4.0,15.0
1001100101010000,9.0,4.0,13.0
1001100101010001,8.0,3.0,11.0
1001100101010010,13.0,4.0,17.0
1001100101010011,11.0,4.0,15.0
1001100101010100,10.0,4.0,14.0
1001100101010101,7.0,3.0,10.0
1001100101010110,16.0,5.0,21.0
1001100101010111,10.0,4.0,14.0
1001100101011000,11.0,4.0,15.0
1001100101011001,11.0,4.0,15.0
1001100101011010,12.0,4.0,16.0
1001100101011011,11.0,4.0,15.0
1001100101011100,11.0,4.0,15.0
1001100101011101,8.0,3.0,11.0
1001100101011110,13.0,4.0,17.0
1001100101011111,9.0,3.0,12.0
1001100101100000,14.0,5.0,19.0
1001100101100001,17.0,5.0,22.0
1001100101100010,13.0,4.0,17.0
1001100101100011,16.0,5.0,21.0
1001100101100100,13.0,4.0,17.0
1001100101100101,16.0,5.0,21.0
1001100101100110,12.0,4.0,16.0
1001100101100111,13.0,4.0,17.0
1001100101101000,17.0,5.0,22.0
1001100101101001,20.0,6.0,26.0
