,Literals Count,Clauses Count,Dimension
0010110000000000,7.0,4.0,11.0
0010110000000001,11.0,3.0,14.0
0010110000000010,11.0,5.0,16.0
0010110000000011,10.0,3.0,13.0
0010110000000100,8.0,4.0,12.0
0010110000000101,9.0,4.0,13.0
0010110000000110,12.0,5.0,17.0
0010110000000111,12.0,5.0,17.0
0010110000001000,10.0,5.0,15.0
0010110000001001,14.0,4.0,18.0
0010110000001010,10.0,3.0,13.0
0010110000001011,12.0,5.0,17.0
0010110000001100,6.0,2.0,8.0
0010110000001101,9.0,3.0,12.0
0010110000001110,9.0,4.0,13.0
0010110000001111,8.0,3.0,11.0
0010110000010000,11.0,5.0,16.0
0010110000010001,10.0,3.0,13.0
0010110000010010,15.0,4.0,19.0
0010110000010011,13.0,5.0,18.0
0010110000010100,9.0,4.0,13.0
0010110000010101,10.0,4.0,14.0
0010110000010110,17.0,6.0,23.0
0010110000010111,14.0,5.0,19.0
0010110000011000,13.0,5.0,18.0
0010110000011001,13.0,4.0,17.0
0010110000011010,14.0,5.0,19.0
0010110000011011,13.0,4.0,17.0
0010110000011100,10.0,4.0,14.0
0010110000011101,9.0,3.0,12.0
0010110000011110,13.0,4.0,17.0
0010110000011111,11.0,4.0,15.0
0010110000100000,6.0,2.0,8.0
0010110000100001,10.0,3.0,13.0
0010110000100010,9.0,4.0,13.0
0010110000100011,9.0,4.0,13.0
0010110000100100,9.0,4.0,13.0
0010110000100101,9.0,3.0,12.0
0010110000100110,10.0,4.0,14.0
0010110000100111,10.0,4.0,14.0
0010110000101000,8.0,4.0,12.0
0010110000101001,13.0,5.0,18.0
0010110000101010,9.0,4.0,13.0
0010110000101011,10.0,4.0,14.0
0010110000101100,5.0,2.0,7.0
0010110000101101,8.0,3.0,11.0
0010110000101110,7.0,3.0,10.0
0010110000101111,7.0,3.0,10.0
0010110000110000,9.0,4.0,13.0
0010110000110001,9.0,3.0,12.0
0010110000110010,12.0,4.0,16.0
0010110000110011,8.0,3.0,11.0
0010110000110100,10.0,4.0,14.0
0010110000110101,11.0,4.0,15.0
0010110000110110,14.0,5.0,19.0
0010110000110111,11.0,4.0,15.0
0010110000111000,10.0,4.0,14.0
0010110000111001,11.0,4.0,15.0
0010110000111010,11.0,4.0,15.0
0010110000111011,11.0,4.0,15.0
0010110000111100,7.0,3.0,10.0
0010110000111101,8.0,3.0,11.0
0010110000111110,11.0,4.0,15.0
0010110000111111,7.0,3.0,10.0
0010110001000000,11.0,3.0,14.0
0010110001000001,15.0,4.0,19.0
0010110001000010,15.0,4.0,19.0
0010110001000011,14.0,4.0,18.0
0010110001000100,9.0,4.0,13.0
0010110001000101,11.0,4.0,15.0
0010110001000110,14.0,5.0,19.0
0010110001000111,13.0,4.0,17.0
0010110001001000,14.0,4.0,18.0
0010110001001001,18.0,5.0,23.0
0010110001001010,14.0,4.0,18.0
0010110001001011,17.0,5.0,22.0
0010110001001100,9.0,3.0,12.0
0010110001001101,12.0,4.0,16.0
0010110001001110,11.0,4.0,15.0
0010110001001111,11.0,4.0,15.0
0010110001010000,10.0,3.0,13.0
0010110001010001,13.0,4.0,17.0
0010110001010010,14.0,4.0,18.0
0010110001010011,13.0,4.0,17.0
0010110001010100,10.0,4.0,14.0
0010110001010101,9.0,3.0,12.0
0010110001010110,17.0,5.0,22.0
0010110001010111,12.0,4.0,16.0
0010110001011000,13.0,4.0,17.0
0010110001011001,16.0,5.0,21.0
0010110001011010,13.0,4.0,17.0
0010110001011011,16.0,5.0,21.0
0010110001011100,9.0,3.0,12.0
0010110001011101,8.0,3.0,11.0
0010110001011110,12.0,4.0,16.0
0010110001011111,10.0,4.0,14.0
0010110001100000,10.0,3.0,13.0
0010110001100001,14.0,4.0,18.0
0010110001100010,13.0,4.0,17.0
0010110001100011,13.0,4.0,17.0
0010110001100100,9.0,3.0,12.0
0010110001100101,12.0,4.0,16.0
0010110001100110,11.0,4.0,15.0
0010110001100111,12.0,4.0,16.0
0010110001101000,13.0,5.0,18.0
0010110001101001,17.0,5.0,22.0
0010110001101010,13.0,4.0,17.0
0010110001101011,16.0,5.0,21.0
0010110001101100,8.0,3.0,11.0
0010110001101101,11.0,4.0,15.0
0010110001101110,11.0,4.0,15.0
0010110001101111,10.0,4.0,14.0
0010110001110000,9.0,3.0,12.0
0010110001110001,12.0,4.0,16.0
0010110001110010,12.0,4.0,16.0
0010110001110011,11.0,4.0,15.0
0010110001110100,11.0,4.0,15.0
0010110001110101,8.0,3.0,11.0
0010110001110110,15.0,5.0,20.0
0010110001110111,10.0,4.0,14.0
0010110001111000,11.0,4.0,15.0
0010110001111001,15.0,5.0,20.0
0010110001111010,12.0,4.0,16.0
0010110001111011,13.0,4.0,17.0
0010110001111100,8.0,3.0,11.0
0010110001111101,7.0,3.0,10.0
0010110001111110,11.0,4.0,15.0
0010110001111111,9.0,3.0,12.0
0010110010000000,11.0,5.0,16.0
0010110010000001,15.0,4.0,19.0
0010110010000010,15.0,4.0,19.0
0010110010000011,14.0,5.0,19.0
0010110010000100,12.0,5.0,17.0
0010110010000101,14.0,5.0,19.0
0010110010000110,17.0,6.0,23.0
0010110010000111,15.0,5.0,20.0
0010110010001000,10.0,3.0,13.0
0010110010001001,14.0,4.0,18.0
0010110010001010,13.0,5.0,18.0
0010110010001011,13.0,4.0,17.0
0010110010001100,9.0,4.0,13.0
0010110010001101,11.0,4.0,15.0
0010110010001110,12.0,4.0,16.0
0010110010001111,11.0,4.0,15.0
0010110010010000,15.0,4.0,19.0
0010110010010001,14.0,4.0,18.0
0010110010010010,19.0,5.0,24.0
0010110010010011,17.0,5.0,22.0
0010110010010100,17.0,6.0,23.0
0010110010010101,17.0,5.0,22.0
0010110010010110,22.0,6.0,28.0
0010110010010111,20.0,6.0,26.0
0010110010011000,14.0,5.0,19.0
0010110010011001,13.0,4.0,17.0
0010110010011010,17.0,5.0,22.0
0010110010011011,16.0,5.0,21.0
0010110010011100,13.0,4.0,17.0
0010110010011101,12.0,4.0,16.0
0010110010011110,16.0,5.0,21.0
0010110010011111,14.0,5.0,19.0
0010110010100000,9.0,4.0,13.0
0010110010100001,13.0,4.0,17.0
0010110010100010,12.0,4.0,16.0
0010110010100011,11.0,4.0,15.0
0010110010100100,10.0,4.0,14.0
0010110010100101,11.0,4.0,15.0
0010110010100110,14.0,5.0,19.0
0010110010100111,12.0,4.0,16.0
0010110010101000,9.0,4.0,13.0
0010110010101001,13.0,4.0,17.0
0010110010101010,8.0,3.0,11.0
0010110010101011,11.0,4.0,15.0
0010110010101100,7.0,3.0,10.0
0010110010101101,11.0,4.0,15.0
0010110010101110,7.0,3.0,10.0
0010110010101111,8.0,3.0,11.0
0010110010110000,12.0,4.0,16.0
0010110010110001,12.0,4.0,16.0
0010110010110010,15.0,5.0,20.0
0010110010110011,11.0,4.0,15.0
0010110010110100,14.0,5.0,19.0
0010110010110101,15.0,5.0,20.0
0010110010110110,18.0,6.0,24.0
0010110010110111,14.0,5.0,19.0
0010110010111000,11.0,4.0,15.0
0010110010111001,12.0,4.0,16.0
