,Literals Count,Clauses Count,Dimension
0001011000000000,10.0,5.0,15.0
0001011000000001,16.0,7.0,23.0
0001011000000010,11.0,5.0,16.0
0001011000000011,14.0,6.0,20.0
0001011000000100,11.0,5.0,16.0
0001011000000101,14.0,6.0,20.0
0001011000000110,10.0,3.0,13.0
0001011000000111,12.0,5.0,17.0
0001011000001000,14.0,6.0,20.0
0001011000001001,19.0,7.0,26.0
0001011000001010,12.0,5.0,17.0
0001011000001011,16.0,6.0,22.0
0001011000001100,12.0,5.0,17.0
0001011000001101,16.0,6.0,22.0
0001011000001110,12.0,5.0,17.0
0001011000001111,12.0,4.0,16.0
0001011000010000,11.0,5.0,16.0
0001011000010001,14.0,6.0,20.0
0001011000010010,10.0,3.0,13.0
0001011000010011,12.0,5.0,17.0
0001011000010100,10.0,3.0,13.0
0001011000010101,12.0,5.0,17.0
0001011000010110,9.0,4.0,13.0
0001011000010111,10.0,4.0,14.0
0001011000011000,15.0,4.0,19.0
0001011000011001,17.0,6.0,23.0
0001011000011010,13.0,5.0,18.0
0001011000011011,14.0,5.0,19.0
0001011000011100,13.0,5.0,18.0
0001011000011101,14.0,5.0,19.0
0001011000011110,10.0,4.0,14.0
0001011000011111,11.0,4.0,15.0
0001011000100000,14.0,6.0,20.0
0001011000100001,19.0,7.0,26.0
0001011000100010,12.0,5.0,17.0
0001011000100011,16.0,6.0,22.0
0001011000100100,15.0,4.0,19.0
0001011000100101,17.0,6.0,23.0
0001011000100110,13.0,5.0,18.0
0001011000100111,14.0,5.0,19.0
0001011000101000,16.0,6.0,22.0
0001011000101001,22.0,7.0,29.0
0001011000101010,13.0,5.0,18.0
0001011000101011,18.0,6.0,24.0
0001011000101100,17.0,6.0,23.0
0001011000101101,19.0,6.0,25.0
0001011000101110,14.0,5.0,19.0
0001011000101111,15.0,5.0,20.0
0001011000110000,12.0,5.0,17.0
0001011000110001,16.0,6.0,22.0
0001011000110010,12.0,5.0,17.0
0001011000110011,12.0,4.0,16.0
0001011000110100,13.0,5.0,18.0
0001011000110101,14.0,5.0,19.0
0001011000110110,10.0,4.0,14.0
0001011000110111,11.0,4.0,15.0
0001011000111000,17.0,6.0,23.0
0001011000111001,19.0,6.0,25.0
0001011000111010,14.0,5.0,19.0
0001011000111011,15.0,5.0,20.0
0001011000111100,14.0,5.0,19.0
0001011000111101,16.0,5.0,21.0
0001011000111110,11.0,4.0,15.0
0001011000111111,12.0,4.0,16.0
0001011001000000,14.0,6.0,20.0
0001011001000001,19.0,7.0,26.0
0001011001000010,15.0,4.0,19.0
0001011001000011,17.0,6.0,23.0
0001011001000100,12.0,5.0,17.0
0001011001000101,16.0,6.0,22.0
0001011001000110,13.0,5.0,18.0
0001011001000111,14.0,5.0,19.0
0001011001001000,16.0,6.0,22.0
0001011001001001,22.0,7.0,29.0
0001011001001010,17.0,6.0,23.0
0001011001001011,19.0,6.0,25.0
0001011001001100,13.0,5.0,18.0
0001011001001101,18.0,6.0,24.0
0001011001001110,14.0,5.0,19.0
0001011001001111,15.0,5.0,20.0
0001011001010000,12.0,5.0,17.0
0001011001010001,16.0,6.0,22.0
0001011001010010,13.0,5.0,18.0
0001011001010011,14.0,5.0,19.0
0001011001010100,12.0,5.0,17.0
0001011001010101,12.0,4.0,16.0
0001011001010110,10.0,4.0,14.0
0001011001010111,11.0,4.0,15.0
0001011001011000,17.0,6.0,23.0
0001011001011001,19.0,6.0,25.0
0001011001011010,14.0,5.0,19.0
0001011001011011,16.0,5.0,21.0
0001011001011100,14.0,5.0,19.0
0001011001011101,15.0,5.0,20.0
0001011001011110,11.0,4.0,15.0
0001011001011111,12.0,4.0,16.0
0001011001100000,16.0,6.0,22.0
0001011001100001,22.0,7.0,29.0
0001011001100010,17.0,6.0,23.0
0001011001100011,19.0,6.0,25.0
0001011001100100,17.0,6.0,23.0
0001011001100101,19.0,6.0,25.0
0001011001100110,14.0,5.0,19.0
0001011001100111,16.0,5.0,21.0
0001011001101000,24.0,8.0,32.0
0001011001101001,28.0,8.0,36.0
0001011001101010,21.0,7.0,28.0
0001011001101011,24.0,7.0,31.0
0001011001101100,21.0,7.0,28.0
0001011001101101,24.0,7.0,31.0
0001011001101110,18.0,6.0,24.0
0001011001101111,18.0,6.0,24.0
0001011001110000,13.0,5.0,18.0
0001011001110001,18.0,6.0,24.0
0001011001110010,14.0,5.0,19.0
0001011001110011,15.0,5.0,20.0
0001011001110100,14.0,5.0,19.0
0001011001110101,15.0,5.0,20.0
0001011001110110,11.0,4.0,15.0
0001011001110111,12.0,4.0,16.0
0001011001111000,21.0,7.0,28.0
0001011001111001,24.0,7.0,31.0
0001011001111010,18.0,6.0,24.0
0001011001111011,18.0,6.0,24.0
0001011001111100,18.0,6.0,24.0
0001011001111101,18.0,6.0,24.0
0001011001111110,15.0,5.0,20.0
0001011001111111,15.0,6.0,21.0
0001011010000000,16.0,4.0,20.0
0001011010000001,20.0,5.0,25.0
0001011010000010,15.0,4.0,19.0
0001011010000011,18.0,5.0,23.0
0001011010000100,15.0,4.0,19.0
0001011010000101,18.0,5.0,23.0
0001011010000110,14.0,4.0,18.0
0001011010000111,17.0,5.0,22.0
0001011010001000,15.0,4.0,19.0
0001011010001001,19.0,5.0,24.0
0001011010001010,14.0,5.0,19.0
0001011010001011,17.0,5.0,22.0
0001011010001100,14.0,5.0,19.0
0001011010001101,17.0,5.0,22.0
0001011010001110,13.0,4.0,17.0
0001011010001111,15.0,5.0,20.0
0001011010010000,15.0,4.0,19.0
0001011010010001,18.0,5.0,23.0
0001011010010010,14.0,4.0,18.0
0001011010010011,17.0,5.0,22.0
0001011010010100,14.0,4.0,18.0
0001011010010101,17.0,5.0,22.0
0001011010010110,13.0,4.0,17.0
0001011010010111,16.0,5.0,21.0
0001011010011000,14.0,4.0,18.0
0001011010011001,17.0,5.0,22.0
0001011010011010,13.0,4.0,17.0
0001011010011011,16.0,5.0,21.0
0001011010011100,13.0,4.0,17.0
0001011010011101,16.0,5.0,21.0
0001011010011110,12.0,4.0,16.0
0001011010011111,13.0,4.0,17.0
0001011010100000,15.0,4.0,19.0
0001011010100001,19.0,5.0,24.0
0001011010100010,14.0,5.0,19.0
0001011010100011,17.0,5.0,22.0
0001011010100100,14.0,4.0,18.0
0001011010100101,17.0,5.0,22.0
0001011010100110,13.0,4.0,17.0
0001011010100111,16.0,5.0,21.0
0001011010101000,17.0,6.0,23.0
0001011010101001,22.0,6.0,28.0
0001011010101010,13.0,4.0,17.0
0001011010101011,16.0,5.0,21.0
0001011010101100,17.0,5.0,22.0
0001011010101101,20.0,6.0,26.0
0001011010101110,12.0,4.0,16.0
0001011010101111,14.0,5.0,19.0
0001011010110000,14.0,5.0,19.0
0001011010110001,17.0,5.0,22.0
0001011010110010,13.0,4.0,17.0
0001011010110011,15.0,5.0,20.0
0001011010110100,13.0,4.0,17.0
0001011010110101,16.0,5.0,21.0
0001011010110110,12.0,4.0,16.0
0001011010110111,13.0,4.0,17.0
0001011010111000,17.0,5.0,22.0
0001011010111001,20.0,6.0,26.0
0001011010111010,12.0,4.0,16.0
0001011010111011,14.0,5.0,19.0
0001011010111100,15.0,5.0,20.0
0001011010111101,17.0,5.0,22.0
0001011010111110,11.0,4.0,15.0
0001011010111111,13.0,4.0,17.0
0001011011000000,15.0,4.0,19.0
0001011011000001,19.0,5.0,24.0
0001011011000010,14.0,4.0,18.0
0001011011000011,17.0,5.0,22.0
0001011011000100,14.0,5.0,19.0
0001011011000101,17.0,5.0,22.0
0001011011000110,13.0,4.0,17.0
0001011011000111,16.0,5.0,21.0
0001011011001000,17.0,6.0,23.0
0001011011001001,22.0,6.0,28.0
0001011011001010,17.0,5.0,22.0
0001011011001011,20.0,6.0,26.0
0001011011001100,13.0,4.0,17.0
0001011011001101,16.0,5.0,21.0
0001011011001110,12.0,4.0,16.0
0001011011001111,14.0,5.0,19.0
0001011011010000,14.0,5.0,19.0
0001011011010001,17.0,5.0,22.0
0001011011010010,13.0,4.0,17.0
0001011011010011,16.0,5.0,21.0
0001011011010100,13.0,4.0,17.0
0001011011010101,15.0,5.0,20.0
0001011011010110,12.0,4.0,16.0
0001011011010111,13.0,4.0,17.0
0001011011011000,17.0,5.0,22.0
0001011011011001,20.0,6.0,26.0
0001011011011010,15.0,5.0,20.0
0001011011011011,17.0,5.0,22.0
0001011011011100,12.0,4.0,16.0
0001011011011101,14.0,5.0,19.0
0001011011011110,11.0,4.0,15.0
0001011011011111,13.0,4.0,17.0
0001011011100000,17.0,6.0,23.0
0001011011100001,22.0,6.0,28.0
0001011011100010,17.0,5.0,22.0
0001011011100011,20.0,6.0,26.0
0001011011100100,17.0,5.0,22.0
0001011011100101,20.0,6.0,26.0
0001011011100110,15.0,5.0,20.0
0001011011100111,17.0,5.0,22.0
0001011011101000,21.0,7.0,28.0
0001011011101001,25.0,7.0,32.0
0001011011101010,16.0,5.0,21.0
0001011011101011,19.0,6.0,25.0
0001011011101100,16.0,5.0,21.0
0001011011101101,19.0,6.0,25.0
0001011011101110,14.0,5.0,19.0
0001011011101111,16.0,6.0,22.0
0001011011110000,13.0,4.0,17.0
0001011011110001,16.0,5.0,21.0
0001011011110010,12.0,4.0,16.0
0001011011110011,14.0,5.0,19.0
0001011011110100,12.0,4.0,16.0
0001011011110101,14.0,5.0,19.0
0001011011110110,11.0,4.0,15.0
0001011011110111,13.0,4.0,17.0
0001011011111000,16.0,5.0,21.0
0001011011111001,19.0,6.0,25.0
0001011011111010,14.0,5.0,19.0
0001011011111011,16.0,6.0,22.0
0001011011111100,14.0,5.0,19.0
