,Literals Count,Clauses Count,Dimension
1011000000000000,4.0,3.0,7.0
1011000000000001,8.0,4.0,12.0
1011000000000010,10.0,5.0,15.0
1011000000000011,8.0,4.0,12.0
1011000000000100,10.0,3.0,13.0
1011000000000101,9.0,4.0,13.0
1011000000000110,13.0,5.0,18.0
1011000000000111,10.0,4.0,14.0
1011000000001000,8.0,4.0,12.0
1011000000001001,9.0,4.0,13.0
1011000000001010,8.0,4.0,12.0
1011000000001011,6.0,3.0,9.0
1011000000001100,9.0,4.0,13.0
1011000000001101,10.0,4.0,14.0
1011000000001110,10.0,4.0,14.0
1011000000001111,7.0,3.0,10.0
1011000000010000,5.0,3.0,8.0
1011000000010001,6.0,3.0,9.0
1011000000010010,10.0,3.0,13.0
1011000000010011,9.0,4.0,13.0
1011000000010100,9.0,4.0,13.0
1011000000010101,7.0,3.0,10.0
1011000000010110,14.0,5.0,19.0
1011000000010111,11.0,4.0,15.0
1011000000011000,9.0,4.0,13.0
1011000000011001,10.0,4.0,14.0
1011000000011010,9.0,4.0,13.0
1011000000011011,7.0,3.0,10.0
1011000000011100,9.0,3.0,12.0
1011000000011101,11.0,4.0,15.0
1011000000011110,11.0,4.0,15.0
1011000000011111,8.0,3.0,11.0
1011000000100000,7.0,4.0,11.0
1011000000100001,11.0,5.0,16.0
1011000000100010,8.0,4.0,12.0
1011000000100011,9.0,4.0,13.0
1011000000100100,13.0,4.0,17.0
1011000000100101,12.0,4.0,16.0
1011000000100110,11.0,4.0,15.0
1011000000100111,11.0,4.0,15.0
1011000000101000,11.0,5.0,16.0
1011000000101001,13.0,5.0,18.0
1011000000101010,9.0,4.0,13.0
1011000000101011,10.0,4.0,14.0
1011000000101100,12.0,4.0,16.0
1011000000101101,14.0,5.0,19.0
1011000000101110,11.0,4.0,15.0
1011000000101111,11.0,4.0,15.0
1011000000110000,5.0,3.0,8.0
1011000000110001,8.0,4.0,12.0
1011000000110010,8.0,4.0,12.0
1011000000110011,6.0,3.0,9.0
1011000000110100,9.0,3.0,12.0
1011000000110101,8.0,3.0,11.0
1011000000110110,11.0,4.0,15.0
1011000000110111,8.0,3.0,11.0
1011000000111000,9.0,4.0,13.0
1011000000111001,10.0,4.0,14.0
1011000000111010,8.0,3.0,11.0
1011000000111011,7.0,3.0,10.0
1011000000111100,8.0,3.0,11.0
1011000000111101,11.0,4.0,15.0
1011000000111110,11.0,4.0,15.0
1011000000111111,7.0,3.0,10.0
1011000001000000,8.0,4.0,12.0
1011000001000001,12.0,5.0,17.0
1011000001000010,14.0,4.0,18.0
1011000001000011,13.0,5.0,18.0
1011000001000100,9.0,4.0,13.0
1011000001000101,10.0,4.0,14.0
1011000001000110,13.0,4.0,17.0
1011000001000111,11.0,4.0,15.0
1011000001001000,12.0,5.0,17.0
1011000001001001,17.0,6.0,23.0
1011000001001010,13.0,5.0,18.0
1011000001001011,14.0,5.0,19.0
1011000001001100,10.0,4.0,14.0
1011000001001101,14.0,5.0,19.0
1011000001001110,11.0,4.0,15.0
1011000001001111,11.0,4.0,15.0
1011000001010000,6.0,3.0,9.0
1011000001010001,9.0,4.0,13.0
1011000001010010,12.0,5.0,17.0
1011000001010011,10.0,4.0,14.0
1011000001010100,9.0,4.0,13.0
1011000001010101,7.0,3.0,10.0
1011000001010110,13.0,4.0,17.0
1011000001010111,11.0,4.0,15.0
1011000001011000,12.0,5.0,17.0
1011000001011001,14.0,5.0,19.0
1011000001011010,10.0,4.0,14.0
1011000001011011,11.0,4.0,15.0
1011000001011100,10.0,4.0,14.0
1011000001011101,11.0,4.0,15.0
1011000001011110,11.0,4.0,15.0
1011000001011111,8.0,3.0,11.0
1011000001100000,10.0,4.0,14.0
1011000001100001,16.0,6.0,22.0
1011000001100010,13.0,5.0,18.0
1011000001100011,14.0,5.0,19.0
1011000001100100,12.0,4.0,16.0
1011000001100101,14.0,5.0,19.0
1011000001100110,11.0,4.0,15.0
1011000001100111,12.0,4.0,16.0
1011000001101000,16.0,6.0,22.0
1011000001101001,19.0,6.0,25.0
1011000001101010,14.0,5.0,19.0
1011000001101011,16.0,5.0,21.0
1011000001101100,14.0,5.0,19.0
1011000001101101,16.0,5.0,21.0
1011000001101110,12.0,4.0,16.0
1011000001101111,13.0,4.0,17.0
1011000001110000,7.0,3.0,10.0
1011000001110001,11.0,4.0,15.0
1011000001110010,10.0,4.0,14.0
1011000001110011,10.0,4.0,14.0
1011000001110100,8.0,3.0,11.0
1011000001110101,7.0,3.0,10.0
1011000001110110,11.0,4.0,15.0
1011000001110111,8.0,3.0,11.0
1011000001111000,12.0,4.0,16.0
1011000001111001,15.0,5.0,20.0
1011000001111010,11.0,4.0,15.0
1011000001111011,12.0,4.0,16.0
1011000001111100,11.0,4.0,15.0
1011000001111101,10.0,4.0,14.0
1011000001111110,11.0,4.0,15.0
1011000001111111,9.0,3.0,12.0
1011000010000000,5.0,3.0,8.0
1011000010000001,9.0,4.0,13.0
1011000010000010,10.0,3.0,13.0
1011000010000011,9.0,4.0,13.0
1011000010000100,9.0,4.0,13.0
1011000010000101,9.0,3.0,12.0
1011000010000110,14.0,5.0,19.0
1011000010000111,11.0,4.0,15.0
1011000010001000,6.0,3.0,9.0
1011000010001001,10.0,4.0,14.0
