,Literals Count,Clauses Count,Dimension
0001110000000000,7.0,4.0,11.0
0001110000000001,11.0,5.0,16.0
0001110000000010,11.0,3.0,14.0
0001110000000011,10.0,3.0,13.0
0001110000000100,10.0,5.0,15.0
0001110000000101,10.0,3.0,13.0
0001110000000110,14.0,4.0,18.0
0001110000000111,12.0,5.0,17.0
0001110000001000,8.0,4.0,12.0
0001110000001001,12.0,5.0,17.0
0001110000001010,9.0,4.0,13.0
0001110000001011,12.0,5.0,17.0
0001110000001100,6.0,2.0,8.0
0001110000001101,9.0,4.0,13.0
0001110000001110,9.0,3.0,12.0
0001110000001111,8.0,3.0,11.0
0001110000010000,6.0,2.0,8.0
0001110000010001,9.0,4.0,13.0
0001110000010010,10.0,3.0,13.0
0001110000010011,9.0,4.0,13.0
0001110000010100,8.0,4.0,12.0
0001110000010101,9.0,4.0,13.0
0001110000010110,13.0,5.0,18.0
0001110000010111,10.0,4.0,14.0
0001110000011000,9.0,4.0,13.0
0001110000011001,10.0,4.0,14.0
0001110000011010,9.0,3.0,12.0
0001110000011011,10.0,4.0,14.0
0001110000011100,5.0,2.0,7.0
0001110000011101,7.0,3.0,10.0
0001110000011110,8.0,3.0,11.0
0001110000011111,7.0,3.0,10.0
0001110000100000,11.0,5.0,16.0
0001110000100001,15.0,4.0,19.0
0001110000100010,10.0,3.0,13.0
0001110000100011,13.0,5.0,18.0
0001110000100100,13.0,5.0,18.0
0001110000100101,14.0,5.0,19.0
0001110000100110,13.0,4.0,17.0
0001110000100111,13.0,4.0,17.0
0001110000101000,9.0,4.0,13.0
0001110000101001,17.0,6.0,23.0
0001110000101010,10.0,4.0,14.0
0001110000101011,14.0,5.0,19.0
0001110000101100,10.0,4.0,14.0
0001110000101101,13.0,4.0,17.0
0001110000101110,9.0,3.0,12.0
0001110000101111,11.0,4.0,15.0
0001110000110000,9.0,4.0,13.0
0001110000110001,12.0,4.0,16.0
0001110000110010,9.0,3.0,12.0
0001110000110011,8.0,3.0,11.0
0001110000110100,10.0,4.0,14.0
0001110000110101,11.0,4.0,15.0
0001110000110110,11.0,4.0,15.0
0001110000110111,11.0,4.0,15.0
0001110000111000,10.0,4.0,14.0
0001110000111001,14.0,5.0,19.0
0001110000111010,11.0,4.0,15.0
0001110000111011,11.0,4.0,15.0
0001110000111100,7.0,3.0,10.0
0001110000111101,11.0,4.0,15.0
0001110000111110,8.0,3.0,11.0
0001110000111111,7.0,3.0,10.0
0001110001000000,11.0,5.0,16.0
0001110001000001,15.0,4.0,19.0
0001110001000010,15.0,4.0,19.0
0001110001000011,14.0,5.0,19.0
0001110001000100,10.0,3.0,13.0
0001110001000101,13.0,5.0,18.0
0001110001000110,14.0,4.0,18.0
0001110001000111,13.0,4.0,17.0
0001110001001000,12.0,5.0,17.0
0001110001001001,17.0,6.0,23.0
0001110001001010,14.0,5.0,19.0
0001110001001011,15.0,5.0,20.0
0001110001001100,9.0,4.0,13.0
0001110001001101,12.0,4.0,16.0
0001110001001110,11.0,4.0,15.0
0001110001001111,11.0,4.0,15.0
0001110001010000,9.0,4.0,13.0
0001110001010001,12.0,4.0,16.0
0001110001010010,13.0,4.0,17.0
0001110001010011,11.0,4.0,15.0
0001110001010100,9.0,4.0,13.0
0001110001010101,8.0,3.0,11.0
0001110001010110,13.0,4.0,17.0
0001110001010111,11.0,4.0,15.0
0001110001011000,10.0,4.0,14.0
0001110001011001,14.0,5.0,19.0
0001110001011010,11.0,4.0,15.0
0001110001011011,12.0,4.0,16.0
0001110001011100,7.0,3.0,10.0
0001110001011101,7.0,3.0,10.0
0001110001011110,11.0,4.0,15.0
0001110001011111,8.0,3.0,11.0
0001110001100000,15.0,4.0,19.0
0001110001100001,19.0,5.0,24.0
0001110001100010,14.0,4.0,18.0
0001110001100011,17.0,5.0,22.0
0001110001100100,14.0,5.0,19.0
0001110001100101,17.0,5.0,22.0
0001110001100110,13.0,4.0,17.0
0001110001100111,16.0,5.0,21.0
0001110001101000,17.0,6.0,23.0
0001110001101001,22.0,6.0,28.0
0001110001101010,17.0,5.0,22.0
0001110001101011,20.0,6.0,26.0
0001110001101100,13.0,4.0,17.0
0001110001101101,16.0,5.0,21.0
0001110001101110,12.0,4.0,16.0
0001110001101111,14.0,5.0,19.0
0001110001110000,12.0,4.0,16.0
0001110001110001,15.0,5.0,20.0
0001110001110010,12.0,4.0,16.0
0001110001110011,11.0,4.0,15.0
0001110001110100,11.0,4.0,15.0
0001110001110101,11.0,4.0,15.0
0001110001110110,12.0,4.0,16.0
0001110001110111,10.0,4.0,14.0
0001110001111000,14.0,5.0,19.0
0001110001111001,18.0,6.0,24.0
0001110001111010,15.0,5.0,20.0
0001110001111011,14.0,5.0,19.0
0001110001111100,11.0,4.0,15.0
0001110001111101,10.0,4.0,14.0
0001110001111110,11.0,4.0,15.0
0001110001111111,9.0,4.0,13.0
0001110010000000,11.0,3.0,14.0
0001110010000001,15.0,4.0,19.0
0001110010000010,15.0,4.0,19.0
0001110010000011,14.0,4.0,18.0
0001110010000100,14.0,4.0,18.0
0001110010000101,14.0,4.0,18.0
0001110010000110,18.0,5.0,23.0
0001110010000111,17.0,5.0,22.0
0001110010001000,9.0,4.0,13.0
0001110010001001,14.0,5.0,19.0
0001110010001010,11.0,4.0,15.0
0001110010001011,13.0,4.0,17.0
0001110010001100,9.0,3.0,12.0
0001110010001101,11.0,4.0,15.0
0001110010001110,12.0,4.0,16.0
0001110010001111,11.0,4.0,15.0
0001110010010000,10.0,3.0,13.0
0001110010010001,13.0,4.0,17.0
0001110010010010,14.0,4.0,18.0
0001110010010011,13.0,4.0,17.0
0001110010010100,13.0,5.0,18.0
0001110010010101,13.0,4.0,17.0
0001110010010110,17.0,5.0,22.0
0001110010010111,16.0,5.0,21.0
0001110010011000,9.0,3.0,12.0
0001110010011001,11.0,4.0,15.0
0001110010011010,12.0,4.0,16.0
0001110010011011,12.0,4.0,16.0
0001110010011100,8.0,3.0,11.0
0001110010011101,11.0,4.0,15.0
0001110010011110,11.0,4.0,15.0
0001110010011111,10.0,4.0,14.0
0001110010100000,10.0,3.0,13.0
0001110010100001,14.0,4.0,18.0
0001110010100010,13.0,4.0,17.0
0001110010100011,13.0,4.0,17.0
0001110010100100,13.0,4.0,17.0
0001110010100101,13.0,4.0,17.0
0001110010100110,16.0,5.0,21.0
0001110010100111,16.0,5.0,21.0
0001110010101000,10.0,4.0,14.0
0001110010101001,17.0,5.0,22.0
0001110010101010,9.0,3.0,12.0
0001110010101011,12.0,4.0,16.0
0001110010101100,9.0,3.0,12.0
0001110010101101,12.0,4.0,16.0
0001110010101110,8.0,3.0,11.0
0001110010101111,10.0,4.0,14.0
0001110010110000,9.0,3.0,12.0
0001110010110001,12.0,4.0,16.0
0001110010110010,12.0,4.0,16.0
0001110010110011,11.0,4.0,15.0
0001110010110100,11.0,4.0,15.0
0001110010110101,12.0,4.0,16.0
0001110010110110,15.0,5.0,20.0
0001110010110111,13.0,4.0,17.0
0001110010111000,11.0,4.0,15.0
0001110010111001,15.0,5.0,20.0
0001110010111010,8.0,3.0,11.0
0001110010111011,10.0,4.0,14.0
0001110010111100,8.0,3.0,11.0
0001110010111101,11.0,4.0,15.0
0001110010111110,7.0,3.0,10.0
0001110010111111,9.0,3.0,12.0
0001110011000000,10.0,3.0,13.0
0001110011000001,14.0,5.0,19.0
0001110011000010,14.0,4.0,18.0
0001110011000011,13.0,4.0,17.0
0001110011000100,12.0,5.0,17.0
0001110011000101,13.0,4.0,17.0
0001110011000110,17.0,5.0,22.0
0001110011000111,16.0,5.0,21.0
0001110011001000,12.0,5.0,17.0
0001110011001001,15.0,5.0,20.0
0001110011001010,13.0,4.0,17.0
0001110011001011,16.0,5.0,21.0
0001110011001100,8.0,3.0,11.0
0001110011001101,11.0,4.0,15.0
0001110011001110,11.0,4.0,15.0
0001110011001111,10.0,4.0,14.0
0001110011010000,9.0,4.0,13.0
0001110011010001,11.0,4.0,15.0
0001110011010010,13.0,4.0,17.0
0001110011010011,12.0,4.0,16.0
0001110011010100,10.0,4.0,14.0
0001110011010101,11.0,4.0,15.0
0001110011010110,16.0,5.0,21.0
0001110011010111,13.0,4.0,17.0
0001110011011000,10.0,4.0,14.0
0001110011011001,12.0,4.0,16.0
0001110011011010,12.0,4.0,16.0
0001110011011011,13.0,4.0,17.0
0001110011011100,7.0,3.0,10.0
0001110011011101,8.0,3.0,11.0
0001110011011110,10.0,4.0,14.0
