,Literals Count,Clauses Count,Dimension
0011110000000000,5.0,3.0,8.0
0011110000000001,10.0,3.0,13.0
0011110000000010,10.0,3.0,13.0
0011110000000011,9.0,4.0,13.0
0011110000000100,8.0,4.0,12.0
0011110000000101,9.0,4.0,13.0
0011110000000110,13.0,5.0,18.0
0011110000000111,10.0,4.0,14.0
0011110000001000,8.0,4.0,12.0
0011110000001001,13.0,5.0,18.0
0011110000001010,9.0,4.0,13.0
0011110000001011,10.0,4.0,14.0
0011110000001100,5.0,2.0,7.0
0011110000001101,8.0,3.0,11.0
0011110000001110,8.0,3.0,11.0
0011110000001111,7.0,3.0,10.0
0011110000010000,8.0,4.0,12.0
0011110000010001,9.0,4.0,13.0
0011110000010010,13.0,5.0,18.0
0011110000010011,10.0,4.0,14.0
0011110000010100,6.0,3.0,9.0
0011110000010101,7.0,3.0,10.0
0011110000010110,14.0,5.0,19.0
0011110000010111,11.0,4.0,15.0
0011110000011000,10.0,4.0,14.0
0011110000011001,11.0,4.0,15.0
0011110000011010,11.0,4.0,15.0
0011110000011011,11.0,4.0,15.0
0011110000011100,7.0,3.0,10.0
0011110000011101,8.0,3.0,11.0
0011110000011110,11.0,4.0,15.0
0011110000011111,8.0,3.0,11.0
0011110000100000,8.0,4.0,12.0
0011110000100001,13.0,5.0,18.0
0011110000100010,9.0,4.0,13.0
0011110000100011,10.0,4.0,14.0
0011110000100100,10.0,4.0,14.0
0011110000100101,11.0,4.0,15.0
0011110000100110,11.0,4.0,15.0
0011110000100111,11.0,4.0,15.0
0011110000101000,6.0,3.0,9.0
0011110000101001,14.0,5.0,19.0
0011110000101010,7.0,3.0,10.0
0011110000101011,11.0,4.0,15.0
0011110000101100,7.0,3.0,10.0
0011110000101101,11.0,4.0,15.0
0011110000101110,8.0,3.0,11.0
0011110000101111,8.0,3.0,11.0
0011110000110000,5.0,2.0,7.0
0011110000110001,8.0,3.0,11.0
0011110000110010,8.0,3.0,11.0
0011110000110011,7.0,3.0,10.0
0011110000110100,7.0,3.0,10.0
0011110000110101,8.0,3.0,11.0
0011110000110110,11.0,4.0,15.0
0011110000110111,8.0,3.0,11.0
0011110000111000,7.0,3.0,10.0
0011110000111001,11.0,4.0,15.0
0011110000111010,8.0,3.0,11.0
0011110000111011,8.0,3.0,11.0
0011110000111100,4.0,2.0,6.0
0011110000111101,7.0,3.0,10.0
0011110000111110,7.0,3.0,10.0
0011110000111111,5.0,2.0,7.0
0011110001000000,10.0,3.0,13.0
0011110001000001,14.0,5.0,19.0
0011110001000010,14.0,4.0,18.0
0011110001000011,13.0,4.0,17.0
0011110001000100,9.0,4.0,13.0
0011110001000101,11.0,4.0,15.0
0011110001000110,13.0,4.0,17.0
0011110001000111,12.0,4.0,16.0
0011110001001000,13.0,5.0,18.0
0011110001001001,17.0,5.0,22.0
0011110001001010,13.0,4.0,17.0
0011110001001011,16.0,5.0,21.0
0011110001001100,8.0,3.0,11.0
0011110001001101,11.0,4.0,15.0
0011110001001110,11.0,4.0,15.0
0011110001001111,10.0,4.0,14.0
0011110001010000,9.0,4.0,13.0
0011110001010001,11.0,4.0,15.0
0011110001010010,13.0,4.0,17.0
0011110001010011,12.0,4.0,16.0
0011110001010100,7.0,3.0,10.0
0011110001010101,8.0,3.0,11.0
0011110001010110,15.0,5.0,20.0
0011110001010111,11.0,4.0,15.0
0011110001011000,11.0,4.0,15.0
0011110001011001,15.0,5.0,20.0
0011110001011010,12.0,4.0,16.0
0011110001011011,13.0,4.0,17.0
0011110001011100,8.0,3.0,11.0
0011110001011101,7.0,3.0,10.0
0011110001011110,11.0,4.0,15.0
0011110001011111,9.0,3.0,12.0
0011110001100000,13.0,5.0,18.0
0011110001100001,17.0,5.0,22.0
0011110001100010,13.0,4.0,17.0
0011110001100011,16.0,5.0,21.0
0011110001100100,11.0,4.0,15.0
0011110001100101,15.0,5.0,20.0
0011110001100110,12.0,4.0,16.0
0011110001100111,13.0,4.0,17.0
0011110001101000,14.0,5.0,19.0
0011110001101001,20.0,6.0,26.0
0011110001101010,15.0,5.0,20.0
0011110001101011,17.0,5.0,22.0
0011110001101100,11.0,4.0,15.0
0011110001101101,14.0,5.0,19.0
0011110001101110,11.0,4.0,15.0
0011110001101111,13.0,4.0,17.0
0011110001110000,8.0,3.0,11.0
0011110001110001,11.0,4.0,15.0
0011110001110010,11.0,4.0,15.0
0011110001110011,10.0,4.0,14.0
0011110001110100,8.0,3.0,11.0
0011110001110101,7.0,3.0,10.0
0011110001110110,11.0,4.0,15.0
0011110001110111,9.0,3.0,12.0
0011110001111000,11.0,4.0,15.0
0011110001111001,14.0,5.0,19.0
0011110001111010,11.0,4.0,15.0
0011110001111011,13.0,4.0,17.0
0011110001111100,7.0,3.0,10.0
0011110001111101,6.0,3.0,9.0
0011110001111110,10.0,4.0,14.0
0011110001111111,8.0,4.0,12.0
0011110010000000,10.0,3.0,13.0
0011110010000001,14.0,4.0,18.0
0011110010000010,14.0,5.0,19.0
0011110010000011,13.0,4.0,17.0
0011110010000100,13.0,5.0,18.0
0011110010000101,13.0,4.0,17.0
0011110010000110,17.0,5.0,22.0
0011110010000111,16.0,5.0,21.0
0011110010001000,9.0,4.0,13.0
0011110010001001,13.0,4.0,17.0
0011110010001010,11.0,4.0,15.0
0011110010001011,12.0,4.0,16.0
0011110010001100,8.0,3.0,11.0
0011110010001101,11.0,4.0,15.0
0011110010001110,11.0,4.0,15.0
0011110010001111,10.0,4.0,14.0
0011110010010000,13.0,5.0,18.0
0011110010010001,13.0,4.0,17.0
0011110010010010,17.0,5.0,22.0
0011110010010011,16.0,5.0,21.0
0011110010010100,14.0,5.0,19.0
0011110010010101,15.0,5.0,20.0
0011110010010110,20.0,6.0,26.0
0011110010010111,17.0,5.0,22.0
0011110010011000,11.0,4.0,15.0
0011110010011001,12.0,4.0,16.0
0011110010011010,15.0,5.0,20.0
0011110010011011,13.0,4.0,17.0
0011110010011100,11.0,4.0,15.0
0011110010011101,11.0,4.0,15.0
0011110010011110,14.0,5.0,19.0
0011110010011111,13.0,4.0,17.0
0011110010100000,9.0,4.0,13.0
0011110010100001,13.0,4.0,17.0
0011110010100010,11.0,4.0,15.0
0011110010100011,12.0,4.0,16.0
0011110010100100,11.0,4.0,15.0
0011110010100101,12.0,4.0,16.0
0011110010100110,15.0,5.0,20.0
0011110010100111,13.0,4.0,17.0
0011110010101000,7.0,3.0,10.0
0011110010101001,15.0,5.0,20.0
0011110010101010,8.0,3.0,11.0
