,Frequency,Dimension,Robustness
00000000,1582.0,0.0,0.8459031289506951
11111111,1582.0,0.0,0.8458438685208597
10111011,79.0,3.0,0.5138449367088609
11110010,33.0,5.0,0.35321969696969696
10111111,116.0,4.0,0.5627693965517244
11100001,4.0,10.0,0.171875
10000000,113.0,6.0,0.6194690265486725
01011111,92.0,3.0,0.5451766304347827
11001100,133.0,2.0,0.531484962406015
11001110,28.0,5.0,0.36607142857142855
00001010,93.0,4.0,0.49831989247311836
00100000,125.0,6.0,0.5445
00111111,86.0,3.0,0.5337936046511629
01000000,92.0,6.0,0.5638586956521737
10101111,75.0,3.0,0.4962500000000003
11011111,128.0,4.0,0.5563964843749998
00000001,124.0,6.0,0.4347278225806452
01110011,32.0,5.0,0.4072265625
00001111,127.0,2.0,0.5425688976377956
00000011,90.0,4.0,0.47604166666666664
01111111,124.0,4.0,0.621975806451613
11000000,93.0,4.0,0.546034946236559
00100010,99.0,4.0,0.49179292929292934
11111110,109.0,4.0,0.42603211009174313
01010111,23.0,5.0,0.38315217391304346
11101111,125.0,4.0,0.5104999999999998
00000010,117.0,6.0,0.4818376068376068
00000101,85.0,4.0,0.43823529411764706
11010001,14.0,6.0,0.3102678571428572
11110111,139.0,4.0,0.5532823741007195
11110000,156.0,2.0,0.5290464743589745
00110011,155.0,2.0,0.5181451612903224
01010101,134.0,2.0,0.5240205223880599
11111010,85.0,3.0,0.4713235294117647
00110010,21.0,5.0,0.3244047619047619
01001111,33.0,5.0,0.3939393939393939
11011001,8.0,7.0,0.3125
00000100,112.0,6.0,0.5027901785714286
01000100,85.0,4.0,0.5088235294117649
10001000,100.0,4.0,0.5643749999999996
01010001,25.0,5.0,0.31250000000000006
01000001,5.0,8.0,0.21875
11111101,117.0,4.0,0.5018696581196582
11001111,93.0,3.0,0.49227150537634407
10100010,24.0,5.0,0.390625
10101010,149.0,2.0,0.5367030201342283
11010101,28.0,5.0,0.41294642857142855
10100000,76.0,4.0,0.5555098684210528
10101100,11.0,6.0,0.3409090909090909
11000111,3.0,7.0,0.28125
11110100,19.0,5.0,0.3042763157894737
01111011,8.0,8.0,0.30859375
01110101,28.0,5.0,0.4107142857142857
10001111,22.0,5.0,0.4161931818181818
01000101,28.0,5.0,0.38504464285714285
11001010,14.0,6.0,0.2700892857142857
00001001,4.0,8.0,0.203125
10110000,28.0,5.0,0.3794642857142857
01100111,7.0,7.0,0.29910714285714285
10001101,10.0,6.0,0.296875
00110000,88.0,4.0,0.5007102272727271
10001010,28.0,5.0,0.40066964285714285
11110011,80.0,3.0,0.514453125
00011111,34.0,5.0,0.3786764705882353
01010000,72.0,4.0,0.4956597222222222
00101111,35.0,5.0,0.38571428571428573
00001000,107.0,6.0,0.5487733644859814
00001101,25.0,5.0,0.37375
10111010,27.0,5.0,0.3680555555555556
11101110,90.0,3.0,0.4527777777777778
11111100,77.0,3.0,0.45211038961038963
00010000,94.0,6.0,0.48736702127659576
00001100,97.0,4.0,0.5090206185567012
00110111,40.0,5.0,0.39609375
11010111,7.0,8.0,0.3482142857142857
01001110,14.0,6.0,0.2924107142857143
11111011,122.0,4.0,0.5058913934426232
11110101,88.0,3.0,0.49360795454545453
00010001,99.0,4.0,0.4772727272727273
11010011,6.0,7.0,0.3333333333333333
01010100,22.0,5.0,0.3338068181818182
10110111,3.0,8.0,0.3125
11010100,10.0,9.0,0.221875
00010101,23.0,5.0,0.3845108695652174
11001101,23.0,5.0,0.389945652173913
00110100,6.0,7.0,0.203125
10011101,7.0,7.0,0.19196428571428573
00011011,8.0,6.0,0.265625
00011001,3.0,7.0,0.22916666666666666
11010000,28.0,5.0,0.40848214285714285
10100011,9.0,6.0,0.2986111111111111
11100000,25.0,5.0,0.4325
01110111,88.0,3.0,0.5692471590909094
00100101,5.0,7.0,0.2625
10111110,12.0,8.0,0.265625
10000100,8.0,8.0,0.296875
11011101,79.0,3.0,0.5114715189873414
00010111,5.0,9.0,0.33125
01001100,28.0,5.0,0.38839285714285715
11100010,19.0,6.0,0.26480263157894735
00111101,6.0,7.0,0.22395833333333334
10101000,22.0,5.0,0.4005681818181818
10001100,20.0,5.0,0.3828125
01011100,4.0,6.0,0.2421875
00011101,8.0,6.0,0.3203125
01011000,8.0,7.0,0.32421875
01011101,28.0,5.0,0.38281249999999994
11000011,4.0,6.0,0.296875
11000100,26.0,5.0,0.3725961538461538
00111000,5.0,7.0,0.25
00111001,1.0,10.0,0.0625
00101011,2.0,9.0,0.265625
00000111,24.0,5.0,0.37109375
11001011,8.0,7.0,0.23828125
10110011,32.0,5.0,0.41015625
11111000,26.0,5.0,0.36778846153846156
00100111,4.0,6.0,0.2265625
00110001,21.0,5.0,0.34970238095238093
00101010,27.0,5.0,0.4074074074074074
00010011,24.0,5.0,0.37890625
10100100,3.0,7.0,0.28125
11011100,21.0,5.0,0.3482142857142857
01110010,6.0,6.0,0.2916666666666667
01110000,29.0,5.0,0.41594827586206895
10000101,3.0,7.0,0.40625
11100100,13.0,6.0,0.2836538461538461
01101110,2.0,7.0,0.234375
11110001,26.0,5.0,0.3269230769230769
11101010,26.0,5.0,0.3641826923076923
10001011,18.0,6.0,0.2552083333333333
11101101,6.0,8.0,0.234375
11100110,6.0,7.0,0.2760416666666667
10111001,4.0,7.0,0.2890625
00100011,24.0,5.0,0.36328125
11011000,11.0,6.0,0.3409090909090909
01001000,4.0,8.0,0.3984375
10101011,27.0,5.0,0.3148148148148148
10010000,8.0,8.0,0.3125
01110110,10.0,7.0,0.26875
11000101,16.0,6.0,0.29296875
00011100,6.0,7.0,0.28125
00000110,9.0,8.0,0.21180555555555555
10101110,20.0,5.0,0.3140625
10011111,5.0,8.0,0.35625
00111011,18.0,5.0,0.4427083333333333
00111110,8.0,7.0,0.2734375
10011000,4.0,7.0,0.3046875
01111100,3.0,7.0,0.34375
10101101,8.0,7.0,0.21875
10100111,6.0,7.0,0.3385416666666667
01010011,12.0,6.0,0.2864583333333333
01100001,1.0,13.0,0.21875
00111010,8.0,6.0,0.3515625
00001110,26.0,5.0,0.38221153846153844
00110101,5.0,6.0,0.3
10111101,4.0,8.0,0.3515625
01011110,1.0,7.0,0.3125
01110100,15.0,6.0,0.2729166666666666
11101100,23.0,5.0,0.32472826086956524
01111110,7.0,8.0,0.2544642857142857
11000001,6.0,7.0,0.3072916666666667
10110001,7.0,6.0,0.2544642857142857
01101100,2.0,10.0,0.140625
11001000,26.0,5.0,0.3641826923076923
10001110,9.0,9.0,0.2638888888888889
01011010,6.0,6.0,0.359375
10010001,3.0,7.0,0.3645833333333333
01110001,7.0,9.0,0.24107142857142858
01001101,5.0,9.0,0.2375
11111001,6.0,8.0,0.34375
10100101,7.0,6.0,0.21875
10000010,6.0,8.0,0.28125
10110010,5.0,9.0,0.25625
00011110,2.0,10.0,0.078125
10111000,9.0,6.0,0.2569444444444444
00001011,20.0,5.0,0.35625
00010010,6.0,8.0,0.25
11101011,8.0,8.0,0.21484375
01000110,4.0,7.0,0.3984375
01000011,5.0,7.0,0.3
10001001,2.0,7.0,0.390625
01111010,5.0,7.0,0.35
01100110,12.0,6.0,0.27864583333333337
01100010,6.0,7.0,0.18229166666666666
10000011,3.0,7.0,0.4166666666666667
01111101,7.0,8.0,0.2767857142857143
01100100,8.0,7.0,0.25
01001011,2.0,10.0,0.203125
00111100,6.0,6.0,0.3125
01000111,10.0,6.0,0.259375
01111000,2.0,10.0,0.25
11101000,5.0,9.0,0.20625
00011000,5.0,8.0,0.34375
01011011,2.0,7.0,0.3125
10111100,7.0,7.0,0.26339285714285715
00101000,12.0,8.0,0.3489583333333333
01001010,6.0,7.0,0.17708333333333334
11000010,3.0,7.0,0.17708333333333334
11110110,3.0,8.0,0.2604166666666667
10100001,2.0,7.0,0.28125
01100011,4.0,10.0,0.140625
11100011,1.0,7.0,0.28125
01010010,4.0,7.0,0.1640625
01000010,7.0,8.0,0.2767857142857143
00101110,6.0,6.0,0.3229166666666667
00010100,2.0,8.0,0.3125
01100000,3.0,8.0,0.28125
00100110,6.0,7.0,0.265625
01101111,4.0,8.0,0.2890625
10000001,5.0,8.0,0.275
00100100,5.0,8.0,0.3125
11011010,5.0,7.0,0.2875
10110100,1.0,10.0,0.03125
00101100,6.0,7.0,0.3385416666666667
11001001,2.0,10.0,0.203125
10110101,5.0,7.0,0.25
11011011,7.0,8.0,0.3169642857142857
10011011,3.0,7.0,0.2604166666666667
00011010,5.0,7.0,0.36875
00100001,3.0,8.0,0.2708333333333333
11011110,2.0,8.0,0.25
11100111,3.0,8.0,0.14583333333333334
10011001,2.0,6.0,0.375
11100101,2.0,7.0,0.015625
11101001,1.0,12.0,0.21875
11000110,1.0,10.0,0.25
10100110,1.0,10.0,0.03125
00110110,2.0,10.0,0.25
01100101,1.0,10.0,0.15625
10101001,1.0,10.0,0.1875
