,Frequency,Dimension,Robustness
00000000,172.0,0.0,0.85047238372093
11111100,8.0,3.0,0.3828125
00001111,13.0,2.0,0.5408653846153846
00010000,8.0,6.0,0.51171875
11101111,21.0,4.0,0.4955357142857143
10101011,2.0,5.0,0.40625
11110000,14.0,2.0,0.5424107142857143
11111010,9.0,3.0,0.4375
10101010,9.0,2.0,0.5833333333333334
11111111,130.0,0.0,0.8521634615384616
01110011,2.0,5.0,0.359375
00110011,12.0,2.0,0.5911458333333334
11111011,12.0,4.0,0.4895833333333333
01001010,1.0,7.0,0.4375
11100010,1.0,6.0,0.25
10001000,9.0,4.0,0.5625
00001100,14.0,4.0,0.49776785714285715
11101100,3.0,5.0,0.3958333333333333
11110011,16.0,3.0,0.5390625
01011101,3.0,5.0,0.4166666666666667
10001111,4.0,5.0,0.4296875
01010000,11.0,4.0,0.4318181818181818
00100010,11.0,4.0,0.5738636363636364
11001100,13.0,2.0,0.5120192307692307
01000111,2.0,6.0,0.40625
01011111,13.0,3.0,0.5745192307692307
00010001,13.0,4.0,0.5504807692307693
01010101,14.0,2.0,0.5379464285714285
00000001,14.0,6.0,0.45089285714285715
01000101,2.0,5.0,0.296875
00111011,1.0,5.0,0.40625
11001000,6.0,5.0,0.4791666666666667
01001100,6.0,5.0,0.484375
10111011,6.0,3.0,0.5208333333333334
00110000,9.0,4.0,0.4375
00001000,9.0,6.0,0.5625
10000100,1.0,8.0,0.375
11011101,13.0,3.0,0.5192307692307693
10001101,2.0,6.0,0.21875
11111110,10.0,4.0,0.403125
00111101,1.0,7.0,0.21875
11111101,7.0,4.0,0.45089285714285715
11110101,6.0,3.0,0.4375
11100000,2.0,5.0,0.296875
11010000,6.0,5.0,0.3958333333333333
11110100,3.0,5.0,0.2916666666666667
00011111,3.0,5.0,0.3854166666666667
10111010,3.0,5.0,0.3958333333333333
11001111,6.0,3.0,0.5104166666666666
10110011,2.0,5.0,0.375
11110111,13.0,4.0,0.5192307692307693
11101000,1.0,9.0,0.1875
01000000,13.0,6.0,0.5913461538461539
01001000,2.0,8.0,0.390625
10111111,8.0,4.0,0.5859375
00000010,9.0,6.0,0.4444444444444444
11101110,7.0,3.0,0.4330357142857143
11000100,6.0,5.0,0.4010416666666667
00010101,1.0,5.0,0.25
01111111,16.0,4.0,0.61328125
11011111,18.0,4.0,0.5121527777777778
11000010,2.0,7.0,0.203125
00000011,11.0,4.0,0.45454545454545453
10101111,13.0,3.0,0.47836538461538464
00000111,3.0,5.0,0.3229166666666667
01000100,14.0,4.0,0.5401785714285714
11010101,1.0,5.0,0.46875
10011011,1.0,7.0,0.375
01010010,2.0,7.0,0.203125
00101010,4.0,5.0,0.421875
00000100,16.0,6.0,0.51171875
10000000,5.0,6.0,0.65
10001100,3.0,5.0,0.2916666666666667
00110111,2.0,5.0,0.265625
00101111,3.0,5.0,0.4479166666666667
00100101,2.0,7.0,0.140625
01110111,11.0,3.0,0.5284090909090909
00111111,7.0,3.0,0.53125
00101000,2.0,8.0,0.40625
00001110,4.0,5.0,0.2890625
10111110,2.0,8.0,0.171875
11100100,1.0,6.0,0.1875
00100000,5.0,6.0,0.58125
00000101,11.0,4.0,0.4289772727272727
01100000,1.0,8.0,0.34375
11000011,1.0,6.0,0.375
00110001,5.0,5.0,0.29375
11001101,1.0,5.0,0.375
00110010,5.0,5.0,0.41875
11000000,5.0,4.0,0.55625
00010011,4.0,5.0,0.2578125
11000001,1.0,7.0,0.34375
01101111,1.0,8.0,0.3125
00100100,1.0,8.0,0.40625
01001111,2.0,5.0,0.484375
10100010,2.0,5.0,0.34375
00100011,3.0,5.0,0.4270833333333333
00001010,8.0,4.0,0.52734375
01001110,2.0,6.0,0.296875
10100011,1.0,6.0,0.375
11011011,1.0,8.0,0.34375
10101101,2.0,7.0,0.0625
00101100,1.0,7.0,0.46875
10100000,6.0,4.0,0.5572916666666666
00011011,2.0,6.0,0.421875
00110100,1.0,7.0,0.0625
01010001,2.0,5.0,0.453125
01010011,1.0,6.0,0.34375
11111001,3.0,8.0,0.17708333333333334
10001010,2.0,5.0,0.4375
00001101,3.0,5.0,0.4166666666666667
11000111,1.0,7.0,0.09375
00001011,2.0,5.0,0.359375
00011101,1.0,6.0,0.5625
11001110,1.0,5.0,0.1875
10010011,1.0,10.0,0.28125
00110101,3.0,6.0,0.3229166666666667
11111000,5.0,5.0,0.31875
01110000,2.0,5.0,0.5
11011000,1.0,6.0,0.28125
10101100,1.0,6.0,0.25
10100001,1.0,7.0,0.34375
01111011,2.0,8.0,0.390625
10001011,2.0,6.0,0.265625
00100111,1.0,6.0,0.15625
10100100,1.0,7.0,0.25
10101000,2.0,5.0,0.359375
10110000,2.0,5.0,0.421875
10010001,2.0,7.0,0.421875
11010100,1.0,9.0,0.25
10110101,1.0,7.0,0.3125
01100010,1.0,7.0,0.21875
11011100,2.0,5.0,0.3125
10101110,1.0,5.0,0.1875
01110010,1.0,6.0,0.34375
01110100,1.0,6.0,0.0625
10110001,1.0,6.0,0.40625
00111110,1.0,7.0,0.40625
01011011,1.0,7.0,0.40625
11110110,1.0,8.0,0.4375
10011000,1.0,7.0,0.34375
01111101,1.0,8.0,0.4375
11110010,1.0,5.0,0.3125
01000001,1.0,8.0,0.375
10000001,1.0,8.0,0.34375
00010010,1.0,8.0,0.375
01011001,1.0,10.0,0.03125
10110111,1.0,8.0,0.34375
01000010,1.0,8.0,0.25
11101010,1.0,5.0,0.375
01100110,1.0,6.0,0.4375
00111000,1.0,7.0,0.21875
11110001,1.0,5.0,0.21875
