,Literals Count,Clauses Count,Dimension
11000000,2.0,2.0,4.0
11000001,5.0,2.0,7.0
11000010,5.0,2.0,7.0
11000011,4.0,2.0,6.0
11000100,3.0,2.0,5.0
11000101,4.0,2.0,6.0
11000110,7.0,3.0,10.0
11000111,5.0,2.0,7.0
11001000,3.0,2.0,5.0
11001001,7.0,3.0,10.0
11001010,4.0,2.0,6.0
11001011,5.0,2.0,7.0
11001100,1.0,1.0,2.0
11001101,3.0,2.0,5.0
11001110,3.0,2.0,5.0
11001111,2.0,1.0,3.0
11010000,3.0,2.0,5.0
11010001,4.0,2.0,6.0
11010010,7.0,3.0,10.0
11010011,5.0,2.0,7.0
11010100,6.0,3.0,9.0
11010101,3.0,2.0,5.0
11010110,9.0,3.0,12.0
11010111,5.0,3.0,8.0
11011000,4.0,2.0,6.0
11011001,5.0,2.0,7.0
11011010,5.0,2.0,7.0
11011011,6.0,2.0,8.0
11011100,3.0,2.0,5.0
11011101,2.0,1.0,3.0
11011110,5.0,3.0,8.0
11011111,3.0,1.0,4.0
11100000,3.0,2.0,5.0
11100001,7.0,3.0,10.0
11100010,4.0,2.0,6.0
11100011,5.0,2.0,7.0
11100100,4.0,2.0,6.0
11100101,5.0,2.0,7.0
11100110,5.0,2.0,7.0
11100111,6.0,2.0,8.0
11101000,6.0,3.0,9.0
11101001,9.0,3.0,12.0
11101010,3.0,2.0,5.0
11101011,5.0,3.0,8.0
11101100,3.0,2.0,5.0
11101101,5.0,3.0,8.0
11101110,2.0,1.0,3.0
11101111,3.0,1.0,4.0
11110000,1.0,1.0,2.0
11110001,3.0,2.0,5.0
11110010,3.0,2.0,5.0
11110011,2.0,1.0,3.0
11110100,3.0,2.0,5.0
11110101,2.0,1.0,3.0
11110110,5.0,3.0,8.0
11110111,3.0,1.0,4.0
11111000,3.0,2.0,5.0
11111001,5.0,3.0,8.0
11111010,2.0,1.0,3.0
11111011,3.0,1.0,4.0
11111100,2.0,1.0,3.0
11111101,3.0,1.0,4.0
11111110,3.0,1.0,4.0
11111111,0.0,0.0,0.0
