,Frequency,Dimension,Robustness
10100000,1156.0,4.0,0.5964223924864068
11010101,492.0,5.0,0.47967479674796776
00001010,1141.0,4.0,0.5818204582446463
11101100,421.0,5.0,0.44036308109942257
10000000,687.0,6.0,0.626481597005618
11110100,456.0,5.0,0.43898809523809496
10001000,1157.0,4.0,0.5963081861958264
00011111,451.0,5.0,0.4745011086474496
11001100,2733.0,2.0,0.6200538393183788
01000111,213.0,6.0,0.39369550637156275
00001100,1130.0,3.0,0.5815107458912779
00000010,725.0,6.0,0.584384236453205
10101010,2699.0,2.0,0.6192505160641444
11110010,445.0,5.0,0.4378009630818618
11011111,672.0,6.0,0.6061330782312979
11000000,1124.0,4.0,0.5991357397051364
00110000,1108.0,4.0,0.5782942238267158
11111101,676.0,6.0,0.578930684699919
11100101,89.0,7.0,0.36958266452648453
00000001,739.0,6.0,0.5625362458921375
01111111,673.0,6.0,0.628741243897265
10101110,474.0,5.0,0.4419831223628691
11010000,429.0,5.0,0.4872627372627372
10101111,1160.0,4.0,0.5795258620689664
01110111,1160.0,4.0,0.6044334975369456
11110101,1099.0,4.0,0.5774405303522682
00101110,234.0,6.0,0.39972527472527497
11011101,1138.0,3.0,0.5781132312327389
01010011,189.0,6.0,0.40362811791383213
00100101,94.0,7.0,0.3943768996960486
00000000,4431.0,0.0,0.8232501531417852
11101110,1158.0,4.0,0.5638107574636078
01010000,1184.0,3.0,0.5812319015444016
00001111,2805.0,2.0,0.6197351667939864
00100000,688.0,6.0,0.6092192691029946
10001111,439.0,5.0,0.48242759518386
01011111,1131.0,4.0,0.601332575470506
00000100,732.0,6.0,0.5817720530835332
00001101,469.0,5.0,0.4378617118489182
00010001,1119.0,4.0,0.5611196221115814
11001101,468.0,5.0,0.43841575091575014
00111111,1242.0,3.0,0.5999827467218775
10001001,111.0,7.0,0.3684041184041183
11100010,200.0,6.0,0.38875
00110011,2752.0,2.0,0.616525643687704
11110000,2748.0,2.0,0.6164613225202715
00001000,761.0,6.0,0.6082222639384331
00000011,1134.0,4.0,0.5616969009826156
10111111,710.0,4.0,0.6063380281690203
11111110,667.0,6.0,0.5503855215249556
01000000,660.0,6.0,0.6033549783549822
10011001,196.0,6.0,0.41836734693877564
00110010,488.0,5.0,0.42725409836065514
01000101,468.0,5.0,0.43994200244200193
11110111,726.0,6.0,0.6008461235734021
10010001,96.0,7.0,0.39099702380952367
01110011,452.0,5.0,0.4764538558786345
00100001,84.0,8.0,0.36054421768707445
11111111,4370.0,0.0,0.8224910101339933
01010101,2737.0,2.0,0.617438279659684
01011010,165.0,6.0,0.41774891774891787
11110011,1220.0,3.0,0.5785421545667434
10100010,421.0,5.0,0.4803189684424837
10111010,432.0,5.0,0.4380787037037035
11111011,651.0,6.0,0.5762563089752053
11001111,1111.0,4.0,0.5808795165230828
11111100,1174.0,4.0,0.5537235337064983
00111101,83.0,7.0,0.3644578313253009
00000101,1157.0,4.0,0.5661501419928398
11011001,103.0,7.0,0.37309292649098463
01000100,1184.0,4.0,0.5778535231660235
10000011,96.0,7.0,0.40178571428571447
00010101,450.0,5.0,0.4371428571428572
11111010,1121.0,4.0,0.5565184146807709
01001100,437.0,5.0,0.4784243216737498
11100011,96.0,7.0,0.36049107142857145
01010111,426.0,5.0,0.4693997317236754
01111101,80.0,8.0,0.41473214285714244
01000010,64.0,8.0,0.38392857142857134
00010011,476.0,5.0,0.4424519807923162
00001110,456.0,5.0,0.43334899749373335
00101000,72.0,8.0,0.4107142857142855
00110100,111.0,7.0,0.3581081081081081
10101011,455.0,5.0,0.4340659340659331
10101100,223.0,6.0,0.40839205637411913
00100011,455.0,5.0,0.44513343799058064
00010000,712.0,4.0,0.5858246388443054
10011101,92.0,7.0,0.38004658385093143
00111011,451.0,5.0,0.4802027241051634
11001110,445.0,5.0,0.44486356340288935
11111000,433.0,5.0,0.4436654569449024
10011111,97.0,8.0,0.4142120765832104
11010111,82.0,8.0,0.4107142857142855
10001010,431.0,5.0,0.4859960225389459
10111011,1136.0,3.0,0.5788795271629797
11101010,421.0,5.0,0.4410417373600265
11010001,238.0,6.0,0.3993097238895563
11000100,453.0,5.0,0.48336486912645793
10100100,90.0,7.0,0.36349206349206337
01011101,443.0,5.0,0.48387616897774927
01010001,450.0,5.0,0.4441269841269838
00100010,1164.0,4.0,0.5793753068237607
11100000,433.0,5.0,0.47995710986473095
01110000,411.0,5.0,0.4822732012513038
10100101,182.0,6.0,0.4242543171114604
00111110,108.0,7.0,0.35449735449735464
01101110,92.0,7.0,0.37965838509316757
01110010,201.0,6.0,0.39925373134328357
01011110,97.0,7.0,0.3593519882179677
00111010,235.0,6.0,0.3934650455927055
11101111,714.0,6.0,0.5794317727090867
00101100,87.0,7.0,0.3965517241379307
10000010,75.0,8.0,0.4119047619047616
00110001,448.0,5.0,0.4419642857142856
00001011,415.0,5.0,0.4411359724612737
01110101,425.0,5.0,0.4775630252100843
01111011,88.0,8.0,0.4111201298701296
10101000,429.0,5.0,0.47560772560772563
01001111,454.0,5.0,0.4723096286972936
11100110,99.0,7.0,0.3831168831168831
10000101,100.0,7.0,0.38428571428571445
11111001,73.0,8.0,0.37915851272015644
11001000,417.0,5.0,0.46959575196985215
11001010,198.0,6.0,0.40061327561327587
10111001,97.0,7.0,0.36892488954344616
00101010,444.0,5.0,0.4871299871299871
10001100,428.0,5.0,0.48047396528705016
11011100,447.0,5.0,0.4388782358581016
10110000,445.0,5.0,0.476243980738363
00011101,204.0,6.0,0.4061624649859944
00011011,200.0,6.0,0.40875
01010100,453.0,5.0,0.4367707347839791
00101011,65.0,9.0,0.31428571428571445
00101111,407.0,5.0,0.4835029835029838
10110001,221.0,6.0,0.4004524886877829
00001001,76.0,8.0,0.37124060150375915
11100111,70.0,8.0,0.38418367346938737
01110100,225.0,6.0,0.3960317460317466
01000110,99.0,7.0,0.3903318903318902
11100001,29.0,10.0,0.21551724137931041
01100111,107.0,7.0,0.3724966622162884
11110001,448.0,5.0,0.43120216836734604
00110101,200.0,6.0,0.39821428571428585
10001101,204.0,6.0,0.396358543417367
11011000,202.0,6.0,0.406824611032532
01001110,202.0,6.0,0.3983380480905236
11010100,52.0,9.0,0.3221153846153848
01010010,94.0,7.0,0.3613221884498478
10100001,108.0,7.0,0.36673280423280435
01100110,164.0,6.0,0.41594076655052287
10001011,224.0,6.0,0.3944515306122449
10100111,125.0,7.0,0.3842857142857144
10111100,95.0,7.0,0.40789473684210525
11000101,229.0,6.0,0.40611353711790404
10110011,423.0,5.0,0.48134076325565717
11110110,104.0,8.0,0.3688186813186812
00100111,236.0,6.0,0.4028450363196128
00010010,101.0,8.0,0.37446958981612466
10011100,39.0,10.0,0.25000000000000006
10110101,91.0,7.0,0.3948194662480376
11100100,210.0,6.0,0.39302721088435366
00000110,84.0,8.0,0.3749999999999997
11101101,84.0,8.0,0.3490646258503399
01111100,92.0,7.0,0.38975155279503093
11101000,56.0,9.0,0.3278061224489795
00011100,87.0,7.0,0.3772577996715927
10111110,91.0,8.0,0.38932496075353196
11001001,31.0,10.0,0.2108294930875577
00000111,430.0,5.0,0.4395348837209299
00011001,118.0,7.0,0.37530266343825675
01101010,25.0,10.0,0.2628571428571428
11010011,108.0,7.0,0.3730158730158731
01011100,223.0,6.0,0.3978219090326712
10101101,92.0,7.0,0.36801242236024834
01111010,100.0,7.0,0.3967857142857142
10011011,82.0,7.0,0.3824041811846688
10001110,70.0,9.0,0.33061224489795926
01111000,37.0,10.0,0.27220077220077227
00010111,57.0,9.0,0.2988721804511277
10011000,105.0,7.0,0.37142857142857155
00111000,102.0,7.0,0.38165266106442564
11000110,30.0,10.0,0.261904761904762
00011010,99.0,7.0,0.38023088023088025
11000011,175.0,6.0,0.4118367346938777
